# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6246155
# River:                 MOLL
# Station:               HEILIGENBLUT
# Country:               AT
# Latitude (DD):       47.0375
# Longitude (DD):      12.84277778
# Catchment area (km²):      142.1
# Altitude (m ASL):        1229.77
# Next downstream station:      6246400
# Remarks:               
# Owner of original data: Austria - Federal Ministry of Agriculture, Regions and Tourism (BMLRT)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2010-01 - 2020-12
# No. of years:          11
# Last update:           2023-09-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
2010-01-01;--:--;      1.040
2010-01-02;--:--;      0.940
2010-01-03;--:--;      0.826
2010-01-04;--:--;      0.877
2010-01-05;--:--;      0.906
2010-01-06;--:--;      0.937
2010-01-07;--:--;      0.931
2010-01-08;--:--;      0.929
2010-01-09;--:--;      0.915
2010-01-10;--:--;      0.814
2010-01-11;--:--;      0.733
2010-01-12;--:--;      0.683
2010-01-13;--:--;      0.641
2010-01-14;--:--;      0.641
2010-01-15;--:--;      0.610
2010-01-16;--:--;      0.671
2010-01-17;--:--;      0.719
2010-01-18;--:--;      0.699
2010-01-19;--:--;      0.635
2010-01-20;--:--;      0.613
2010-01-21;--:--;      0.619
2010-01-22;--:--;      0.612
2010-01-23;--:--;      0.612
2010-01-24;--:--;      0.616
2010-01-25;--:--;      0.612
2010-01-26;--:--;      0.612
2010-01-27;--:--;      0.595
2010-01-28;--:--;      0.611
2010-01-29;--:--;      0.585
2010-01-30;--:--;      0.560
2010-01-31;--:--;      0.523
2010-02-01;--:--;      0.512
2010-02-02;--:--;      0.540
2010-02-03;--:--;      0.513
2010-02-04;--:--;      0.512
2010-02-05;--:--;      0.512
2010-02-06;--:--;      0.512
2010-02-07;--:--;      0.512
2010-02-08;--:--;      0.501
2010-02-09;--:--;      0.480
2010-02-10;--:--;      0.519
2010-02-11;--:--;      0.513
2010-02-12;--:--;      0.512
2010-02-13;--:--;      0.512
2010-02-14;--:--;      0.489
2010-02-15;--:--;      0.435
2010-02-16;--:--;      0.498
2010-02-17;--:--;      0.512
2010-02-18;--:--;      0.511
2010-02-19;--:--;      0.510
2010-02-20;--:--;      0.509
2010-02-21;--:--;      0.461
2010-02-22;--:--;      0.477
2010-02-23;--:--;      0.446
2010-02-24;--:--;      0.466
2010-02-25;--:--;      0.455
2010-02-26;--:--;      0.504
2010-02-27;--:--;      0.462
2010-02-28;--:--;      0.483
2010-03-01;--:--;      0.485
2010-03-02;--:--;      0.453
2010-03-03;--:--;      0.432
2010-03-04;--:--;      0.437
2010-03-05;--:--;      0.419
2010-03-06;--:--;      0.418
2010-03-07;--:--;      0.418
2010-03-08;--:--;      0.418
2010-03-09;--:--;      0.418
2010-03-10;--:--;      0.418
2010-03-11;--:--;      0.426
2010-03-12;--:--;      0.418
2010-03-13;--:--;      0.417
2010-03-14;--:--;      0.418
2010-03-15;--:--;      0.418
2010-03-16;--:--;      0.418
2010-03-17;--:--;      0.418
2010-03-18;--:--;      0.424
2010-03-19;--:--;      0.454
2010-03-20;--:--;      0.492
2010-03-21;--:--;      0.564
2010-03-22;--:--;      0.761
2010-03-23;--:--;      1.010
2010-03-24;--:--;      1.200
2010-03-25;--:--;      1.250
2010-03-26;--:--;      1.320
2010-03-27;--:--;      1.390
2010-03-28;--:--;      1.180
2010-03-29;--:--;      1.130
2010-03-30;--:--;      1.190
2010-03-31;--:--;      1.040
2010-04-01;--:--;      0.848
2010-04-02;--:--;      0.732
2010-04-03;--:--;      0.703
2010-04-04;--:--;      0.755
2010-04-05;--:--;      0.725
2010-04-06;--:--;      0.708
2010-04-07;--:--;      0.910
2010-04-08;--:--;      1.240
2010-04-09;--:--;      1.470
2010-04-10;--:--;      1.550
2010-04-11;--:--;      1.410
2010-04-12;--:--;      1.190
2010-04-13;--:--;      1.080
2010-04-14;--:--;      0.961
2010-04-15;--:--;      0.870
2010-04-16;--:--;      0.981
2010-04-17;--:--;      1.040
2010-04-18;--:--;      1.130
2010-04-19;--:--;      1.100
2010-04-20;--:--;      1.220
2010-04-21;--:--;      1.450
2010-04-22;--:--;      1.590
2010-04-23;--:--;      1.910
2010-04-24;--:--;      2.300
2010-04-25;--:--;      2.870
2010-04-26;--:--;      3.240
2010-04-27;--:--;      3.140
2010-04-28;--:--;      2.940
2010-04-29;--:--;      3.220
2010-04-30;--:--;      3.970
2010-05-01;--:--;      4.330
2010-05-02;--:--;      4.410
2010-05-03;--:--;      4.790
2010-05-04;--:--;      4.990
2010-05-05;--:--;      6.440
2010-05-06;--:--;      7.300
2010-05-07;--:--;      5.110
2010-05-08;--:--;      4.220
2010-05-09;--:--;      3.810
2010-05-10;--:--;      3.800
2010-05-11;--:--;      4.070
2010-05-12;--:--;      4.250
2010-05-13;--:--;      4.430
2010-05-14;--:--;      4.560
2010-05-15;--:--;      3.950
2010-05-16;--:--;      3.450
2010-05-17;--:--;      3.090
2010-05-18;--:--;      2.910
2010-05-19;--:--;      2.760
2010-05-20;--:--;      2.680
2010-05-21;--:--;      2.720
2010-05-22;--:--;      3.060
2010-05-23;--:--;      3.300
2010-05-24;--:--;      3.620
2010-05-25;--:--;      4.650
2010-05-26;--:--;      6.400
2010-05-27;--:--;      7.310
2010-05-28;--:--;      5.200
2010-05-29;--:--;      4.620
2010-05-30;--:--;      5.310
2010-05-31;--:--;      4.950
2010-06-01;--:--;      4.050
2010-06-02;--:--;      3.510
2010-06-03;--:--;      3.620
2010-06-04;--:--;      3.810
2010-06-05;--:--;      4.450
2010-06-06;--:--;      5.630
2010-06-07;--:--;      6.700
2010-06-08;--:--;      7.310
2010-06-09;--:--;      8.630
2010-06-10;--:--;     11.700
2010-06-11;--:--;     13.500
2010-06-12;--:--;     13.200
2010-06-13;--:--;     12.000
2010-06-14;--:--;     14.700
2010-06-15;--:--;      9.690
2010-06-16;--:--;      9.630
2010-06-17;--:--;      8.850
2010-06-18;--:--;      7.380
2010-06-19;--:--;      6.010
2010-06-20;--:--;      5.460
2010-06-21;--:--;      4.470
2010-06-22;--:--;      3.860
2010-06-23;--:--;      3.720
2010-06-24;--:--;      3.720
2010-06-25;--:--;      3.940
2010-06-26;--:--;      4.180
2010-06-27;--:--;      4.640
2010-06-28;--:--;      5.270
2010-06-29;--:--;      5.610
2010-06-30;--:--;      5.400
2010-07-01;--:--;      5.150
2010-07-02;--:--;      5.620
2010-07-03;--:--;      5.860
2010-07-04;--:--;      5.950
2010-07-05;--:--;      6.190
2010-07-06;--:--;      5.440
2010-07-07;--:--;      4.430
2010-07-08;--:--;      3.920
2010-07-09;--:--;      4.550
2010-07-10;--:--;      4.810
2010-07-11;--:--;      4.930
2010-07-12;--:--;      5.150
2010-07-13;--:--;      4.810
2010-07-14;--:--;      5.180
2010-07-15;--:--;      5.130
2010-07-16;--:--;      4.770
2010-07-17;--:--;      4.490
2010-07-18;--:--;      4.720
2010-07-19;--:--;      3.580
2010-07-20;--:--;      3.410
2010-07-21;--:--;      3.380
2010-07-22;--:--;      3.350
2010-07-23;--:--;      4.190
2010-07-24;--:--;      5.840
2010-07-25;--:--;      3.470
2010-07-26;--:--;      2.850
2010-07-27;--:--;      2.560
2010-07-28;--:--;      2.390
2010-07-29;--:--;      2.910
2010-07-30;--:--;      2.910
2010-07-31;--:--;      2.530
2010-08-01;--:--;      2.510
2010-08-02;--:--;      2.690
2010-08-03;--:--;      3.680
2010-08-04;--:--;      2.870
2010-08-05;--:--;      3.550
2010-08-06;--:--;      4.560
2010-08-07;--:--;      3.290
2010-08-08;--:--;      2.850
2010-08-09;--:--;      2.800
2010-08-10;--:--;      2.690
2010-08-11;--:--;      2.650
2010-08-12;--:--;      3.030
2010-08-13;--:--;      4.410
2010-08-14;--:--;      5.530
2010-08-15;--:--;     12.700
2010-08-16;--:--;      9.310
2010-08-17;--:--;      6.570
2010-08-18;--:--;      5.190
2010-08-19;--:--;      4.250
2010-08-20;--:--;      3.630
2010-08-21;--:--;      3.330
2010-08-22;--:--;      3.060
2010-08-23;--:--;      2.950
2010-08-24;--:--;      3.390
2010-08-25;--:--;      3.370
2010-08-26;--:--;      2.900
2010-08-27;--:--;      3.930
2010-08-28;--:--;      3.760
2010-08-29;--:--;      2.930
2010-08-30;--:--;      3.230
2010-08-31;--:--;      3.310
2010-09-01;--:--;      3.140
2010-09-02;--:--;      3.090
2010-09-03;--:--;      3.100
2010-09-04;--:--;      3.080
2010-09-05;--:--;      2.960
2010-09-06;--:--;      2.820
2010-09-07;--:--;      2.830
2010-09-08;--:--;      3.100
2010-09-09;--:--;      3.400
2010-09-10;--:--;      2.990
2010-09-11;--:--;      2.650
2010-09-12;--:--;      2.470
2010-09-13;--:--;      2.330
2010-09-14;--:--;      2.100
2010-09-15;--:--;      1.970
2010-09-16;--:--;      2.070
2010-09-17;--:--;      3.090
2010-09-18;--:--;      5.810
2010-09-19;--:--;      4.170
2010-09-20;--:--;      3.190
2010-09-21;--:--;      2.790
2010-09-22;--:--;      2.510
2010-09-23;--:--;      2.340
2010-09-24;--:--;      2.200
2010-09-25;--:--;      3.410
2010-09-26;--:--;      2.760
2010-09-27;--:--;      2.550
2010-09-28;--:--;      2.460
2010-09-29;--:--;      2.320
2010-09-30;--:--;      2.180
2010-10-01;--:--;      2.160
2010-10-02;--:--;      2.130
2010-10-03;--:--;      2.090
2010-10-04;--:--;      2.090
2010-10-05;--:--;      3.080
2010-10-06;--:--;      3.220
2010-10-07;--:--;      2.760
2010-10-08;--:--;      2.500
2010-10-09;--:--;      2.330
2010-10-10;--:--;      2.170
2010-10-11;--:--;      2.020
2010-10-12;--:--;      1.910
2010-10-13;--:--;      1.780
2010-10-14;--:--;      1.650
2010-10-15;--:--;      1.570
2010-10-16;--:--;      1.510
2010-10-17;--:--;      1.500
2010-10-18;--:--;      1.440
2010-10-19;--:--;      1.350
2010-10-20;--:--;      1.260
2010-10-21;--:--;      1.510
2010-10-22;--:--;      1.510
2010-10-23;--:--;      1.310
2010-10-24;--:--;      1.280
2010-10-25;--:--;      1.500
2010-10-26;--:--;      1.730
2010-10-27;--:--;      1.620
2010-10-28;--:--;      1.720
2010-10-29;--:--;      1.670
