# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6340671
# River:                 BILY HALSTROV
# Station:               ADORF 1
# Country:               DE
# Latitude (DD):       50.325
# Longitude (DD):      12.259
# Catchment area (km²):      171.0
# Altitude (m ASL):        436.1
# Next downstream station:      6340301
# Remarks:               
# Owner of original data: Germany - Federal Institute of Hydrology (BfG), please note that values not always have yearbook quality
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2016-01 - 2022-12
# No. of years:          7
# Last update:           2023-09-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2553
# DATA
YYYY-MM-DD;hh:mm; Value
2016-01-01;--:--;      0.934
2016-01-02;--:--;      0.926
2016-01-03;--:--;      0.838
2016-01-04;--:--;      0.838
2016-01-05;--:--;      0.838
2016-01-06;--:--;      0.884
2016-01-07;--:--;      0.950
2016-01-08;--:--;      0.950
2016-01-09;--:--;      0.950
2016-01-10;--:--;      0.951
2016-01-11;--:--;      1.220
2016-01-12;--:--;      1.430
2016-01-13;--:--;      1.370
2016-01-14;--:--;      1.280
2016-01-15;--:--;      1.180
2016-01-16;--:--;      1.180
2016-01-17;--:--;      1.180
2016-01-18;--:--;      1.180
2016-01-19;--:--;      1.180
2016-01-20;--:--;      1.160
2016-01-21;--:--;      1.130
2016-01-22;--:--;      1.120
2016-01-23;--:--;      1.100
2016-01-24;--:--;      1.090
2016-01-25;--:--;      1.550
2016-01-26;--:--;      1.760
2016-01-27;--:--;      1.970
2016-01-28;--:--;      2.640
2016-01-29;--:--;      2.340
2016-01-30;--:--;      2.330
2016-01-31;--:--;      2.600
2016-02-01;--:--;      3.080
2016-02-02;--:--;      2.700
2016-02-03;--:--;      2.670
2016-02-04;--:--;      2.590
2016-02-05;--:--;      2.510
2016-02-06;--:--;      2.480
2016-02-07;--:--;      2.320
2016-02-08;--:--;      2.550
2016-02-09;--:--;      3.420
2016-02-10;--:--;      3.930
2016-02-11;--:--;      3.340
2016-02-12;--:--;      3.380
2016-02-13;--:--;      3.230
2016-02-14;--:--;      3.380
2016-02-15;--:--;      3.130
2016-02-16;--:--;      2.830
2016-02-17;--:--;      2.630
2016-02-18;--:--;      2.590
2016-02-19;--:--;      2.460
2016-02-20;--:--;      2.360
2016-02-21;--:--;      2.640
2016-02-22;--:--;      2.570
2016-02-23;--:--;      2.810
2016-02-24;--:--;      2.580
2016-02-25;--:--;      2.340
2016-02-26;--:--;      2.220
2016-02-27;--:--;      2.140
2016-02-28;--:--;      2.140
2016-02-29;--:--;      2.140
2016-03-01;--:--;      2.140
2016-03-02;--:--;      2.220
2016-03-03;--:--;      2.210
2016-03-04;--:--;      2.140
2016-03-05;--:--;      2.010
2016-03-06;--:--;      2.160
