GRDC,latitude,longitude,catchment_area
6335620,49.345874,9.128615,156.0
6559141,46.0939,13.8321,54.7
6348350,45.701,8.6507,-999.0
6139710,47.733334,6.733333,33.0
6139640,46.170688,5.289284,84.4
6220310,51.004141,5.01404,-999.0
6242020,47.21,10.14,84.39
6935460,47.4963,8.953,78.9
6935530,46.6313,7.8997,164.0
6935102,47.1074,8.766,9.06
6943160,46.4899,9.8982,66.5
6135210,48.269213,7.291974,108.0
6235200,47.2575,9.7292,33.27
6948110,46.2954,10.08,169.0
6935220,47.5504,9.3572,48.5
6935370,46.969,7.1926,50.1
6357510,51.064069,14.944133,162.0
6939110,46.6259,6.5258,165.0
6935380,46.547,7.7574,26.0
6221510,50.155915,5.261743,276.0
6335700,48.67,9.39,178.7
6220360,50.987653,4.822322,-999.0
6246190,47.1244,12.4519,39.3
6243800,48.2736,13.4511,164.9
6343510,47.71,12.17,5.7
6342105,48.260693,9.898501,264.0
6545120,45.9873,15.2144,268.0
6943110,46.6932,10.1183,26.9
6935410,47.4144,9.3275,261.0
6836400,49.72311178,6.10079479,83.6
6340215,53.60511,9.967144,82.4
6243355,47.0631,11.5003,108.8
6337300,51.366474,9.757545,14.3
6139810,45.87,5.69,42.0
6140280,50.1534,12.8458,256.11
6242610,47.635,13.7681,48.17
6246100,47.39,14.91,265.6
6935550,46.7755,9.8773,43.3
6243120,46.8575,10.911389,98.1
6340515,52.372173,12.505328,153.0
6335571,48.526377,8.962187,133.0
6342220,47.35,10.31,8.3
6335640,49.008091,8.515945,235.0
6935387,46.486,7.5521,28.8
6935404,47.1912,9.2336,84.0
6559121,46.184,13.7405,161.23
6939100,46.4513,6.952,7.0
6342530,47.59,10.41,35.1
6943180,46.7301,10.3052,89.0
6243810,48.31361111,13.45388889,68.6
6246180,47.0261,12.6322,47.0
6220370,50.89094,5.021138,96.0
6340216,53.576022,10.069745,81.7
6943170,46.5693,9.936,73.3
6139780,47.499444,6.752157,42.2
6242030,48.45777778,13.92333333,200.2
6336510,49.888832,6.46575,266.0
6246170,46.9181,12.5139,268.6
6235210,47.2272,9.8761,95.66
6935360,47.1892,7.7928,115.0
6135200,48.5,7.28,230.0
6136202,47.90859,6.685294,153.0
6139140,44.774852,5.145297,108.0
6935101,47.0976,8.8178,8.95
6221570,49.793048,5.381486,182.0
6242251,47.3828,13.4258,134.5
6139650,46.17,6.27,160.0
6139700,46.9,5.49,41.0
6342540,47.65,10.83,26.9
6836200,49.58628744,6.14907954,292.3
6242933,47.41,10.91,88.4
6935340,47.0158,7.8427,0.5
6935210,47.4969,9.4396,24.2
6139900,47.237003,5.220392,264.0
6357520,50.891976,14.802623,-999.0
6340670,50.325018,12.259008,171.0
6246150,47.0472,12.8053,74.5
6335830,49.156612,8.633705,161.1
6935450,47.3761,9.0123,3.31
6943150,46.4864,9.9062,107.0
6340415,50.843051,13.76603,43.5
6337580,51.944106,9.612062,65.6
6139720,47.7,6.87,25.4
6935580,46.8113,8.599,20.6
6220320,50.955485,4.89056,-999.0
6349350,45.844,11.3677,138.0
6335610,49.321958,8.818847,259.4
6235101,47.33,9.9728,147.07
6340225,50.870692,11.642973,254.5
6243235,47.4281,12.8389,119.5
6335551,48.51144,9.151828,161.3
6337330,50.718201,10.400272,153.0
6139837,46.1499,5.8007,183.0
6948150,46.0175,8.9625,73.9
6335485,49.19,9.24,109.5
6139680,47.801835,6.666987,73.5
6935420,47.3391,9.2935,64.5
6935570,46.8166,8.3959,85.0
6939501,46.5623,8.3621,38.9
6242130,48.2075,14.56222222,91.8
6242281,47.7236,14.2964,148.6
6340366,50.889017,12.432924,293.0
6340613,51.215179,14.471889,278.0
6343520,47.75,12.18,28.3
6243830,48.24,13.61,14.2
6139750,45.12,6.02,172.0
6139600,45.45,6.99,46.0
6348310,45.83,8.26,149.0
6343537,47.83,12.65,92.6
6242950,47.36388889,11.11333333,45.0
6342951,47.43,11.26,111.1
6335677,48.985379,9.740556,125.9
6335730,47.699494,7.845408,206.0
6342125,48.28903,10.65667,133.0
6139740,44.83,6.15,133.0
6939205,46.3189,6.9709,132.0
6220340,51.081997,5.094293,-999.0
6342210,47.51,10.33,126.0
6335720,48.24,8.212933,146.0
6235300,47.46333333,9.681944444,197.53
6343111,47.71,11.9354,111.3
6337320,50.83704,10.085826,214.0
6242070,48.3661,14.1389,227.4
6242120,48.27888889,14.44777778,257.7
6342945,47.74,11.58,33.9
6935430,47.3642,9.1214,88.2
6243110,46.8628,10.9186,164.7
6349210,46.88,11.41,207.0
6939650,47.06,6.71,37.9
6139730,44.9,5.49,143.0
6335465,47.70835,9.81745,261.0
6335040,50.766075,6.84604,285.0
6337590,51.651,10.254582,127.0
6342570,47.6,11.06,113.6
6337503,51.38311,8.728344,103.0
6342081,48.01,9.16,199.6
6337350,50.496464,10.722448,256.0
6335680,48.932547,10.139614,178.5
6335697,49.140837,9.851501,259.67
6935200,47.4873,9.4715,50.0
6235102,47.2861,10.0478,40.87
6338260,53.387013,9.706704,184.0
6935440,47.3981,9.2571,16.2
6935510,46.5297,9.2046,53.7
6335820,49.366979,11.38,209.0
6935065,47.1968,7.1722,150.0
6246140,47.0153,13.3692,9.3
6342935,47.48,11.12,96.2
6836500,49.72918441,6.07952383,164.2
6335725,48.317024,8.217126,126.0
6335300,49.234982,9.332153,141.0
6342630,49.309549,12.841559,280.1
6939510,46.3856,8.0067,195.0
6935318,46.6902,7.2862,1.38
6139470,45.95,5.43,232.0
6139520,46.647213,5.774708,49.0
6139831,46.218944,5.864085,119.0
6335035,51.10887,8.100414,186.0
6335165,49.813865,8.627985,90.6
6220345,51.121712,5.102823,-999.0
6242952,47.38888889,11.25805556,65.1
