GRDC,latitude,longitude,catchment_area,start_date,end_date
6335620_Q_Day,49.345874,9.128615,156.0,1980-11,2021-12
6220310_Q_Day,51.004141,5.01404,-999.0,1986-10,2023-08
6242020_Q_Day,47.21,10.14,84.39,1951-01,2020-12
6935460_Q_Day,47.4963,8.953,78.9,1914-01,2020-12
6935530_Q_Day,46.6313,7.8997,164.0,1933-01,2020-12
6943160_Q_Day,46.4899,9.8982,66.5,1954-04,2020-12
6235200_Q_Day,47.2575,9.7292,33.27,1956-01,2020-12
6948110_Q_Day,46.2954,10.08,169.0,1931-01,2020-12
6935220_Q_Day,47.5504,9.3572,48.5,1961-04,2020-12
6357510_Q_Day,51.064069,14.944133,162.0,1964-11,2021-12
6335700_Q_Day,48.67,9.39,178.7,1941-11,2019-12
6220360_Q_Day,50.987653,4.822322,-999.0,1971-01,2023-08
6246190_Q_Day,47.1244,12.4519,39.3,1951-01,2020-12
6243800_Q_Day,48.2736,13.4511,164.9,1951-01,2020-12
6343510_Q_Day,47.71,12.17,5.7,1950-11,2020-12
6342105_Q_Day,48.260693,9.898501,264.0,1924-11,2022-12
6943110_Q_Day,46.6932,10.1183,26.9,1961-06,2020-12
6935410_Q_Day,47.4144,9.3275,261.0,1980-07,2020-12
6340215_Q_Day,53.60511,9.967144,82.4,1966-10,2017-12
6243355_Q_Day,47.0631,11.5003,108.8,1951-01,2020-12
6337300_Q_Day,51.366474,9.757545,14.3,1998-01,2017-12
6140280_Q_Day,50.1534,12.8458,256.11,1992-11,2022-12
6242610_Q_Day,47.635,13.7681,48.17,1951-01,2020-12
6246100_Q_Day,47.39,14.91,265.6,1966-01,2020-12
6935550_Q_Day,46.7755,9.8773,43.3,1963-07,2020-12
6243120_Q_Day,46.8575,10.911389,98.1,1967-01,2020-12
6340515_Q_Day,52.372173,12.505328,153.0,1970-11,2022-10
6335571_Q_Day,48.526377,8.962187,133.0,1911-11,2018-11
6335640_Q_Day,49.008091,8.515945,235.0,1924-11,2022-12
6935387_Q_Day,46.486,7.5521,28.8,1950-01,2020-12
6342530_Q_Day,47.59,10.41,35.1,1956-11,2019-12
6243810_Q_Day,48.31361111,13.45388889,68.6,1971-01,2020-12
6246180_Q_Day,47.0261,12.6322,47.0,1951-01,2020-12
6220370_Q_Day,50.89094,5.021138,96.0,1975-01,2023-08
6340216_Q_Day,53.576022,10.069745,81.7,1967-02,2017-12
6943170_Q_Day,46.5693,9.936,73.3,1954-05,2020-12
6242030_Q_Day,48.45777778,13.92333333,200.2,1976-01,2020-12
6336510_Q_Day,49.888832,6.46575,266.0,1956-11,2021-12
6246170_Q_Day,46.9181,12.5139,268.6,1951-01,2020-12
6235210_Q_Day,47.2272,9.8761,95.66,1964-01,2020-12
6242251_Q_Day,47.3828,13.4258,134.5,1961-01,2020-12
6342540_Q_Day,47.65,10.83,26.9,1925-11,2019-12
6242933_Q_Day,47.41,10.91,88.4,1980-01,2020-12
6935340_Q_Day,47.0158,7.8427,0.5,1957-11,2020-12
6340670_Q_Day,50.325018,12.259008,171.0,1925-11,2017-12
6335830_Q_Day,49.156612,8.633705,161.1,1975-11,2022-12
6935450_Q_Day,47.3761,9.0123,3.31,1975-04,2020-12
6943150_Q_Day,46.4864,9.9062,107.0,1954-05,2020-12
6340415_Q_Day,50.843051,13.76603,43.5,1962-11,2020-12
6337580_Q_Day,51.944106,9.612062,65.6,1961-02,2017-12
6935580_Q_Day,46.8113,8.599,20.6,1960-01,2020-12
6335610_Q_Day,49.321958,8.818847,259.4,1966-11,2019-12
6235101_Q_Day,47.33,9.9728,147.07,1951-01,2020-12
6340225_Q_Day,50.870692,11.642973,254.5,1947-11,2020-12
6243235_Q_Day,47.4281,12.8389,119.5,1951-01,2020-12
6335551_Q_Day,48.51144,9.151828,161.3,1911-01,2019-12
6337330_Q_Day,50.718201,10.400272,153.0,1955-11,2017-12
6948150_Q_Day,46.0175,8.9625,73.9,1962-06,2020-12
6335485_Q_Day,49.19,9.24,109.5,1931-11,2021-12
6939501_Q_Day,46.5623,8.3621,38.9,1956-01,2020-12
6242130_Q_Day,48.2075,14.56222222,91.8,1978-01,2020-12
6242281_Q_Day,47.7236,14.2964,148.6,1951-01,2020-12
6340366_Q_Day,50.889017,12.432924,293.0,1992-11,2020-12
6343520_Q_Day,47.75,12.18,28.3,1950-11,2020-12
6243830_Q_Day,48.24,13.61,14.2,1976-01,2020-12
6343537_Q_Day,47.83,12.65,92.6,1925-11,2019-12
6242950_Q_Day,47.36388889,11.11333333,45.0,1984-01,2020-12
6335677_Q_Day,48.985379,9.740556,125.9,1926-11,2019-12
6335730_Q_Day,47.699494,7.845408,206.0,1928-04,2022-12
6342125_Q_Day,48.28903,10.65667,133.0,1950-11,2018-12
6939205_Q_Day,46.3189,6.9709,132.0,1935-01,2020-12
6220340_Q_Day,51.081997,5.094293,-999.0,1998-12,2023-08
6342210_Q_Day,47.51,10.33,126.0,1932-11,2018-12
6335720_Q_Day,48.24,8.212933,146.0,1934-11,2019-12
6235300_Q_Day,47.46333333,9.681944444,197.53,1983-12,2020-12
6343111_Q_Day,47.71,11.9354,111.3,1940-11,2020-12
6242070_Q_Day,48.3661,14.1389,227.4,1961-01,2020-12
6242120_Q_Day,48.27888889,14.44777778,257.7,1979-01,2020-12
6342945_Q_Day,47.74,11.58,33.9,1955-11,2021-12
6935430_Q_Day,47.3642,9.1214,88.2,1972-01,2020-12
6335465_Q_Day,47.70835,9.81745,261.0,1921-11,2021-12
6335040_Q_Day,50.766075,6.84604,285.0,1971-01,2021-06
6337590_Q_Day,51.651,10.254582,127.0,1950-11,2017-12
6342570_Q_Day,47.6,11.06,113.6,1920-11,2019-12
6337503_Q_Day,51.38311,8.728344,103.0,1940-11,2020-12
6342081_Q_Day,48.01,9.16,199.6,1952-12,2022-12
6337350_Q_Day,50.496464,10.722448,256.0,1950-11,2019-08
6335680_Q_Day,48.932547,10.139614,178.5,1941-11,2022-12
6935200_Q_Day,47.4873,9.4715,50.0,1974-01,2020-12
6235102_Q_Day,47.2861,10.0478,40.87,1956-01,2020-12
6338260_Q_Day,53.387013,9.706704,184.0,1956-11,2017-12
6935440_Q_Day,47.3981,9.2571,16.2,1961-01,2020-12
6335820_Q_Day,49.366979,11.38,209.0,1920-11,2019-12
6935065_Q_Day,47.1968,7.1722,150.0,1961-01,2020-12
6246140_Q_Day,47.0153,13.3692,9.3,1961-01,2020-12
6342935_Q_Day,47.48,11.12,96.2,1920-11,2021-12
6335725_Q_Day,48.317024,8.217126,126.0,1909-11,2019-12
6335300_Q_Day,49.234982,9.332153,141.0,1941-11,2021-12
6342630_Q_Day,49.309549,12.841559,280.1,1950-11,2020-12
6939510_Q_Day,46.3856,8.0067,195.0,1922-04,2020-12
6935318_Q_Day,46.6902,7.2862,1.38,1961-09,2020-12
6335035_Q_Day,51.10887,8.100414,186.0,1951-11,2021-12
6335165_Q_Day,49.813865,8.627985,90.6,1955-11,2021-12
6242952_Q_Day,47.38888889,11.25805556,65.1,1987-01,2020-12
6343535_Q_Day,47.82,12.65,179.9,1925-11,2019-12
6343110_Q_Day,47.8881,11.831,202.7,1950-11,2020-12
6559110_Q_Day,46.3097,13.4778,50.21,1954-01,2021-12
6342940_Q_Day,47.77,11.57,20.6,1934-11,2021-12
6342810_Q_Day,48.091695,9.149755,155.0,1931-01,2022-12
6335671_Q_Day,48.586485,8.603951,134.4,1929-11,2021-12
6343531_Q_Day,47.8337,12.648,273.2,1968-11,2019-12
6340360_Q_Day,50.774489,12.060282,296.7,1960-11,2020-12
6246632_Q_Day,47.37,13.482778,86.5,1951-01,2020-12
6243220_Q_Day,47.5197,12.4425,165.9,1956-01,2020-12
6335696_Q_Day,48.622759,9.83928,146.0,1953-11,2021-12
6243410_Q_Day,46.865,11.0197,72.5,1966-01,2020-12
6340400_Q_Day,51.310552,13.25312,211.0,1911-11,2020-12
6235110_Q_Day,47.3864,10.0411,30.94,1951-01,2020-12
6935060_Q_Day,47.284,7.3823,183.0,1911-03,2020-12
6242260_Q_Day,47.7653,14.1706,184.9,1951-01,2020-12
6235100_Q_Day,47.3553,9.8814,227.36,1951-01,2020-12
6935120_Q_Day,46.7768,6.7242,105.0,1971-01,2020-12
6935070_Q_Day,47.4881,7.7341,261.0,1934-01,2020-12
6340410_Q_Day,50.953832,13.853698,198.0,1911-11,2021-12
6935345_Q_Day,47.0163,7.8903,0.6,1957-11,2020-12
6338010_Q_Day,51.832562,6.47232,258.0,1984-11,2018-10
6242270_Q_Day,47.8031,14.1386,72.4,1956-01,2020-12
6335055_Q_Day,47.987783,7.898793,257.0,1940-11,2021-12
6335470_Q_Day,47.729498,9.24493,271.5,1938-11,2022-12
6343555_Q_Day,47.62,12.95,122.3,1930-11,2021-06
6342947_Q_Day,47.59,11.54,7.8,1959-11,2021-12
6335676_Q_Day,48.984121,9.458716,180.0,1936-11,2021-12
6243230_Q_Day,47.4414,12.8197,112.3,1961-01,2020-12
6243360_Q_Day,47.0933,11.4658,111.4,1951-01,2020-12
6242951_Q_Day,47.39,11.26,203.6,1979-01,2020-12
6340612_Q_Day,51.164241,14.406338,275.9,1925-11,2017-12
6246635_Q_Day,47.1769,13.7053,77.1,1961-01,2020-12
6935335_Q_Day,46.9101,8.561,43.9,1956-02,2020-12
6242280_Q_Day,47.67,14.33,40.2,1966-01,2020-12
6246121_Q_Day,46.94,14.55,130.3,1966-01,2020-12
6335735_Q_Day,48.490087,8.145405,107.7,1981-11,2021-12
6335665_Q_Day,48.695677,9.318533,127.1,1941-11,2019-12
6935080_Q_Day,46.8852,7.5017,117.0,1922-02,2020-12
6935331_Q_Day,46.4263,7.4729,35.7,1944-01,2020-12
6242621_Q_Day,48.134167,14.008056,68.3,1971-01,2020-12
6246631_Q_Day,47.1339,13.6842,102.1,1961-01,2020-12
6335550_Q_Day,48.559907,9.266819,161.0,1922-11,2021-12
6335175_Q_Day,49.209637,8.052761,196.0,1961-01,2021-12
6935315_Q_Day,46.6864,7.2815,1.65,1961-09,2020-12
6243210_Q_Day,47.52,12.4031,147.4,1961-01,2020-12
6337542_Q_Day,51.378703,9.970453,275.0,1959-11,2021-12
6342820_Q_Day,48.62954,13.36914,211.4,1957-11,2020-12
6935412_Q_Day,47.332,9.4106,74.2,1912-01,2020-12
6243450_Q_Day,46.9381,10.49,107.8,1954-01,2020-12
6335155_Q_Day,49.950818,8.452623,136.0,1964-11,2021-12
6335570_Q_Day,48.584384,8.125898,53.4,1971-11,2021-12
6934870_Q_Day,55.04735,9.09297,103.0,1962-05,2022-12
6246185_Q_Day,47.0261,12.6344,13.9,1951-01,2020-12
6343120_Q_Day,47.69,11.78,31.1,1950-11,2020-12
6939520_Q_Day,46.4189,7.8175,77.8,1956-01,2020-12
6243260_Q_Day,47.23,12.25,80.7,1961-01,2020-12
6948520_Q_Day,46.2016,9.1689,8.06,1966-01,2020-12
6335580_Q_Day,48.340419,7.868864,130.0,1969-11,2021-12
6340430_Q_Day,50.941862,14.13386,267.0,1911-11,2022-12
6948360_Q_Day,46.3696,8.5429,24.0,1967-01,2020-12
6935100_Q_Day,47.0806,8.8138,59.2,1960-02,2020-12
6935361_Q_Day,47.1225,7.8282,59.9,1966-01,2020-12
6934800_Q_Day,55.06221,8.82536,290.0,1922-01,2022-12
6939550_Q_Day,46.3167,7.9868,77.7,1966-01,2020-12
6335635_Q_Day,49.249141,9.456837,152.0,1941-11,2019-12
6337521_Q_Day,51.031445,8.386279,84.7,1951-01,2022-12
6948111_Q_Day,46.399,10.0672,14.1,1970-01,2020-12
6342660_Q_Day,48.413618,11.979419,141.8,1953-11,2021-12
6246161_Q_Day,47.02,12.34,107.0,1951-01,2020-12
6935600_Q_Day,46.8598,9.5105,263.0,1974-01,2020-12
6948530_Q_Day,46.2248,8.0154,19.8,1952-01,2020-12
6340330_Q_Day,50.769252,11.542917,254.8,1927-11,2020-12
6421900_Q_Day,50.88,5.68,-999.0,1994-01,2019-12
6243270_Q_Day,47.2531,12.4864,79.8,1951-01,2020-12
6337600_Q_Day,50.853971,9.283338,250.0,1959-11,2017-12
6246165_Q_Day,47.0197,12.3394,35.0,1950-12,2020-12
6342840_Q_Day,48.938176,13.412422,19.3,1977-11,2021-12
6340420_Q_Day,51.022092,13.993832,227.0,1920-11,2021-12
6246195_Q_Day,47.1186,12.4956,59.9,1951-01,2020-12
6342050_Q_Day,47.785485,8.87708,134.0,1937-08,2021-12
6335560_Q_Day,48.380713,8.886825,131.5,1936-01,2021-12
6243350_Q_Day,47.0369,11.4794,58.3,1951-01,2020-12
6243200_Q_Day,47.4553,12.39,153.0,1951-01,2020-12
6340340_Q_Day,50.565535,11.751463,158.3,1924-11,2020-12
6340635_Q_Day,50.631093,13.07852,206.0,1920-11,2022-12
6242615_Q_Day,47.804167,13.454167,247.4,1977-01,2020-12
6335156_Q_Day,50.136749,8.399592,108.0,1955-11,2021-12
6943115_Q_Day,46.6551,10.19,55.3,1960-01,2020-12
6335651_Q_Day,48.724098,8.897686,238.2,1952-11,2019-12
6545125_Q_Day,45.9885,15.2301,271.21,1992-01,2021-12
6421103_Q_Day,50.9,5.74,-999.0,1994-01,2018-12
6342960_Q_Day,48.816254,13.358568,113.3,1950-11,2021-12
6559130_Q_Day,46.1557,13.7757,142.31,1952-01,2021-12
