# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6139340
# River:                 GALAURE
# Station:               ST. UZE
# Country:               FR
# Latitude (DD):       45.18
# Longitude (DD):      4.85
# Catchment area (km²):      232.0
# Altitude (m ASL):        -999.00
# Next downstream station:      6139100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1980-02 - 1992-02
# No. of years:          13
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4402
# DATA
YYYY-MM-DD;hh:mm; Value
1980-02-05;--:--;      2.000
1980-02-06;--:--;      2.000
1980-02-07;--:--;      2.000
1980-02-08;--:--;      2.000
1980-02-09;--:--;      2.000
1980-02-10;--:--;      2.000
1980-02-11;--:--;      2.000
1980-02-12;--:--;      2.000
1980-02-13;--:--;      1.000
1980-02-14;--:--;      1.000
1980-02-15;--:--;      1.000
1980-02-16;--:--;      1.000
1980-02-17;--:--;      1.000
1980-02-18;--:--;      1.000
1980-02-19;--:--;      1.000
1980-02-20;--:--;   -999.000
1980-02-21;--:--;      1.000
1980-02-22;--:--;      1.000
1980-02-23;--:--;      1.000
1980-02-24;--:--;      1.000
1980-02-25;--:--;      1.000
1980-02-26;--:--;      1.000
1980-02-27;--:--;      1.000
1980-02-28;--:--;      2.000
1980-02-29;--:--;      2.000
1980-03-01;--:--;      2.000
1980-03-02;--:--;      2.000
1980-03-03;--:--;      2.000
1980-03-04;--:--;      5.000
1980-03-05;--:--;      5.000
1980-03-06;--:--;      6.000
1980-03-07;--:--;      5.000
1980-03-08;--:--;      5.000
1980-03-09;--:--;      4.000
1980-03-10;--:--;      8.000
1980-03-11;--:--;     11.000
1980-03-12;--:--;      7.000
1980-03-13;--:--;     10.000
1980-03-14;--:--;      7.000
1980-03-15;--:--;      5.000
1980-03-16;--:--;      4.000
1980-03-17;--:--;      4.000
1980-03-18;--:--;      4.000
1980-03-19;--:--;      3.000
1980-03-20;--:--;      3.000
1980-03-21;--:--;      2.000
1980-03-22;--:--;      2.000
1980-03-23;--:--;      2.000
1980-03-24;--:--;      2.000
1980-03-25;--:--;      2.000
1980-03-26;--:--;      1.000
1980-03-27;--:--;      1.000
1980-03-28;--:--;      1.000
1980-03-29;--:--;      1.000
1980-03-30;--:--;      1.000
1980-03-31;--:--;   -999.000
1980-04-01;--:--;      1.000
1980-04-02;--:--;      2.000
1980-04-03;--:--;      1.000
1980-04-04;--:--;      1.000
1980-04-05;--:--;      1.000
1980-04-06;--:--;      2.000
1980-04-07;--:--;      2.000
1980-04-08;--:--;      5.000
1980-04-09;--:--;      3.000
1980-04-10;--:--;      3.000
1980-04-11;--:--;      2.000
1980-04-12;--:--;      3.000
1980-04-13;--:--;      2.000
1980-04-14;--:--;      2.000
1980-04-15;--:--;      2.000
1980-04-16;--:--;      2.000
1980-04-17;--:--;      2.000
1980-04-18;--:--;      2.000
1980-04-19;--:--;      2.000
1980-04-20;--:--;      2.000
1980-04-21;--:--;      1.000
1980-04-22;--:--;      1.000
1980-04-23;--:--;      1.000
1980-04-24;--:--;      1.000
1980-04-25;--:--;      2.000
1980-04-26;--:--;      2.000
1980-04-27;--:--;      2.000
1980-04-28;--:--;      2.000
1980-04-29;--:--;      2.000
1980-04-30;--:--;      2.000
1980-05-01;--:--;      2.000
1980-05-02;--:--;      2.000
1980-05-03;--:--;      2.000
1980-05-04;--:--;      2.000
1980-05-05;--:--;      3.000
1980-05-06;--:--;      3.000
1980-05-07;--:--;      2.000
1980-05-08;--:--;      2.000
1980-05-09;--:--;      2.000
1980-05-10;--:--;      1.000
1980-05-11;--:--;      1.000
1980-05-12;--:--;      2.000
1980-05-13;--:--;      2.000
1980-05-14;--:--;      1.000
1980-05-15;--:--;      1.000
1980-05-16;--:--;      1.000
1980-05-17;--:--;      1.000
1980-05-18;--:--;      1.000
1980-05-19;--:--;      2.000
1980-05-20;--:--;      4.000
1980-05-21;--:--;      3.000
1980-05-22;--:--;      3.000
1980-05-23;--:--;      3.000
1980-05-24;--:--;      2.000
1980-05-25;--:--;      2.000
1980-05-26;--:--;      2.000
1980-05-27;--:--;      1.000
1980-05-28;--:--;      1.000
1980-05-29;--:--;      1.000
1980-05-30;--:--;      1.000
1980-05-31;--:--;   -999.000
1980-06-01;--:--;      1.000
1980-06-02;--:--;      1.000
1980-06-03;--:--;      1.000
1980-06-04;--:--;      1.000
1980-06-05;--:--;      1.000
1980-06-06;--:--;      1.000
1980-06-07;--:--;      1.000
1980-06-08;--:--;      1.000
1980-06-09;--:--;      1.000
1980-06-10;--:--;      1.000
1980-06-11;--:--;      1.000
1980-06-12;--:--;      1.000
1980-06-13;--:--;      1.000
1980-06-14;--:--;      1.000
1980-06-15;--:--;      1.000
1980-06-16;--:--;      1.000
1980-06-17;--:--;      2.000
1980-06-18;--:--;      1.000
1980-06-19;--:--;      1.000
1980-06-20;--:--;      1.000
1980-06-21;--:--;      1.000
1980-06-22;--:--;      1.000
1980-06-23;--:--;      1.000
1980-06-24;--:--;      1.000
1980-06-25;--:--;      1.000
1980-06-26;--:--;      1.000
1980-06-27;--:--;      1.000
1980-06-28;--:--;      5.000
1980-06-29;--:--;      4.000
1980-06-30;--:--;      3.000
1980-07-01;--:--;      2.000
1980-07-02;--:--;      2.000
1980-07-03;--:--;      1.000
1980-07-04;--:--;      1.000
1980-07-05;--:--;      1.000
1980-07-06;--:--;      1.000
1980-07-07;--:--;      1.000
1980-07-08;--:--;      1.000
1980-07-09;--:--;      1.000
1980-07-10;--:--;      1.000
1980-07-11;--:--;      1.000
1980-07-12;--:--;      1.000
1980-07-13;--:--;      1.000
1980-07-14;--:--;      1.000
1980-07-15;--:--;      0.000
1980-07-16;--:--;      0.000
1980-07-17;--:--;      0.000
1980-07-18;--:--;      0.000
1980-07-19;--:--;      0.000
1980-07-20;--:--;      0.000
1980-07-21;--:--;      0.000
1980-07-22;--:--;      0.000
