# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6139510
# River:                 VALOUSE
# Station:               THOIRETTE (CHALEA)
# Country:               FR
# Latitude (DD):       46.271939
# Longitude (DD):      5.516561
# Catchment area (km²):      228.0
# Altitude (m ASL):        336.56
# Next downstream station:      6139500
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956-01 - 1998-11
# No. of years:          43
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 15675
# DATA
YYYY-MM-DD;hh:mm; Value
1956-01-01;--:--;     24.000
1956-01-02;--:--;     21.000
1956-01-03;--:--;     17.000
1956-01-04;--:--;     13.000
1956-01-05;--:--;     11.500
1956-01-06;--:--;     10.000
1956-01-07;--:--;      8.700
1956-01-08;--:--;      7.300
1956-01-09;--:--;      5.900
1956-01-10;--:--;      3.500
1956-01-11;--:--;      2.500
1956-01-12;--:--;      4.600
1956-01-13;--:--;     15.500
1956-01-14;--:--;     24.000
1956-01-15;--:--;     15.500
1956-01-16;--:--;     18.500
1956-01-17;--:--;     15.500
1956-01-18;--:--;     18.500
1956-01-19;--:--;     29.000
1956-01-20;--:--;     18.500
1956-01-21;--:--;     13.000
1956-01-22;--:--;     10.000
1956-01-23;--:--;      8.700
1956-01-24;--:--;     11.500
1956-01-25;--:--;      8.700
1956-01-26;--:--;      7.300
1956-01-27;--:--;     10.000
1956-01-28;--:--;     25.000
1956-01-29;--:--;     15.500
1956-01-30;--:--;     28.000
1956-01-31;--:--;     25.000
1956-02-01;--:--;     22.000
1956-02-02;--:--;     15.500
1956-02-03;--:--;     11.500
1956-02-04;--:--;      8.700
1956-02-05;--:--;      7.300
1956-02-06;--:--;      5.900
1956-02-07;--:--;      4.600
1956-02-08;--:--;      4.600
1956-02-09;--:--;      3.500
1956-02-10;--:--;      3.500
1956-02-11;--:--;      3.500
1956-02-12;--:--;      2.500
1956-02-13;--:--;      2.500
1956-02-14;--:--;      2.500
1956-02-15;--:--;      2.500
1956-02-16;--:--;      2.500
1956-02-17;--:--;      2.500
1956-02-18;--:--;      2.500
1956-02-19;--:--;      2.500
1956-02-20;--:--;      2.500
1956-02-21;--:--;      2.500
1956-02-22;--:--;      2.500
1956-02-23;--:--;      2.100
1956-02-24;--:--;      0.750
1956-02-25;--:--;      0.750
1956-02-26;--:--;      0.750
1956-02-27;--:--;      0.750
1956-02-28;--:--;      0.750
1956-02-29;--:--;      0.750
1956-03-01;--:--;      1.650
1956-03-02;--:--;      1.650
1956-03-03;--:--;     15.500
1956-03-04;--:--;     14.000
1956-03-05;--:--;     27.000
1956-03-06;--:--;     18.500
1956-03-07;--:--;     13.000
1956-03-08;--:--;     10.000
1956-03-09;--:--;      7.300
1956-03-10;--:--;      5.900
1956-03-11;--:--;      4.600
1956-03-12;--:--;      4.600
1956-03-13;--:--;      3.500
1956-03-14;--:--;      3.500
1956-03-15;--:--;      2.500
1956-03-16;--:--;      2.500
1956-03-17;--:--;      2.500
1956-03-18;--:--;      1.650
1956-03-19;--:--;      1.650
1956-03-20;--:--;      1.650
1956-03-21;--:--;      1.650
1956-03-22;--:--;     11.500
1956-03-23;--:--;     11.500
1956-03-24;--:--;     10.000
1956-03-25;--:--;      8.700
1956-03-26;--:--;      8.700
1956-03-27;--:--;      7.300
1956-03-28;--:--;      5.900
1956-03-29;--:--;      5.900
1956-03-30;--:--;      4.600
1956-03-31;--:--;      3.500
1956-04-01;--:--;     10.000
1956-04-02;--:--;      8.700
1956-04-03;--:--;      7.300
1956-04-04;--:--;      5.900
1956-04-05;--:--;      5.900
1956-04-06;--:--;      4.600
1956-04-07;--:--;      4.600
1956-04-08;--:--;      4.600
1956-04-09;--:--;      3.500
1956-04-10;--:--;      3.500
1956-04-11;--:--;      3.500
1956-04-12;--:--;      3.500
1956-04-13;--:--;      2.500
1956-04-14;--:--;      3.500
1956-04-15;--:--;     15.500
1956-04-16;--:--;     29.000
1956-04-17;--:--;     29.000
1956-04-18;--:--;     26.000
1956-04-19;--:--;     17.000
1956-04-20;--:--;     13.000
1956-04-21;--:--;     10.000
1956-04-22;--:--;      8.700
1956-04-23;--:--;     11.500
1956-04-24;--:--;      8.700
1956-04-25;--:--;      7.300
1956-04-26;--:--;      5.900
1956-04-27;--:--;      4.600
1956-04-28;--:--;      4.600
1956-04-29;--:--;      4.600
1956-04-30;--:--;      3.500
1956-05-01;--:--;      3.500
1956-05-02;--:--;      3.500
1956-05-03;--:--;      3.500
1956-05-04;--:--;      3.500
1956-05-05;--:--;      2.500
1956-05-06;--:--;      2.500
