# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6139650
# River:                 TORRENT LA MENOGE
# Station:               VETRAZ - MONTHOUX
# Country:               FR
# Latitude (DD):       46.17
# Longitude (DD):      6.27
# Catchment area (km²):      160.0
# Altitude (m ASL):        -999.00
# Next downstream station:      6139050
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1988-10
# No. of years:          10
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3587
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;      1.270
1979-01-02;--:--;      1.050
1979-01-03;--:--;      0.900
1979-01-04;--:--;      0.740
1979-01-05;--:--;      0.650
1979-01-06;--:--;      0.600
1979-01-07;--:--;      0.500
1979-01-08;--:--;      0.540
1979-01-09;--:--;      6.350
1979-01-10;--:--;      4.640
1979-01-11;--:--;      2.550
1979-01-12;--:--;      1.500
1979-01-13;--:--;      1.000
1979-01-14;--:--;      0.900
1979-01-15;--:--;      0.900
1979-01-16;--:--;      0.900
1979-01-17;--:--;      0.900
1979-01-18;--:--;      0.900
1979-01-19;--:--;      0.900
1979-01-20;--:--;      1.030
1979-01-21;--:--;      1.040
1979-01-22;--:--;      0.860
1979-01-23;--:--;      1.520
1979-01-24;--:--;      2.850
1979-01-25;--:--;      1.510
1979-01-26;--:--;      1.050
1979-01-27;--:--;      9.700
1979-01-28;--:--;     30.800
1979-01-29;--:--;      5.880
1979-01-30;--:--;      3.600
1979-01-31;--:--;      2.880
1979-02-01;--:--;      1.600
1979-02-02;--:--;      3.310
1979-02-03;--:--;      5.240
1979-02-04;--:--;      3.510
1979-02-05;--:--;     13.800
1979-02-06;--:--;      7.520
1979-02-07;--:--;      5.760
1979-02-08;--:--;      8.110
1979-02-09;--:--;      4.920
1979-02-10;--:--;      8.770
1979-02-11;--:--;      5.910
1979-02-12;--:--;      6.810
1979-02-13;--:--;      3.880
1979-02-14;--:--;      3.610
1979-02-15;--:--;      2.310
1979-02-16;--:--;      1.510
1979-02-17;--:--;      1.190
1979-02-18;--:--;      1.150
1979-02-19;--:--;      1.150
1979-02-20;--:--;      1.150
1979-02-21;--:--;      1.150
1979-02-22;--:--;      1.150
1979-02-23;--:--;      1.100
1979-02-24;--:--;      1.050
1979-02-25;--:--;      1.050
1979-02-26;--:--;      1.050
1979-02-27;--:--;      1.050
1979-02-28;--:--;      1.050
1979-03-01;--:--;      0.900
1979-03-02;--:--;      0.900
1979-03-03;--:--;      0.900
1979-03-04;--:--;      1.080
1979-03-05;--:--;      1.220
1979-03-06;--:--;      1.240
1979-03-07;--:--;      2.130
1979-03-08;--:--;      2.410
1979-03-09;--:--;      1.780
1979-03-10;--:--;      2.860
1979-03-11;--:--;      5.910
1979-03-12;--:--;      6.810
1979-03-13;--:--;      5.850
1979-03-14;--:--;      5.350
1979-03-15;--:--;      5.650
1979-03-16;--:--;      8.650
1979-03-17;--:--;      6.750
1979-03-18;--:--;     10.200
1979-03-19;--:--;      7.700
1979-03-20;--:--;      6.350
1979-03-21;--:--;      5.250
1979-03-22;--:--;      4.800
1979-03-23;--:--;      5.100
1979-03-24;--:--;      5.050
1979-03-25;--:--;      6.750
1979-03-26;--:--;     30.300
1979-03-27;--:--;     14.800
1979-03-28;--:--;     10.600
1979-03-29;--:--;      9.500
1979-03-30;--:--;      8.550
1979-03-31;--:--;      7.350
1979-04-01;--:--;      6.150
1979-04-02;--:--;      5.500
1979-04-03;--:--;      6.400
1979-04-04;--:--;      6.400
1979-04-05;--:--;      6.250
1979-04-06;--:--;      6.050
1979-04-07;--:--;      5.600
1979-04-08;--:--;      5.500
1979-04-09;--:--;      5.200
1979-04-10;--:--;      5.250
1979-04-11;--:--;      5.600
1979-04-12;--:--;      5.100
1979-04-13;--:--;      4.480
1979-04-14;--:--;      4.030
1979-04-15;--:--;      3.660
