# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6220320
# River:                 GROTE MOTTE
# Station:               TIELT
# Country:               BE
# Latitude (DD):       50.955485
# Longitude (DD):      4.89056
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.00
# Next downstream station:      6220300
# Remarks:               
# Owner of original data: Belgium - Royal Meteorological Institute of Belgium
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2005-12 - 2023-08
# No. of years:          19
# Last update:           2023-08-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6455
# DATA
YYYY-MM-DD;hh:mm; Value
2005-12-22;--:--;      0.041
2005-12-23;--:--;      0.047
2005-12-24;--:--;      0.035
2005-12-25;--:--;      0.027
2005-12-26;--:--;      0.024
2005-12-27;--:--;      0.023
2005-12-28;--:--;      0.018
2005-12-29;--:--;      0.010
2005-12-30;--:--;      0.008
2005-12-31;--:--;      0.051
2006-01-01;--:--;      0.073
2006-01-02;--:--;      0.042
2006-01-03;--:--;      0.028
2006-01-04;--:--;      0.023
2006-01-05;--:--;      0.022
2006-01-06;--:--;      0.019
2006-01-07;--:--;      0.016
2006-01-08;--:--;      0.014
2006-01-09;--:--;      0.012
2006-01-10;--:--;      0.011
2006-01-11;--:--;      0.014
2006-01-12;--:--;      0.023
2006-01-13;--:--;      0.021
2006-01-14;--:--;      0.017
2006-01-15;--:--;      0.014
2006-01-16;--:--;      0.011
2006-01-17;--:--;      0.038
2006-01-18;--:--;      0.048
2006-01-19;--:--;      0.032
2006-01-20;--:--;      0.031
2006-01-21;--:--;      0.035
2006-01-22;--:--;      0.023
2006-01-23;--:--;      0.017
2006-01-24;--:--;      0.010
2006-01-25;--:--;      0.011
2006-01-26;--:--;      0.011
2006-01-27;--:--;      0.006
2006-01-28;--:--;      0.000
2006-01-29;--:--;      0.004
2006-01-30;--:--;      0.008
2006-01-31;--:--;      0.008
2006-02-01;--:--;      0.007
2006-02-02;--:--;      0.007
2006-02-03;--:--;      0.007
2006-02-04;--:--;      0.008
2006-02-05;--:--;      0.008
2006-02-06;--:--;      0.009
2006-02-07;--:--;   -999.000
2006-02-08;--:--;   -999.000
2006-02-09;--:--;   -999.000
2006-02-10;--:--;      0.036
2006-02-11;--:--;      0.027
2006-02-12;--:--;   -999.000
2006-02-13;--:--;   -999.000
2006-02-14;--:--;   -999.000
2006-02-15;--:--;   -999.000
2006-02-16;--:--;   -999.000
2006-02-17;--:--;      0.284
2006-02-18;--:--;      0.257
2006-02-19;--:--;      0.089
2006-02-20;--:--;      0.285
2006-02-21;--:--;      0.176
2006-02-22;--:--;      0.089
2006-02-23;--:--;      0.053
2006-02-24;--:--;      0.038
2006-02-25;--:--;      0.030
2006-02-26;--:--;      0.024
2006-02-27;--:--;      0.022
2006-02-28;--:--;      0.093
2006-03-01;--:--;      0.094
2006-03-02;--:--;      0.055
2006-03-03;--:--;      0.043
2006-03-04;--:--;      0.033
2006-03-05;--:--;      0.027
2006-03-06;--:--;      0.034
2006-03-07;--:--;      0.031
2006-03-08;--:--;      0.089
2006-03-09;--:--;      0.199
2006-03-10;--:--;      0.173
2006-03-11;--:--;      0.195
2006-03-12;--:--;      0.058
2006-03-13;--:--;      0.038
2006-03-14;--:--;      0.030
2006-03-15;--:--;      0.026
2006-03-16;--:--;      0.020
2006-03-17;--:--;      0.018
2006-03-18;--:--;      0.016
2006-03-19;--:--;      0.015
2006-03-20;--:--;      0.014
2006-03-21;--:--;      0.013
2006-03-22;--:--;      0.011
2006-03-23;--:--;      0.010
2006-03-24;--:--;      0.011
2006-03-25;--:--;      0.014
2006-03-26;--:--;      0.029
2006-03-27;--:--;      0.034
2006-03-28;--:--;      0.028
2006-03-29;--:--;      0.024
2006-03-30;--:--;      0.056
2006-03-31;--:--;      0.053
2006-04-01;--:--;      0.065
2006-04-02;--:--;      0.070
2006-04-03;--:--;      0.052
2006-04-04;--:--;      0.037
2006-04-05;--:--;      0.027
2006-04-06;--:--;      0.020
2006-04-07;--:--;      0.017
2006-04-08;--:--;      0.022
2006-04-09;--:--;      0.030
2006-04-10;--:--;      0.021
2006-04-11;--:--;      0.016
2006-04-12;--:--;      0.020
2006-04-13;--:--;      0.021
2006-04-14;--:--;      0.050
2006-04-15;--:--;      0.032
2006-04-16;--:--;      0.043
2006-04-17;--:--;      0.034
2006-04-18;--:--;      0.023
2006-04-19;--:--;      0.017
2006-04-20;--:--;      0.014
2006-04-21;--:--;      0.013
2006-04-22;--:--;      0.011
