# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6220345
# River:                 KLEINBROEKBEEK
# Station:               MEERHOUT
# Country:               BE
# Latitude (DD):       51.121712
# Longitude (DD):      5.102823
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Belgium - Royal Meteorological Institute of Belgium
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2006-09 - 2020-09
# No. of years:          15
# Last update:           2023-08-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5117
# DATA
YYYY-MM-DD;hh:mm; Value
2006-09-28;--:--;      0.014
2006-09-29;--:--;      0.013
2006-09-30;--:--;      0.012
2006-10-01;--:--;      0.011
2006-10-02;--:--;      0.010
2006-10-03;--:--;      0.013
2006-10-04;--:--;      0.013
2006-10-05;--:--;      0.013
2006-10-06;--:--;      0.016
2006-10-07;--:--;      0.020
2006-10-08;--:--;      0.017
2006-10-09;--:--;      0.016
2006-10-10;--:--;      0.016
2006-10-11;--:--;      0.017
2006-10-12;--:--;      0.017
2006-10-13;--:--;      0.017
2006-10-14;--:--;      0.017
2006-10-15;--:--;      0.017
2006-10-16;--:--;      0.019
2006-10-17;--:--;      0.020
2006-10-18;--:--;      0.020
2006-10-19;--:--;      0.021
2006-10-20;--:--;      0.021
2006-10-21;--:--;      0.020
2006-10-22;--:--;      0.020
2006-10-23;--:--;      0.024
2006-10-24;--:--;      0.035
2006-10-25;--:--;      0.033
2006-10-26;--:--;      0.034
2006-10-27;--:--;      0.033
2006-10-28;--:--;      0.035
2006-10-29;--:--;      0.041
2006-10-30;--:--;      0.040
2006-10-31;--:--;      0.046
2006-11-01;--:--;      0.049
2006-11-02;--:--;      0.050
2006-11-03;--:--;      0.056
2006-11-04;--:--;      0.058
2006-11-05;--:--;      0.061
2006-11-06;--:--;      0.062
2006-11-07;--:--;      0.063
2006-11-08;--:--;      0.066
2006-11-09;--:--;      0.071
2006-11-10;--:--;      0.068
2006-11-11;--:--;      0.085
2006-11-12;--:--;      0.082
2006-11-13;--:--;      0.088
2006-11-14;--:--;      0.092
2006-11-15;--:--;      0.097
2006-11-16;--:--;      0.090
2006-11-17;--:--;      0.089
2006-11-18;--:--;      0.083
2006-11-19;--:--;      0.092
2006-11-20;--:--;      0.089
2006-11-21;--:--;      0.094
2006-11-22;--:--;      0.054
2006-11-23;--:--;      0.083
2006-11-24;--:--;      0.078
2006-11-25;--:--;      0.054
2006-11-26;--:--;      0.046
2006-11-27;--:--;      0.042
2006-11-28;--:--;      0.041
2006-11-29;--:--;      0.043
2006-11-30;--:--;      0.046
2006-12-01;--:--;      0.047
2006-12-02;--:--;      0.046
2006-12-03;--:--;      0.048
2006-12-04;--:--;      0.070
2006-12-05;--:--;      0.079
2006-12-06;--:--;      0.078
2006-12-07;--:--;      0.086
2006-12-08;--:--;      0.121
2006-12-09;--:--;      0.120
2006-12-10;--:--;      0.074
2006-12-11;--:--;      0.070
2006-12-12;--:--;      0.156
2006-12-13;--:--;      0.096
2006-12-14;--:--;      0.080
2006-12-15;--:--;      0.072
2006-12-16;--:--;      0.074
2006-12-17;--:--;      0.080
2006-12-18;--:--;      0.079
2006-12-19;--:--;      0.069
2006-12-20;--:--;      0.064
2006-12-21;--:--;      0.062
2006-12-22;--:--;      0.059
2006-12-23;--:--;      0.057
2006-12-24;--:--;      0.057
2006-12-25;--:--;      0.055
2006-12-26;--:--;      0.054
2006-12-27;--:--;      0.052
2006-12-28;--:--;      0.053
2006-12-29;--:--;      0.052
2006-12-30;--:--;      0.056
2006-12-31;--:--;      0.063
2007-01-01;--:--;      0.078
2007-01-02;--:--;      0.090
2007-01-03;--:--;      0.083
2007-01-04;--:--;      0.077
2007-01-05;--:--;      0.070
2007-01-06;--:--;      0.099
2007-01-07;--:--;      0.128
2007-01-08;--:--;      0.101
2007-01-09;--:--;      0.087
2007-01-10;--:--;      0.083
2007-01-11;--:--;      0.162
2007-01-12;--:--;      0.165
2007-01-13;--:--;      0.114
2007-01-14;--:--;      0.099
2007-01-15;--:--;      0.089
2007-01-16;--:--;      0.085
2007-01-17;--:--;      0.098
2007-01-18;--:--;      0.301
2007-01-19;--:--;      0.227
2007-01-20;--:--;      0.142
2007-01-21;--:--;      0.120
2007-01-22;--:--;      0.115
2007-01-23;--:--;      0.101
2007-01-24;--:--;      0.092
2007-01-25;--:--;      0.084
2007-01-26;--:--;      0.081
2007-01-27;--:--;      0.085
2007-01-28;--:--;      0.087
2007-01-29;--:--;      0.096
2007-01-30;--:--;      0.090
2007-01-31;--:--;      0.085
2007-02-01;--:--;      0.081
2007-02-02;--:--;      0.079
2007-02-03;--:--;      0.078
2007-02-04;--:--;      0.078
2007-02-05;--:--;      0.078
2007-02-06;--:--;      0.077
2007-02-07;--:--;      0.079
2007-02-08;--:--;      0.093
2007-02-09;--:--;      0.106
2007-02-10;--:--;      0.091
2007-02-11;--:--;      0.134
2007-02-12;--:--;      0.137
2007-02-13;--:--;      0.167
2007-02-14;--:--;      0.185
2007-02-15;--:--;      0.157
2007-02-16;--:--;      0.116
2007-02-17;--:--;      0.104
2007-02-18;--:--;      0.095
2007-02-19;--:--;      0.091
2007-02-20;--:--;      0.088
2007-02-21;--:--;      0.090
2007-02-22;--:--;      0.095
2007-02-23;--:--;      0.090
2007-02-24;--:--;      0.100
2007-02-25;--:--;      0.175
2007-02-26;--:--;      0.142
2007-02-27;--:--;      0.140
2007-02-28;--:--;      0.168
2007-03-01;--:--;      0.218
2007-03-02;--:--;      0.134
2007-03-03;--:--;      0.170
2007-03-04;--:--;      0.128
2007-03-05;--:--;      0.163
2007-03-06;--:--;      0.167
2007-03-07;--:--;      0.263
2007-03-08;--:--;      0.147
2007-03-09;--:--;      0.139
2007-03-10;--:--;      0.136
2007-03-11;--:--;      0.117
2007-03-12;--:--;      0.110
2007-03-13;--:--;      0.102
2007-03-14;--:--;      0.094
2007-03-15;--:--;      0.092
2007-03-16;--:--;      0.088
2007-03-17;--:--;      0.086
2007-03-18;--:--;      0.096
2007-03-19;--:--;      0.106
2007-03-20;--:--;      0.095
2007-03-21;--:--;      0.098
2007-03-22;--:--;      0.098
2007-03-23;--:--;      0.091
2007-03-24;--:--;      0.085
2007-03-25;--:--;      0.083
2007-03-26;--:--;      0.081
2007-03-27;--:--;      0.078
2007-03-28;--:--;      0.078
2007-03-29;--:--;      0.077
2007-03-30;--:--;      0.074
2007-03-31;--:--;      0.071
2007-04-01;--:--;      0.066
2007-04-02;--:--;      0.064
2007-04-03;--:--;      0.063
2007-04-04;--:--;      0.060
2007-04-05;--:--;      0.057
2007-04-06;--:--;      0.055
2007-04-07;--:--;      0.052
2007-04-08;--:--;      0.052
2007-04-09;--:--;      0.052
2007-04-10;--:--;      0.050
2007-04-11;--:--;      0.050
2007-04-12;--:--;      0.050
2007-04-13;--:--;      0.049
2007-04-14;--:--;      0.048
2007-04-15;--:--;      0.048
2007-04-16;--:--;      0.048
2007-04-17;--:--;      0.045
2007-04-18;--:--;      0.044
2007-04-19;--:--;      0.044
2007-04-20;--:--;      0.042
2007-04-21;--:--;      0.042
2007-04-22;--:--;      0.042
2007-04-23;--:--;      0.042
2007-04-24;--:--;      0.043
2007-04-25;--:--;      0.043
2007-04-26;--:--;      0.041
2007-04-27;--:--;      0.039
2007-04-28;--:--;      0.038
