# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6340310
# River:                 HELME
# Station:               SUNDHAUSEN
# Country:               DE
# Latitude (DD):       51.468707
# Longitude (DD):      10.810198
# Catchment area (km²):      200.6
# Altitude (m ASL):        169.98
# Next downstream station:      6340300
# Remarks:               
# Owner of original data: Germany - Federal Institute of Hydrology (BfG), please note that values not always have yearbook quality
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2002-11 - 2020-12
# No. of years:          19
# Last update:           2023-09-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6636
# DATA
YYYY-MM-DD;hh:mm; Value
2002-11-01;--:--;      0.900
2002-11-02;--:--;      3.370
2002-11-03;--:--;      4.920
2002-11-04;--:--;      6.480
2002-11-05;--:--;      3.010
2002-11-06;--:--;      1.980
2002-11-07;--:--;      1.580
2002-11-08;--:--;      1.480
2002-11-09;--:--;      5.520
2002-11-10;--:--;      5.680
2002-11-11;--:--;      6.480
2002-11-12;--:--;      7.000
2002-11-13;--:--;      4.100
2002-11-14;--:--;      2.890
2002-11-15;--:--;      2.310
2002-11-16;--:--;      1.880
2002-11-17;--:--;      1.980
2002-11-18;--:--;      1.780
2002-11-19;--:--;      1.580
2002-11-20;--:--;      1.380
2002-11-21;--:--;      1.300
2002-11-22;--:--;      1.300
2002-11-23;--:--;      1.220
2002-11-24;--:--;      1.140
2002-11-25;--:--;      1.140
2002-11-26;--:--;      1.060
2002-11-27;--:--;      1.060
2002-11-28;--:--;      1.060
2002-11-29;--:--;      1.300
2002-11-30;--:--;     10.800
2002-12-01;--:--;      6.320
2002-12-02;--:--;      3.730
2002-12-03;--:--;      2.770
2002-12-04;--:--;      2.090
2002-12-05;--:--;      1.880
2002-12-06;--:--;      1.680
2002-12-07;--:--;      1.380
2002-12-08;--:--;      1.220
2002-12-09;--:--;      1.060
2002-12-10;--:--;      0.980
2002-12-11;--:--;      0.900
2002-12-12;--:--;      0.900
2002-12-13;--:--;      0.840
2002-12-14;--:--;      0.840
2002-12-15;--:--;      0.840
2002-12-16;--:--;      0.840
2002-12-17;--:--;      1.140
2002-12-18;--:--;      0.980
2002-12-19;--:--;      0.980
2002-12-20;--:--;      0.980
2002-12-21;--:--;      0.980
2002-12-22;--:--;      2.310
