# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6340613
# River:                 SPREVA
# Station:               BAUTZEN 1
# Country:               DE
# Latitude (DD):       51.215179
# Longitude (DD):      14.471889
# Catchment area (km²):      278.0
# Altitude (m ASL):        185.98
# Next downstream station:      6340800
# Remarks:               
# Owner of original data: Germany - Federal Institute of Hydrology (BfG), please note that values not always have yearbook quality
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2014-11 - 2022-12
# No. of years:          9
# Last update:           2023-09-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2983
# DATA
YYYY-MM-DD;hh:mm; Value
2014-11-01;--:--;      1.380
2014-11-02;--:--;      1.360
2014-11-03;--:--;      1.350
2014-11-04;--:--;      1.360
2014-11-05;--:--;      1.340
2014-11-06;--:--;      1.350
2014-11-07;--:--;      1.350
2014-11-08;--:--;      1.320
2014-11-09;--:--;      1.300
2014-11-10;--:--;      1.340
2014-11-11;--:--;      1.320
2014-11-12;--:--;      1.300
2014-11-13;--:--;      1.290
2014-11-14;--:--;      1.280
2014-11-15;--:--;      1.280
2014-11-16;--:--;      1.220
2014-11-17;--:--;      1.220
2014-11-18;--:--;      1.250
2014-11-19;--:--;      1.580
2014-11-20;--:--;      1.460
2014-11-21;--:--;      1.370
2014-11-22;--:--;      1.340
2014-11-23;--:--;      1.290
2014-11-24;--:--;      1.270
2014-11-25;--:--;      1.290
2014-11-26;--:--;      1.270
2014-11-27;--:--;      1.240
2014-11-28;--:--;      1.220
2014-11-29;--:--;      1.200
2014-11-30;--:--;      1.190
2014-12-01;--:--;      1.190
2014-12-02;--:--;      1.170
2014-12-03;--:--;      1.160
2014-12-04;--:--;      1.160
2014-12-05;--:--;      1.200
2014-12-06;--:--;      1.170
2014-12-07;--:--;      1.160
2014-12-08;--:--;      1.220
2014-12-09;--:--;      1.200
2014-12-10;--:--;      1.120
2014-12-11;--:--;      1.240
2014-12-12;--:--;      1.620
2014-12-13;--:--;      1.400
2014-12-14;--:--;      1.590
2014-12-15;--:--;      1.490
2014-12-16;--:--;      1.470
2014-12-17;--:--;      1.520
2014-12-18;--:--;      1.510
2014-12-19;--:--;      1.960
2014-12-20;--:--;      2.350
2014-12-21;--:--;      2.280
2014-12-22;--:--;      1.940
2014-12-23;--:--;      1.770
2014-12-24;--:--;      1.630
2014-12-25;--:--;      1.970
2014-12-26;--:--;      1.930
2014-12-27;--:--;      1.770
2014-12-28;--:--;      1.590
2014-12-29;--:--;      1.520
2014-12-30;--:--;      1.470
2014-12-31;--:--;      1.450
2015-01-01;--:--;      1.700
2015-01-02;--:--;      2.130
2015-01-03;--:--;      2.960
2015-01-04;--:--;      2.230
2015-01-05;--:--;      2.190
2015-01-06;--:--;      2.590
2015-01-07;--:--;      2.290
2015-01-08;--:--;      2.070
2015-01-09;--:--;      8.480
2015-01-10;--:--;     13.300
2015-01-11;--:--;      6.760
2015-01-12;--:--;      6.230
2015-01-13;--:--;      4.840
2015-01-14;--:--;      3.800
2015-01-15;--:--;      3.470
2015-01-16;--:--;      3.050
2015-01-17;--:--;      2.790
2015-01-18;--:--;      2.470
2015-01-19;--:--;      2.460
2015-01-20;--:--;      2.350
2015-01-21;--:--;      2.300
2015-01-22;--:--;      2.220
2015-01-23;--:--;      2.350
2015-01-24;--:--;      2.190
2015-01-25;--:--;      2.130
2015-01-26;--:--;      2.070
2015-01-27;--:--;      2.750
2015-01-28;--:--;      3.230
2015-01-29;--:--;      3.030
2015-01-30;--:--;      2.670
2015-01-31;--:--;      2.390
2015-02-01;--:--;      2.240
2015-02-02;--:--;      2.120
2015-02-03;--:--;      2.050
2015-02-04;--:--;      1.980
2015-02-05;--:--;      1.920
2015-02-06;--:--;      1.860
2015-02-07;--:--;      1.780
2015-02-08;--:--;      1.820
2015-02-09;--:--;      1.860
2015-02-10;--:--;      3.290
2015-02-11;--:--;      3.660
2015-02-12;--:--;      2.910
2015-02-13;--:--;      2.450
2015-02-14;--:--;      2.290
2015-02-15;--:--;      2.140
2015-02-16;--:--;      2.070
2015-02-17;--:--;      1.980
2015-02-18;--:--;      1.920
2015-02-19;--:--;      1.900
2015-02-20;--:--;      1.880
