# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6342951
# River:                 LEUTASCHER ACHE
# Station:               MITTENWALD NEU
# Country:               DE
# Latitude (DD):       47.43
# Longitude (DD):      11.26
# Catchment area (km²):      111.1
# Altitude (m ASL):        921.56
# Next downstream station:      6342928
# Remarks:               
# Owner of original data: Germany - Bayerisches Landesamt für Umwelt
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2009-11 - 2021-12
# No. of years:          13
# Last update:           2023-09-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4444
# DATA
YYYY-MM-DD;hh:mm; Value
2009-11-01;--:--;      3.400
2009-11-02;--:--;      3.580
2009-11-03;--:--;      3.720
2009-11-04;--:--;      3.680
2009-11-05;--:--;      3.590
2009-11-06;--:--;      3.430
2009-11-07;--:--;      3.270
2009-11-08;--:--;      3.220
2009-11-09;--:--;      3.100
2009-11-10;--:--;      3.050
2009-11-11;--:--;      2.940
2009-11-12;--:--;      2.920
2009-11-13;--:--;      2.810
2009-11-14;--:--;      2.760
2009-11-15;--:--;      2.760
2009-11-16;--:--;      2.810
2009-11-17;--:--;      2.930
2009-11-18;--:--;      3.180
2009-11-19;--:--;      3.160
2009-11-20;--:--;      3.000
2009-11-21;--:--;      2.940
2009-11-22;--:--;      2.940
2009-11-23;--:--;      2.900
2009-11-24;--:--;      2.860
2009-11-25;--:--;      2.820
2009-11-26;--:--;      2.790
2009-11-27;--:--;      2.770
2009-11-28;--:--;      2.650
2009-11-29;--:--;      2.630
2009-11-30;--:--;      2.670
2009-12-01;--:--;      2.680
2009-12-02;--:--;      2.630
2009-12-03;--:--;      2.530
2009-12-04;--:--;      2.520
2009-12-05;--:--;      2.470
2009-12-06;--:--;      2.470
2009-12-07;--:--;      2.460
2009-12-08;--:--;      2.660
2009-12-09;--:--;      2.590
2009-12-10;--:--;      2.520
2009-12-11;--:--;      2.610
2009-12-12;--:--;      2.470
2009-12-13;--:--;      2.460
2009-12-14;--:--;      2.400
2009-12-15;--:--;      2.310
2009-12-16;--:--;      2.270
2009-12-17;--:--;      2.160
2009-12-18;--:--;      2.160
2009-12-19;--:--;      2.110
2009-12-20;--:--;      2.020
2009-12-21;--:--;      2.020
2009-12-22;--:--;      2.020
2009-12-23;--:--;      2.030
2009-12-24;--:--;      2.050
2009-12-25;--:--;      2.300
2009-12-26;--:--;      2.200
2009-12-27;--:--;      2.070
2009-12-28;--:--;      2.020
2009-12-29;--:--;      2.020
2009-12-30;--:--;      2.020
2009-12-31;--:--;      2.020
2010-01-01;--:--;      2.290
2010-01-02;--:--;      2.240
2010-01-03;--:--;      2.240
2010-01-04;--:--;      2.240
2010-01-05;--:--;      2.240
2010-01-06;--:--;      2.230
2010-01-07;--:--;      2.200
2010-01-08;--:--;      2.150
2010-01-09;--:--;      2.140
2010-01-10;--:--;      2.140
2010-01-11;--:--;      2.140
2010-01-12;--:--;      2.140
2010-01-13;--:--;      2.140
2010-01-14;--:--;      2.130
