# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6348350
# River:                 TICINO
# Station:               MIORINA
# Country:               IT
# Latitude (DD):       45.701
# Longitude (DD):      8.6507
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.00
# Next downstream station:      6348400
# Remarks:               
# Owner of original data: Italy - Regional Environmental Protection Agency (ARPA) Lombardy
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1923-01 - 1994-12
# No. of years:          72
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 26298
# DATA
YYYY-MM-DD;hh:mm; Value
1923-01-01;--:--;    222.100
1923-01-02;--:--;    219.100
1923-01-03;--:--;    213.200
1923-01-04;--:--;    210.200
1923-01-05;--:--;    207.200
1923-01-06;--:--;    201.300
1923-01-07;--:--;    201.300
1923-01-08;--:--;    196.000
1923-01-09;--:--;    190.700
1923-01-10;--:--;    188.100
1923-01-11;--:--;    182.800
1923-01-12;--:--;    185.500
1923-01-13;--:--;    180.200
1923-01-14;--:--;    174.900
1923-01-15;--:--;    167.800
1923-01-16;--:--;    163.100
1923-01-17;--:--;    160.700
1923-01-18;--:--;    158.400
1923-01-19;--:--;    158.400
1923-01-20;--:--;    153.700
1923-01-21;--:--;    149.100
1923-01-22;--:--;    146.900
1923-01-23;--:--;    144.800
1923-01-24;--:--;    142.600
1923-01-25;--:--;    140.400
1923-01-26;--:--;    138.200
1923-01-27;--:--;    136.000
1923-01-28;--:--;    133.900
1923-01-29;--:--;    131.700
1923-01-30;--:--;    129.500
1923-01-31;--:--;    127.600
1923-02-01;--:--;    127.600
1923-02-02;--:--;    127.600
1923-02-03;--:--;    129.500
1923-02-04;--:--;    131.700
1923-02-05;--:--;    136.000
1923-02-06;--:--;    136.000
1923-02-07;--:--;    136.000
1923-02-08;--:--;    133.900
1923-02-09;--:--;    136.000
1923-02-10;--:--;    136.000
1923-02-11;--:--;    136.000
1923-02-12;--:--;    133.900
1923-02-13;--:--;    131.700
1923-02-14;--:--;    129.500
1923-02-15;--:--;    129.500
1923-02-16;--:--;    127.600
1923-02-17;--:--;    125.700
1923-02-18;--:--;    125.700
1923-02-19;--:--;    123.800
1923-02-20;--:--;    123.800
1923-02-21;--:--;    121.900
1923-02-22;--:--;    119.900
1923-02-23;--:--;    119.900
1923-02-24;--:--;    119.900
1923-02-25;--:--;    118.000
1923-02-26;--:--;    118.000
1923-02-27;--:--;    114.200
1923-02-28;--:--;    114.200
1923-03-01;--:--;    114.200
1923-03-02;--:--;    114.200
1923-03-03;--:--;    112.300
1923-03-04;--:--;    110.400
1923-03-05;--:--;    110.400
1923-03-06;--:--;    108.700
1923-03-07;--:--;    107.000
1923-03-08;--:--;    105.300
1923-03-09;--:--;    105.300
1923-03-10;--:--;    103.600
1923-03-11;--:--;    103.600
1923-03-12;--:--;    101.900
1923-03-13;--:--;    101.900
1923-03-14;--:--;    100.300
1923-03-15;--:--;    101.900
1923-03-16;--:--;    101.900
1923-03-17;--:--;    101.900
1923-03-18;--:--;    101.900
1923-03-19;--:--;    101.900
1923-03-20;--:--;    101.900
1923-03-21;--:--;    100.300
1923-03-22;--:--;    100.300
1923-03-23;--:--;     98.600
1923-03-24;--:--;     98.600
1923-03-25;--:--;     98.600
1923-03-26;--:--;     98.600
1923-03-27;--:--;    100.300
1923-03-28;--:--;    100.300
1923-03-29;--:--;    100.300
1923-03-30;--:--;    101.900
1923-03-31;--:--;    101.900
1923-04-01;--:--;    103.600
1923-04-02;--:--;    105.300
1923-04-03;--:--;    107.000
1923-04-04;--:--;    107.000
1923-04-05;--:--;    107.000
1923-04-06;--:--;    107.000
1923-04-07;--:--;    107.000
1923-04-08;--:--;    108.700
1923-04-09;--:--;    110.400
1923-04-10;--:--;    110.400
1923-04-11;--:--;    110.400
1923-04-12;--:--;    110.400
1923-04-13;--:--;    110.400
1923-04-14;--:--;    136.000
1923-04-15;--:--;    156.000
1923-04-16;--:--;    158.400
1923-04-17;--:--;    160.700
1923-04-18;--:--;    163.100
1923-04-19;--:--;    160.700
1923-04-20;--:--;    167.800
1923-04-21;--:--;    201.300
1923-04-22;--:--;    273.500
1923-04-23;--:--;    300.200
1923-04-24;--:--;    323.500
1923-04-25;--:--;    323.500
1923-04-26;--:--;    326.800
1923-04-27;--:--;    354.900
1923-04-28;--:--;    366.300
1923-04-29;--:--;    370.100
1923-04-30;--:--;    370.100
1923-05-01;--:--;    358.100
1923-05-02;--:--;    351.100
1923-05-03;--:--;    354.900
1923-05-04;--:--;    370.100
1923-05-05;--:--;    388.800
1923-05-06;--:--;    392.600
1923-05-07;--:--;    407.600
1923-05-08;--:--;    422.800
1923-05-09;--:--;    445.600
1923-05-10;--:--;    461.200
1923-05-11;--:--;    488.300
1923-05-12;--:--;    484.500
1923-05-13;--:--;    468.900
1923-05-14;--:--;    445.600
1923-05-15;--:--;    449.500
1923-05-16;--:--;    434.200
1923-05-17;--:--;    434.200
1923-05-18;--:--;    426.700
1923-05-19;--:--;    411.400
1923-05-20;--:--;    392.600
1923-05-21;--:--;    370.100
1923-05-22;--:--;    351.100
1923-05-23;--:--;    339.700
1923-05-24;--:--;    332.100
1923-05-25;--:--;    332.100
1923-05-26;--:--;    362.500
1923-05-27;--:--;    445.600
1923-05-28;--:--;    449.500
1923-05-29;--:--;    558.100
1923-05-30;--:--;    702.000
1923-05-31;--:--;   1069.000
1923-06-01;--:--;   1073.000
1923-06-02;--:--;   1029.000
1923-06-03;--:--;    974.900
1923-06-04;--:--;    908.300
1923-06-05;--:--;    864.400
1923-06-06;--:--;    813.400
1923-06-07;--:--;    755.200
1923-06-08;--:--;    706.000
1923-06-09;--:--;    657.400
1923-06-10;--:--;    613.300
1923-06-11;--:--;    585.600
1923-06-12;--:--;    577.700
1923-06-13;--:--;    573.800
1923-06-14;--:--;    534.300
1923-06-15;--:--;    503.500
1923-06-16;--:--;    484.500
1923-06-17;--:--;    472.800
1923-06-18;--:--;    449.500
1923-06-19;--:--;    419.000
1923-06-20;--:--;    388.800
1923-06-21;--:--;    370.100
1923-06-22;--:--;    351.100
1923-06-23;--:--;    332.100
1923-06-24;--:--;    320.100
1923-06-25;--:--;    313.500
1923-06-26;--:--;    320.100
1923-06-27;--:--;    332.100
1923-06-28;--:--;    335.900
1923-06-29;--:--;    320.100
1923-06-30;--:--;    310.200
1923-07-01;--:--;    303.700
1923-07-02;--:--;    296.900
1923-07-03;--:--;    296.900
1923-07-04;--:--;    296.900
1923-07-05;--:--;    293.500
1923-07-06;--:--;    293.500
1923-07-07;--:--;    293.500
1923-07-08;--:--;    296.900
1923-07-09;--:--;    296.900
1923-07-10;--:--;    303.700
1923-07-11;--:--;    303.700
1923-07-12;--:--;    300.300
1923-07-13;--:--;    300.300
1923-07-14;--:--;    296.900
1923-07-15;--:--;    293.500
1923-07-16;--:--;    300.300
1923-07-17;--:--;    296.900
1923-07-18;--:--;    300.300
1923-07-19;--:--;    332.100
1923-07-20;--:--;    321.000
1923-07-21;--:--;    314.000
1923-07-22;--:--;    314.000
1923-07-23;--:--;    300.300
1923-07-24;--:--;    296.900
1923-07-25;--:--;    286.700
1923-07-26;--:--;    280.000
1923-07-27;--:--;    263.500
1923-07-28;--:--;    263.500
1923-07-29;--:--;    260.200
1923-07-30;--:--;    247.000
1923-07-31;--:--;    237.400
1923-08-01;--:--;    234.200
1923-08-02;--:--;    237.500
1923-08-03;--:--;    237.500
1923-08-04;--:--;    234.200
1923-08-05;--:--;    225.100
1923-08-06;--:--;    216.100
1923-08-07;--:--;    213.200
1923-08-08;--:--;    204.300
1923-08-09;--:--;    198.700
1923-08-10;--:--;    198.700
1923-08-11;--:--;    196.000
1923-08-12;--:--;    190.700
1923-08-13;--:--;    185.500
1923-08-14;--:--;    180.200
1923-08-15;--:--;    180.200
1923-08-16;--:--;    177.500
1923-08-17;--:--;    174.900
1923-08-18;--:--;    170.200
1923-08-19;--:--;    170.200
1923-08-20;--:--;    170.200
1923-08-21;--:--;    160.700
1923-08-22;--:--;    156.000
1923-08-23;--:--;    153.700
1923-08-24;--:--;    151.300
1923-08-25;--:--;    170.200
1923-08-26;--:--;    167.800
1923-08-27;--:--;    165.500
1923-08-28;--:--;    158.400
1923-08-29;--:--;    153.700
1923-08-30;--:--;    151.300
