# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6349600
# River:                 FIUME TAGLIAMENTO
# Station:               PIOVERNO
# Country:               IT
# Latitude (DD):       46.335
# Longitude (DD):      13.1341
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Italy - Regional Environmental Protection Agency (ARPA) Friuli Venezia Giulia
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1929-01 - 1975-12
# No. of years:          47
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 17166
# DATA
YYYY-MM-DD;hh:mm; Value
1929-01-01;--:--;     41.700
1929-01-02;--:--;     45.400
1929-01-03;--:--;     46.500
1929-01-04;--:--;     47.800
1929-01-05;--:--;     46.100
1929-01-06;--:--;     44.800
1929-01-07;--:--;     44.600
1929-01-08;--:--;     44.500
1929-01-09;--:--;     43.100
1929-01-10;--:--;     42.900
1929-01-11;--:--;     42.700
1929-01-12;--:--;     41.500
1929-01-13;--:--;     39.300
1929-01-14;--:--;     39.000
1929-01-15;--:--;     38.800
1929-01-16;--:--;     38.700
1929-01-17;--:--;     38.500
1929-01-18;--:--;     38.300
1929-01-19;--:--;     38.300
1929-01-20;--:--;     38.600
1929-01-21;--:--;     37.800
1929-01-22;--:--;     37.900
1929-01-23;--:--;     37.300
1929-01-24;--:--;     38.200
1929-01-25;--:--;     39.200
1929-01-26;--:--;     39.400
1929-01-27;--:--;     37.800
1929-01-28;--:--;     38.700
1929-01-29;--:--;     38.000
1929-01-30;--:--;     37.300
1929-01-31;--:--;     37.500
1929-02-01;--:--;     36.700
1929-02-02;--:--;     36.600
1929-02-03;--:--;     36.600
1929-02-04;--:--;     36.500
1929-02-05;--:--;     35.800
1929-02-06;--:--;     34.200
1929-02-07;--:--;     34.200
1929-02-08;--:--;     34.100
1929-02-09;--:--;     34.000
1929-02-10;--:--;     33.500
1929-02-11;--:--;     33.600
1929-02-12;--:--;     32.700
1929-02-13;--:--;     31.100
1929-02-14;--:--;     29.600
1929-02-15;--:--;     27.900
1929-02-16;--:--;     27.500
1929-02-17;--:--;     27.200
1929-02-18;--:--;     27.300
1929-02-19;--:--;     28.200
1929-02-20;--:--;     30.000
1929-02-21;--:--;     31.100
