# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6357521
# River:                 MANDAU
# Station:               ZITTAU 6
# Country:               DE
# Latitude (DD):       50.891976
# Longitude (DD):      14.802623
# Catchment area (km²):      278.0
# Altitude (m ASL):        232.36
# Next downstream station:      6357502
# Remarks:               
# Owner of original data: Germany - Federal Institute of Hydrology (BfG), please note that values not always have yearbook quality
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2016-01 - 2021-12
# No. of years:          6
# Last update:           2023-09-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2192
# DATA
YYYY-MM-DD;hh:mm; Value
2016-01-01;--:--;      1.590
2016-01-02;--:--;      1.570
2016-01-03;--:--;      1.500
2016-01-04;--:--;      1.560
2016-01-05;--:--;      1.570
2016-01-06;--:--;      1.560
2016-01-07;--:--;      1.440
2016-01-08;--:--;      1.420
2016-01-09;--:--;      1.400
2016-01-10;--:--;      1.410
2016-01-11;--:--;      2.010
2016-01-12;--:--;      6.110
2016-01-13;--:--;      5.640
2016-01-14;--:--;      5.200
2016-01-15;--:--;      3.700
2016-01-16;--:--;      3.020
2016-01-17;--:--;      2.650
2016-01-18;--:--;      2.410
2016-01-19;--:--;      2.160
2016-01-20;--:--;      2.260
2016-01-21;--:--;      2.240
2016-01-22;--:--;      2.260
2016-01-23;--:--;      2.280
2016-01-24;--:--;      2.910
2016-01-25;--:--;      7.280
2016-01-26;--:--;      9.900
2016-01-27;--:--;      6.970
2016-01-28;--:--;      5.420
2016-01-29;--:--;      4.190
2016-01-30;--:--;      3.660
2016-01-31;--:--;      5.810
2016-02-01;--:--;      7.440
2016-02-02;--:--;      7.060
2016-02-03;--:--;      6.810
2016-02-04;--:--;      5.270
2016-02-05;--:--;      5.160
2016-02-06;--:--;      5.310
2016-02-07;--:--;      4.630
2016-02-08;--:--;      4.010
