# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6545120
# River:                 MIRNA
# Station:               GABRJE 1
# Country:               SI
# Latitude (DD):       45.9873
# Longitude (DD):      15.2144
# Catchment area (km²):      268.0
# Altitude (m ASL):        212.127
# Next downstream station:      6545100
# Remarks:               
# Owner of original data: Slovenia - Environmental Agency of the Republic of Slovenia (ARSO)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961-01 - 1992-12
# No. of years:          32
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 11688
# DATA
YYYY-MM-DD;hh:mm; Value
1961-01-01;--:--;      4.560
1961-01-02;--:--;      4.800
1961-01-03;--:--;      5.520
1961-01-04;--:--;     12.600
1961-01-05;--:--;     17.500
1961-01-06;--:--;     10.500
1961-01-07;--:--;      9.880
1961-01-08;--:--;     10.400
1961-01-09;--:--;      8.870
1961-01-10;--:--;      7.540
1961-01-11;--:--;      7.060
1961-01-12;--:--;     11.400
1961-01-13;--:--;      9.880
1961-01-14;--:--;      8.370
1961-01-15;--:--;      6.570
1961-01-16;--:--;      6.100
1961-01-17;--:--;      5.520
1961-01-18;--:--;      4.800
1961-01-19;--:--;      4.680
1961-01-20;--:--;      4.200
1961-01-21;--:--;      3.600
1961-01-22;--:--;      3.600
1961-01-23;--:--;      3.600
1961-01-24;--:--;      3.500
1961-01-25;--:--;      3.400
1961-01-26;--:--;      3.300
1961-01-27;--:--;      3.300
1961-01-28;--:--;      3.100
1961-01-29;--:--;      2.700
1961-01-30;--:--;      2.600
1961-01-31;--:--;      2.800
1961-02-01;--:--;      4.870
1961-02-02;--:--;     11.100
1961-02-03;--:--;      4.200
1961-02-04;--:--;      3.590
1961-02-05;--:--;      3.070
1961-02-06;--:--;      2.900
1961-02-07;--:--;      2.900
1961-02-08;--:--;      3.840
1961-02-09;--:--;      3.960
1961-02-10;--:--;      3.960
1961-02-11;--:--;      3.840
1961-02-12;--:--;      3.840
1961-02-13;--:--;      3.720
1961-02-14;--:--;      3.500
1961-02-15;--:--;      3.500
1961-02-16;--:--;      3.200
1961-02-17;--:--;      3.200
1961-02-18;--:--;      3.100
1961-02-19;--:--;      3.000
1961-02-20;--:--;      3.000
1961-02-21;--:--;      3.000
1961-02-22;--:--;      3.000
1961-02-23;--:--;      2.900
1961-02-24;--:--;      2.800
1961-02-25;--:--;      2.600
1961-02-26;--:--;      2.600
1961-02-27;--:--;      2.600
1961-02-28;--:--;      2.520
1961-03-01;--:--;      2.520
1961-03-02;--:--;      2.600
1961-03-03;--:--;      2.600
1961-03-04;--:--;      2.600
1961-03-05;--:--;      2.450
1961-03-06;--:--;      2.520
1961-03-07;--:--;      2.300
1961-03-08;--:--;      2.300
1961-03-09;--:--;      2.300
1961-03-10;--:--;      2.150
1961-03-11;--:--;      2.150
1961-03-12;--:--;      2.150
1961-03-13;--:--;      2.150
1961-03-14;--:--;      2.150
1961-03-15;--:--;      2.150
1961-03-16;--:--;      2.150
1961-03-17;--:--;      2.000
1961-03-18;--:--;      2.000
1961-03-19;--:--;      2.000
1961-03-20;--:--;      2.900
1961-03-21;--:--;      3.590
1961-03-22;--:--;      4.200
1961-03-23;--:--;      2.900
1961-03-24;--:--;      2.740
1961-03-25;--:--;      2.440
1961-03-26;--:--;      2.300
1961-03-27;--:--;      2.300
1961-03-28;--:--;      2.300
1961-03-29;--:--;      2.700
1961-03-30;--:--;      2.600
1961-03-31;--:--;      2.450
1961-04-01;--:--;      2.450
1961-04-02;--:--;      2.450
1961-04-03;--:--;      2.380
1961-04-04;--:--;      2.300
1961-04-05;--:--;      2.150
1961-04-06;--:--;      2.080
1961-04-07;--:--;      2.080
1961-04-08;--:--;      2.000
1961-04-09;--:--;      1.920
1961-04-10;--:--;      1.920
1961-04-11;--:--;      1.920
1961-04-12;--:--;      1.850
1961-04-13;--:--;      1.850
1961-04-14;--:--;      1.850
1961-04-15;--:--;      1.850
1961-04-16;--:--;      1.850
1961-04-17;--:--;      1.850
1961-04-18;--:--;      2.150
1961-04-19;--:--;      2.220
1961-04-20;--:--;      1.920
1961-04-21;--:--;      1.850
1961-04-22;--:--;      1.850
1961-04-23;--:--;      1.920
1961-04-24;--:--;      2.300
1961-04-25;--:--;      2.900
1961-04-26;--:--;      2.150
1961-04-27;--:--;      1.850
1961-04-28;--:--;      3.100
1961-04-29;--:--;      2.450
1961-04-30;--:--;      4.440
1961-05-01;--:--;      2.900
1961-05-02;--:--;      2.380
1961-05-03;--:--;      2.150
1961-05-04;--:--;      2.080
1961-05-05;--:--;      1.920
1961-05-06;--:--;      1.920
1961-05-07;--:--;      2.520
1961-05-08;--:--;      2.800
1961-05-09;--:--;      2.700
1961-05-10;--:--;      2.450
1961-05-11;--:--;      2.080
1961-05-12;--:--;      2.000
1961-05-13;--:--;      1.920
1961-05-14;--:--;      1.850
1961-05-15;--:--;      4.680
1961-05-16;--:--;     40.600
1961-05-17;--:--;     32.700
1961-05-18;--:--;     12.400
1961-05-19;--:--;      6.570
1961-05-20;--:--;      4.800
1961-05-21;--:--;      4.200
1961-05-22;--:--;      3.720
1961-05-23;--:--;      3.200
1961-05-24;--:--;      5.520
1961-05-25;--:--;      3.960
1961-05-26;--:--;      3.200
1961-05-27;--:--;      2.700
