# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6559120
# River:                 TOLMINKA
# Station:               TOLMIN
# Country:               SI
# Latitude (DD):       46.1872
# Longitude (DD):      13.7357
# Catchment area (km²):      73.08
# Altitude (m ASL):        167.74
# Next downstream station:      6549100
# Remarks:               
# Owner of original data: Slovenia - Environmental Agency of the Republic of Slovenia (ARSO)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953-01 - 2010-12
# No. of years:          58
# Last update:           2018-10-18
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 21184
# DATA
YYYY-MM-DD;hh:mm; Value
1953-01-01;--:--;      7.710
1953-01-02;--:--;      6.530
1953-01-03;--:--;      5.050
1953-01-04;--:--;      4.290
1953-01-05;--:--;      3.780
1953-01-06;--:--;      3.520
1953-01-07;--:--;      3.270
1953-01-08;--:--;      2.760
1953-01-09;--:--;      2.500
1953-01-10;--:--;      2.500
1953-01-11;--:--;      2.330
1953-01-12;--:--;      2.330
1953-01-13;--:--;      2.160
1953-01-14;--:--;      2.160
1953-01-15;--:--;      1.990
1953-01-16;--:--;      1.990
1953-01-17;--:--;      1.820
1953-01-18;--:--;      1.650
1953-01-19;--:--;      1.480
1953-01-20;--:--;      1.820
1953-01-21;--:--;      1.650
1953-01-22;--:--;      1.650
1953-01-23;--:--;      1.650
1953-01-24;--:--;      1.650
1953-01-25;--:--;      1.650
1953-01-26;--:--;      1.650
1953-01-27;--:--;      1.480
1953-01-28;--:--;      1.480
1953-01-29;--:--;      1.480
1953-01-30;--:--;      1.480
1953-01-31;--:--;      1.480
1953-02-01;--:--;      1.480
1953-02-02;--:--;      1.480
1953-02-03;--:--;      1.480
1953-02-04;--:--;      1.480
1953-02-05;--:--;      1.480
1953-02-06;--:--;      1.480
1953-02-07;--:--;      1.480
1953-02-08;--:--;      1.310
1953-02-09;--:--;      1.310
1953-02-10;--:--;      1.310
1953-02-11;--:--;      1.650
1953-02-12;--:--;      1.480
1953-02-13;--:--;      1.310
1953-02-14;--:--;      1.310
1953-02-15;--:--;      1.310
1953-02-16;--:--;      1.310
1953-02-17;--:--;      1.310
1953-02-18;--:--;      1.310
1953-02-19;--:--;      1.310
1953-02-20;--:--;      1.310
1953-02-21;--:--;      1.480
1953-02-22;--:--;      1.480
1953-02-23;--:--;      1.650
1953-02-24;--:--;      1.990
1953-02-25;--:--;      2.330
1953-02-26;--:--;      2.160
1953-02-27;--:--;      1.820
1953-02-28;--:--;      1.990
1953-03-01;--:--;      2.160
1953-03-02;--:--;      1.820
1953-03-03;--:--;      1.820
1953-03-04;--:--;      2.160
1953-03-05;--:--;      1.820
1953-03-06;--:--;      2.160
1953-03-07;--:--;      2.330
1953-03-08;--:--;      2.330
1953-03-09;--:--;      2.160
1953-03-10;--:--;      1.990
1953-03-11;--:--;      1.820
1953-03-12;--:--;      1.820
1953-03-13;--:--;      1.650
1953-03-14;--:--;      1.650
1953-03-15;--:--;      1.480
1953-03-16;--:--;      1.480
1953-03-17;--:--;      1.480
1953-03-18;--:--;      1.650
1953-03-19;--:--;      1.820
1953-03-20;--:--;      1.820
1953-03-21;--:--;      1.990
1953-03-22;--:--;      2.160
1953-03-23;--:--;      2.330
1953-03-24;--:--;      2.330
1953-03-25;--:--;      2.500
1953-03-26;--:--;      2.760
1953-03-27;--:--;      3.010
1953-03-28;--:--;      3.010
1953-03-29;--:--;      2.500
1953-03-30;--:--;      3.010
1953-03-31;--:--;      3.520
1953-04-01;--:--;      3.520
1953-04-02;--:--;      3.270
1953-04-03;--:--;      3.780
1953-04-04;--:--;      3.780
1953-04-05;--:--;      4.030
1953-04-06;--:--;      4.800
1953-04-07;--:--;      4.540
1953-04-08;--:--;      4.290
1953-04-09;--:--;      3.780
1953-04-10;--:--;      3.780
1953-04-11;--:--;      4.290
1953-04-12;--:--;      3.520
1953-04-13;--:--;      3.520
1953-04-14;--:--;      3.780
1953-04-15;--:--;      3.520
1953-04-16;--:--;      3.520
1953-04-17;--:--;      3.010
1953-04-18;--:--;      2.760
1953-04-19;--:--;      2.330
1953-04-20;--:--;      3.010
1953-04-21;--:--;      3.520
1953-04-22;--:--;      4.030
1953-04-23;--:--;      4.540
1953-04-24;--:--;      4.800
1953-04-25;--:--;      4.800
1953-04-26;--:--;      5.050
1953-04-27;--:--;      7.710
1953-04-28;--:--;     29.700
1953-04-29;--:--;     23.200
1953-04-30;--:--;     12.700
