# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6559121
# River:                 TOLMINKA
# Station:               TOLMIN I
# Country:               SI
# Latitude (DD):       46.184
# Longitude (DD):      13.7405
# Catchment area (km²):      161.23
# Altitude (m ASL):        161.43
# Next downstream station:      6549100
# Remarks:               
# Owner of original data: Slovenia - Environmental Agency of the Republic of Slovenia (ARSO)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2015-01 - 2021-12
# No. of years:          7
# Last update:           2023-06-05
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2557
# DATA
YYYY-MM-DD;hh:mm; Value
2015-01-01;--:--;      3.065
2015-01-02;--:--;      2.914
2015-01-03;--:--;      2.914
2015-01-04;--:--;      2.770
2015-01-05;--:--;      2.632
2015-01-06;--:--;      2.500
2015-01-07;--:--;      2.500
2015-01-08;--:--;      2.500
2015-01-09;--:--;      2.374
2015-01-10;--:--;      2.374
2015-01-11;--:--;      2.374
2015-01-12;--:--;      3.557
2015-01-13;--:--;      3.065
2015-01-14;--:--;      2.914
2015-01-15;--:--;      2.770
2015-01-16;--:--;      2.632
2015-01-17;--:--;      3.920
2015-01-18;--:--;      7.560
2015-01-19;--:--;      4.959
2015-01-20;--:--;      3.920
2015-01-21;--:--;      3.735
2015-01-22;--:--;      3.735
2015-01-23;--:--;      3.557
2015-01-24;--:--;      3.557
2015-01-25;--:--;      3.386
2015-01-26;--:--;      3.386
2015-01-27;--:--;      3.222
2015-01-28;--:--;      3.222
2015-01-29;--:--;      3.065
2015-01-30;--:--;      3.065
2015-01-31;--:--;      2.914
2015-02-01;--:--;      2.914
2015-02-02;--:--;      2.770
2015-02-03;--:--;      2.770
2015-02-04;--:--;      2.632
2015-02-05;--:--;      2.632
2015-02-06;--:--;      2.500
