# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6559141
# River:                 TREBUSA
# Station:               DOLENJA TREBUSA I
# Country:               SI
# Latitude (DD):       46.0939
# Longitude (DD):      13.8321
# Catchment area (km²):      54.7
# Altitude (m ASL):        187.04
# Next downstream station:      6549150
# Remarks:               
# Owner of original data: Slovenia - Environmental Agency of the Republic of Slovenia (ARSO)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2015-01 - 2021-12
# No. of years:          7
# Last update:           2023-06-05
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2557
# DATA
YYYY-MM-DD;hh:mm; Value
2015-01-01;--:--;      1.388
2015-01-02;--:--;      1.412
2015-01-03;--:--;      1.510
2015-01-04;--:--;      1.632
2015-01-05;--:--;      1.597
2015-01-06;--:--;      1.510
2015-01-07;--:--;      1.394
2015-01-08;--:--;      1.363
2015-01-09;--:--;      1.508
2015-01-10;--:--;      2.028
2015-01-11;--:--;      2.507
2015-01-12;--:--;      2.733
2015-01-13;--:--;      2.116
2015-01-14;--:--;      1.841
2015-01-15;--:--;      1.684
2015-01-16;--:--;      1.684
2015-01-17;--:--;      7.750
2015-01-18;--:--;      6.421
2015-01-19;--:--;      3.485
2015-01-20;--:--;      2.577
2015-01-21;--:--;      2.148
2015-01-22;--:--;      2.027
2015-01-23;--:--;      1.856
2015-01-24;--:--;      1.841
2015-01-25;--:--;      1.699
2015-01-26;--:--;      1.610
2015-01-27;--:--;      1.530
2015-01-28;--:--;      1.510
2015-01-29;--:--;      1.537
2015-01-30;--:--;      1.816
2015-01-31;--:--;      1.623
2015-02-01;--:--;      1.557
2015-02-02;--:--;      1.510
2015-02-03;--:--;      1.437
2015-02-04;--:--;      1.412
2015-02-05;--:--;      1.510
2015-02-06;--:--;      1.498
2015-02-07;--:--;      1.369
2015-02-08;--:--;      1.363
2015-02-09;--:--;      1.363
2015-02-10;--:--;      1.413
2015-02-11;--:--;      1.785
2015-02-12;--:--;      1.975
2015-02-13;--:--;      1.734
2015-02-14;--:--;      1.812
2015-02-15;--:--;      3.292
2015-02-16;--:--;      3.102
2015-02-17;--:--;      2.651
2015-02-18;--:--;      2.217
2015-02-19;--:--;      2.010
2015-02-20;--:--;      1.902
2015-02-21;--:--;      1.849
2015-02-22;--:--;      3.825
2015-02-23;--:--;      5.144
2015-02-24;--:--;      4.725
2015-02-25;--:--;      4.139
2015-02-26;--:--;      3.048
2015-02-27;--:--;      2.680
2015-02-28;--:--;      2.355
2015-03-01;--:--;      2.124
2015-03-02;--:--;      5.089
2015-03-03;--:--;      5.732
2015-03-04;--:--;      3.466
2015-03-05;--:--;      2.826
2015-03-06;--:--;      2.354
2015-03-07;--:--;      2.082
2015-03-08;--:--;      1.933
2015-03-09;--:--;      1.805
2015-03-10;--:--;      1.691
2015-03-11;--:--;      1.670
2015-03-12;--:--;      1.643
2015-03-13;--:--;      1.523
2015-03-14;--:--;      1.504
2015-03-15;--:--;      1.455
2015-03-16;--:--;      1.460
2015-03-17;--:--;      2.900
2015-03-18;--:--;      2.162
2015-03-19;--:--;      1.843
2015-03-20;--:--;      1.670
2015-03-21;--:--;      1.590
2015-03-22;--:--;      1.637
2015-03-23;--:--;      1.577
2015-03-24;--:--;      1.510
2015-03-25;--:--;      3.652
2015-03-26;--:--;     24.573
2015-03-27;--:--;     14.565
2015-03-28;--:--;      7.327
2015-03-29;--:--;      5.155
2015-03-30;--:--;      3.987
2015-03-31;--:--;      3.297
2015-04-01;--:--;      2.556
2015-04-02;--:--;      2.206
2015-04-03;--:--;      1.994
2015-04-04;--:--;      1.856
2015-04-05;--:--;      1.777
2015-04-06;--:--;      1.643
2015-04-07;--:--;      1.510
2015-04-08;--:--;      1.479
2015-04-09;--:--;      1.375
2015-04-10;--:--;      1.363
2015-04-11;--:--;      1.363
2015-04-12;--:--;      1.249
2015-04-13;--:--;      1.226
2015-04-14;--:--;      1.226
2015-04-15;--:--;      1.200
2015-04-16;--:--;      1.117
