# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6836200
# River:                 ALZETTE
# Station:               HESPERANGE
# Country:               LU
# Latitude (DD):       49.58628744
# Longitude (DD):      6.14907954
# Catchment area (km²):      292.3
# Altitude (m ASL):        255.74
# Next downstream station:      6836210
# Remarks:               
# Owner of original data: Luxembourg - Division de l?Hydrologie - Ministère de l'Environnement, du Climat et du Développement 
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2002-01 - 2019-12
# No. of years:          18
# Last update:           2022-09-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6574
# DATA
YYYY-MM-DD;hh:mm; Value
2002-01-01;--:--;      3.982
2002-01-02;--:--;      3.222
2002-01-03;--:--;      2.632
2002-01-04;--:--;      2.306
2002-01-05;--:--;      2.071
2002-01-06;--:--;      1.954
2002-01-07;--:--;      1.994
2002-01-08;--:--;      2.001
2002-01-09;--:--;      1.870
2002-01-10;--:--;      1.789
2002-01-11;--:--;      1.714
2002-01-12;--:--;      1.673
2002-01-13;--:--;      1.718
2002-01-14;--:--;      1.665
2002-01-15;--:--;      1.550
2002-01-16;--:--;      1.621
2002-01-17;--:--;      1.734
2002-01-18;--:--;      1.635
2002-01-19;--:--;      4.109
2002-01-20;--:--;     18.840
2002-01-21;--:--;     15.660
2002-01-22;--:--;      7.525
2002-01-23;--:--;      5.694
2002-01-24;--:--;     11.100
2002-01-25;--:--;      9.511
2002-01-26;--:--;      7.933
2002-01-27;--:--;     22.280
2002-01-28;--:--;     24.820
2002-01-29;--:--;     10.560
2002-01-30;--:--;      7.419
2002-01-31;--:--;      6.197
2002-02-01;--:--;      5.470
2002-02-02;--:--;      4.866
2002-02-03;--:--;      4.326
2002-02-04;--:--;      3.955
2002-02-05;--:--;      4.206
2002-02-06;--:--;      4.639
2002-02-07;--:--;      3.587
2002-02-08;--:--;      4.219
2002-02-09;--:--;      7.691
2002-02-10;--:--;     31.260
2002-02-11;--:--;     17.920
2002-02-12;--:--;     15.000
2002-02-13;--:--;     19.250
2002-02-14;--:--;     26.160
2002-02-15;--:--;     11.330
2002-02-16;--:--;      7.693
2002-02-17;--:--;      6.462
2002-02-18;--:--;      5.957
2002-02-19;--:--;      6.211
2002-02-20;--:--;     23.410
2002-02-21;--:--;     31.170
2002-02-22;--:--;     13.840
2002-02-23;--:--;     17.500
2002-02-24;--:--;     18.430
2002-02-25;--:--;     17.320
2002-02-26;--:--;     26.630
2002-02-27;--:--;     31.520
2002-02-28;--:--;     17.950
2002-03-01;--:--;     12.060
2002-03-02;--:--;     10.010
2002-03-03;--:--;      8.568
2002-03-04;--:--;      7.581
2002-03-05;--:--;      6.712
2002-03-06;--:--;      6.133
2002-03-07;--:--;      6.016
2002-03-08;--:--;      4.979
2002-03-09;--:--;      4.493
2002-03-10;--:--;      4.078
2002-03-11;--:--;      3.756
2002-03-12;--:--;      3.602
2002-03-13;--:--;      3.303
2002-03-14;--:--;      3.992
2002-03-15;--:--;      3.844
2002-03-16;--:--;      3.092
2002-03-17;--:--;      2.843
2002-03-18;--:--;      3.285
2002-03-19;--:--;     25.330
2002-03-20;--:--;     24.580
2002-03-21;--:--;     20.740
2002-03-22;--:--;     12.550
2002-03-23;--:--;      8.330
2002-03-24;--:--;      6.274
2002-03-25;--:--;      5.365
2002-03-26;--:--;      4.735
2002-03-27;--:--;      4.271
2002-03-28;--:--;      3.916
2002-03-29;--:--;      3.710
2002-03-30;--:--;      3.484
2002-03-31;--:--;      3.294
2002-04-01;--:--;      3.069
2002-04-02;--:--;      2.949
2002-04-03;--:--;      2.756
2002-04-04;--:--;      2.597
2002-04-05;--:--;      2.456
2002-04-06;--:--;      2.320
2002-04-07;--:--;      2.191
2002-04-08;--:--;      2.098
2002-04-09;--:--;      2.002
2002-04-10;--:--;      1.981
2002-04-11;--:--;      1.924
2002-04-12;--:--;      1.864
2002-04-13;--:--;      1.799
2002-04-14;--:--;      1.752
2002-04-15;--:--;      1.726
2002-04-16;--:--;      2.411
2002-04-17;--:--;      2.046
2002-04-18;--:--;      1.777
2002-04-19;--:--;      2.390
2002-04-20;--:--;      1.879
2002-04-21;--:--;      1.640
2002-04-22;--:--;      1.575
2002-04-23;--:--;      1.535
2002-04-24;--:--;      1.506
2002-04-25;--:--;      1.475
2002-04-26;--:--;      1.564
2002-04-27;--:--;      1.981
2002-04-28;--:--;      1.680
2002-04-29;--:--;      2.020
2002-04-30;--:--;      1.639
2002-05-01;--:--;      1.901
2002-05-02;--:--;      1.682
2002-05-03;--:--;      1.427
2002-05-04;--:--;      1.786
2002-05-05;--:--;      6.769
2002-05-06;--:--;      3.366
2002-05-07;--:--;      2.302
2002-05-08;--:--;      1.863
2002-05-09;--:--;      1.682
2002-05-10;--:--;      1.515
2002-05-11;--:--;      1.497
