# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6836400
# River:                 MAMER
# Station:               SCHOENFELS
# Country:               LU
# Latitude (DD):       49.72311178
# Longitude (DD):      6.10079479
# Catchment area (km²):      83.6
# Altitude (m ASL):        222.56
# Next downstream station:      0
# Remarks:               
# Owner of original data: Luxembourg - Division de l?Hydrologie - Ministère de l'Environnement, du Climat et du Développement 
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2002-01 - 2019-12
# No. of years:          18
# Last update:           2022-09-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6574
# DATA
YYYY-MM-DD;hh:mm; Value
2002-01-01;--:--;      1.315
2002-01-02;--:--;      1.145
2002-01-03;--:--;      1.071
2002-01-04;--:--;      0.989
2002-01-05;--:--;      0.888
2002-01-06;--:--;      0.791
2002-01-07;--:--;      0.686
2002-01-08;--:--;      0.686
2002-01-09;--:--;      0.628
2002-01-10;--:--;      0.591
2002-01-11;--:--;      0.591
2002-01-12;--:--;      0.591
2002-01-13;--:--;      0.591
2002-01-14;--:--;      0.591
2002-01-15;--:--;      0.591
2002-01-16;--:--;      0.591
2002-01-17;--:--;      0.591
2002-01-18;--:--;      0.591
2002-01-19;--:--;      1.213
2002-01-20;--:--;      7.803
2002-01-21;--:--;      6.144
2002-01-22;--:--;      2.606
2002-01-23;--:--;      2.245
2002-01-24;--:--;      4.247
2002-01-25;--:--;      3.452
2002-01-26;--:--;      2.646
2002-01-27;--:--;      7.666
2002-01-28;--:--;      6.258
2002-01-29;--:--;      2.689
2002-01-30;--:--;      1.908
2002-01-31;--:--;      1.526
2002-02-01;--:--;      1.374
2002-02-02;--:--;      1.266
2002-02-03;--:--;      1.139
2002-02-04;--:--;      1.071
2002-02-05;--:--;      1.104
2002-02-06;--:--;      1.507
2002-02-07;--:--;      1.260
2002-02-08;--:--;      1.234
2002-02-09;--:--;      2.522
2002-02-10;--:--;      9.474
2002-02-11;--:--;      3.708
2002-02-12;--:--;      5.790
2002-02-13;--:--;      6.500
2002-02-14;--:--;      7.166
2002-02-15;--:--;      2.615
2002-02-16;--:--;      1.995
2002-02-17;--:--;      1.681
2002-02-18;--:--;      1.501
2002-02-19;--:--;      1.556
2002-02-20;--:--;      8.814
2002-02-21;--:--;      5.582
2002-02-22;--:--;      2.745
2002-02-23;--:--;      5.296
2002-02-24;--:--;      4.039
2002-02-25;--:--;      3.753
2002-02-26;--:--;      9.003
2002-02-27;--:--;      9.352
2002-02-28;--:--;      3.412
2002-03-01;--:--;      2.233
2002-03-02;--:--;      1.874
2002-03-03;--:--;      1.594
2002-03-04;--:--;      1.478
2002-03-05;--:--;      1.386
2002-03-06;--:--;      1.269
2002-03-07;--:--;      1.301
2002-03-08;--:--;      1.266
2002-03-09;--:--;      1.185
2002-03-10;--:--;      1.088
2002-03-11;--:--;      1.071
2002-03-12;--:--;      1.071
2002-03-13;--:--;      0.989
2002-03-14;--:--;      1.022
2002-03-15;--:--;      1.155
2002-03-16;--:--;      1.071
2002-03-17;--:--;      0.984
2002-03-18;--:--;      1.007
2002-03-19;--:--;      6.602
2002-03-20;--:--;      7.663
2002-03-21;--:--;      6.208
2002-03-22;--:--;      3.799
2002-03-23;--:--;      2.503
2002-03-24;--:--;      2.094
2002-03-25;--:--;      1.750
2002-03-26;--:--;      1.576
2002-03-27;--:--;      1.461
2002-03-28;--:--;      1.372
2002-03-29;--:--;      1.279
2002-03-30;--:--;      1.266
2002-03-31;--:--;      1.266
2002-04-01;--:--;      1.200
2002-04-02;--:--;      1.107
2002-04-03;--:--;      1.071
2002-04-04;--:--;      1.071
2002-04-05;--:--;      1.071
2002-04-06;--:--;      1.071
2002-04-07;--:--;      1.071
2002-04-08;--:--;      1.071
2002-04-09;--:--;      1.070
2002-04-10;--:--;      0.974
2002-04-11;--:--;      0.974
2002-04-12;--:--;      0.974
2002-04-13;--:--;      0.974
2002-04-14;--:--;      0.974
2002-04-15;--:--;      0.974
2002-04-16;--:--;      1.067
2002-04-17;--:--;      1.066
2002-04-18;--:--;      0.974
2002-04-19;--:--;      1.015
2002-04-20;--:--;      1.106
2002-04-21;--:--;      0.983
2002-04-22;--:--;      0.974
2002-04-23;--:--;      0.924
2002-04-24;--:--;      0.878
2002-04-25;--:--;      0.878
2002-04-26;--:--;      0.878
2002-04-27;--:--;      0.878
2002-04-28;--:--;      0.878
2002-04-29;--:--;      0.941
2002-04-30;--:--;      0.913
2002-05-01;--:--;      0.878
2002-05-02;--:--;      0.729
2002-05-03;--:--;      0.686
2002-05-04;--:--;      0.732
2002-05-05;--:--;      2.425
2002-05-06;--:--;      1.869
2002-05-07;--:--;      1.374
2002-05-08;--:--;      1.189
2002-05-09;--:--;      1.027
2002-05-10;--:--;      0.974
2002-05-11;--:--;      0.974
2002-05-12;--:--;      0.904
2002-05-13;--:--;      0.767
2002-05-14;--:--;      0.690
2002-05-15;--:--;      0.748
2002-05-16;--:--;      0.626
2002-05-17;--:--;      0.591
2002-05-18;--:--;      0.680
2002-05-19;--:--;      0.745
2002-05-20;--:--;      0.591
2002-05-21;--:--;      0.534
2002-05-22;--:--;      0.437
2002-05-23;--:--;      0.402
2002-05-24;--:--;      0.402
2002-05-25;--:--;      0.402
2002-05-26;--:--;      0.402
2002-05-27;--:--;      0.402
2002-05-28;--:--;      0.402
2002-05-29;--:--;      0.402
2002-05-30;--:--;      0.402
2002-05-31;--:--;      0.402
2002-06-01;--:--;      0.402
2002-06-02;--:--;      0.402
2002-06-03;--:--;      0.402
2002-06-04;--:--;      0.403
2002-06-05;--:--;      0.455
2002-06-06;--:--;      0.413
2002-06-07;--:--;      0.445
