# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6836500
# River:                 EISCH
# Station:               HUNNEBUER
# Country:               LU
# Latitude (DD):       49.72918441
# Longitude (DD):      6.07952383
# Catchment area (km²):      164.2
# Altitude (m ASL):        223.48
# Next downstream station:      0
# Remarks:               
# Owner of original data: Luxembourg - Division de l?Hydrologie - Ministère de l'Environnement, du Climat et du Développement 
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2002-01 - 2019-12
# No. of years:          18
# Last update:           2022-09-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6574
# DATA
YYYY-MM-DD;hh:mm; Value
2002-01-01;--:--;      2.570
2002-01-02;--:--;      2.074
2002-01-03;--:--;      1.770
2002-01-04;--:--;      1.614
2002-01-05;--:--;      1.534
2002-01-06;--:--;      1.455
2002-01-07;--:--;      1.455
2002-01-08;--:--;      1.427
2002-01-09;--:--;      1.352
2002-01-10;--:--;      1.352
2002-01-11;--:--;      1.352
2002-01-12;--:--;      1.352
2002-01-13;--:--;      1.352
2002-01-14;--:--;      1.352
2002-01-15;--:--;      1.352
2002-01-16;--:--;      1.352
2002-01-17;--:--;      1.352
2002-01-18;--:--;      1.352
2002-01-19;--:--;      1.415
2002-01-20;--:--;      9.683
2002-01-21;--:--;     12.000
2002-01-22;--:--;      5.783
2002-01-23;--:--;      4.029
2002-01-24;--:--;      6.241
2002-01-25;--:--;      6.054
2002-01-26;--:--;      4.714
2002-01-27;--:--;     11.880
2002-01-28;--:--;     16.160
2002-01-29;--:--;      7.400
2002-01-30;--:--;      4.436
2002-01-31;--:--;      3.337
2002-02-01;--:--;      2.715
2002-02-02;--:--;      2.435
2002-02-03;--:--;      2.289
2002-02-04;--:--;      2.185
2002-02-05;--:--;      2.185
2002-02-06;--:--;      2.781
2002-02-07;--:--;      2.379
2002-02-08;--:--;      2.212
2002-02-09;--:--;      3.095
2002-02-10;--:--;     22.090
2002-02-11;--:--;      8.679
2002-02-12;--:--;      8.953
2002-02-13;--:--;     10.300
2002-02-14;--:--;     13.120
2002-02-15;--:--;      6.175
2002-02-16;--:--;      4.181
2002-02-17;--:--;      3.179
2002-02-18;--:--;      2.665
2002-02-19;--:--;      2.475
2002-02-20;--:--;     11.980
2002-02-21;--:--;     19.420
2002-02-22;--:--;      5.731
2002-02-23;--:--;      7.087
2002-02-24;--:--;      7.453
2002-02-25;--:--;      6.618
2002-02-26;--:--;     16.640
2002-02-27;--:--;     21.410
2002-02-28;--:--;      8.951
2002-03-01;--:--;      5.304
2002-03-02;--:--;      4.116
2002-03-03;--:--;      3.291
2002-03-04;--:--;      2.797
2002-03-05;--:--;      2.427
2002-03-06;--:--;      2.317
2002-03-07;--:--;      2.185
2002-03-08;--:--;      2.172
2002-03-09;--:--;      2.049
2002-03-10;--:--;      2.031
2002-03-11;--:--;      1.919
2002-03-12;--:--;      1.919
2002-03-13;--:--;      1.919
2002-03-14;--:--;      1.919
2002-03-15;--:--;      1.919
2002-03-16;--:--;      1.919
2002-03-17;--:--;      1.919
2002-03-18;--:--;      1.919
2002-03-19;--:--;     10.550
2002-03-20;--:--;     13.400
2002-03-21;--:--;     12.850
2002-03-22;--:--;      7.278
2002-03-23;--:--;      4.910
2002-03-24;--:--;      3.608
2002-03-25;--:--;      3.053
2002-03-26;--:--;      2.677
2002-03-27;--:--;      2.304
2002-03-28;--:--;      1.946
2002-03-29;--:--;      1.919
2002-03-30;--:--;      1.827
2002-03-31;--:--;      1.795
2002-04-01;--:--;      1.742
2002-04-02;--:--;      1.707
2002-04-03;--:--;      1.676
2002-04-04;--:--;      1.676
2002-04-05;--:--;      1.597
2002-04-06;--:--;      1.563
2002-04-07;--:--;      1.563
2002-04-08;--:--;      1.563
2002-04-09;--:--;      1.542
2002-04-10;--:--;      1.462
2002-04-11;--:--;      1.356
2002-04-12;--:--;      1.352
2002-04-13;--:--;      1.352
2002-04-14;--:--;      1.352
2002-04-15;--:--;      1.352
2002-04-16;--:--;      1.496
2002-04-17;--:--;      1.499
2002-04-18;--:--;      1.375
2002-04-19;--:--;      1.479
2002-04-20;--:--;      1.528
2002-04-21;--:--;      1.385
2002-04-22;--:--;      1.352
2002-04-23;--:--;      1.350
2002-04-24;--:--;      1.343
2002-04-25;--:--;      1.352
2002-04-26;--:--;      1.352
2002-04-27;--:--;      1.449
2002-04-28;--:--;      1.429
2002-04-29;--:--;      1.574
2002-04-30;--:--;      1.454
2002-05-01;--:--;      1.410
2002-05-02;--:--;      1.477
2002-05-03;--:--;      1.360
2002-05-04;--:--;      1.271
2002-05-05;--:--;      2.960
2002-05-06;--:--;      3.351
2002-05-07;--:--;      1.641
2002-05-08;--:--;      1.352
2002-05-09;--:--;      1.352
2002-05-10;--:--;      1.352
2002-05-11;--:--;      1.278
2002-05-12;--:--;      1.285
