# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6836600
# River:                 ATTERT
# Station:               BISSEN
# Country:               LU
# Latitude (DD):       49.78485346
# Longitude (DD):      6.05641448
# Catchment area (km²):      291.5
# Altitude (m ASL):        218.56
# Next downstream station:      0
# Remarks:               
# Owner of original data: Luxembourg - Division de l?Hydrologie - Ministère de l'Environnement, du Climat et du Développement 
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2002-01 - 2019-12
# No. of years:          18
# Last update:           2022-09-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6574
# DATA
YYYY-MM-DD;hh:mm; Value
2002-01-01;--:--;      4.344
2002-01-02;--:--;      3.717
2002-01-03;--:--;      3.387
2002-01-04;--:--;      3.113
2002-01-05;--:--;      3.009
2002-01-06;--:--;      2.886
2002-01-07;--:--;      2.725
2002-01-08;--:--;      2.502
2002-01-09;--:--;      2.350
2002-01-10;--:--;      2.186
2002-01-11;--:--;      2.166
2002-01-12;--:--;      2.166
2002-01-13;--:--;      2.166
2002-01-14;--:--;      2.089
2002-01-15;--:--;      1.992
2002-01-16;--:--;      2.037
2002-01-17;--:--;      1.992
2002-01-18;--:--;      1.992
2002-01-19;--:--;      3.674
2002-01-20;--:--;     20.850
2002-01-21;--:--;     18.850
2002-01-22;--:--;     12.530
2002-01-23;--:--;      9.751
2002-01-24;--:--;     15.140
2002-01-25;--:--;     12.830
2002-01-26;--:--;     11.550
2002-01-27;--:--;     33.760
2002-01-28;--:--;     27.460
2002-01-29;--:--;     15.980
2002-01-30;--:--;     10.730
2002-01-31;--:--;      7.791
2002-02-01;--:--;      6.306
2002-02-02;--:--;      5.445
2002-02-03;--:--;      4.735
2002-02-04;--:--;      4.244
2002-02-05;--:--;      5.006
2002-02-06;--:--;      6.965
2002-02-07;--:--;      5.297
2002-02-08;--:--;      5.708
2002-02-09;--:--;      9.845
2002-02-10;--:--;     31.990
2002-02-11;--:--;     18.480
2002-02-12;--:--;     21.540
2002-02-13;--:--;     27.740
2002-02-14;--:--;     28.680
2002-02-15;--:--;     15.550
2002-02-16;--:--;     10.420
2002-02-17;--:--;      7.887
2002-02-18;--:--;      6.676
2002-02-19;--:--;      6.307
2002-02-20;--:--;     29.060
2002-02-21;--:--;     22.250
2002-02-22;--:--;     14.170
2002-02-23;--:--;     15.720
2002-02-24;--:--;     12.380
2002-02-25;--:--;     14.750
2002-02-26;--:--;     35.640
2002-02-27;--:--;     35.110
2002-02-28;--:--;     21.410
2002-03-01;--:--;     13.060
2002-03-02;--:--;      9.453
2002-03-03;--:--;      7.502
2002-03-04;--:--;      6.455
2002-03-05;--:--;      5.719
2002-03-06;--:--;      5.215
2002-03-07;--:--;      5.167
2002-03-08;--:--;      4.618
2002-03-09;--:--;      4.315
2002-03-10;--:--;      4.050
2002-03-11;--:--;      3.800
2002-03-12;--:--;      3.593
2002-03-13;--:--;      3.498
2002-03-14;--:--;      3.517
2002-03-15;--:--;      3.826
2002-03-16;--:--;      3.380
2002-03-17;--:--;      3.162
2002-03-18;--:--;      3.422
2002-03-19;--:--;     22.550
2002-03-20;--:--;     25.450
2002-03-21;--:--;     24.350
2002-03-22;--:--;     16.260
2002-03-23;--:--;     11.190
2002-03-24;--:--;      8.076
2002-03-25;--:--;      6.544
2002-03-26;--:--;      5.580
2002-03-27;--:--;      4.888
2002-03-28;--:--;      4.395
2002-03-29;--:--;      4.031
2002-03-30;--:--;      3.787
2002-03-31;--:--;      3.595
2002-04-01;--:--;      3.357
2002-04-02;--:--;      3.165
2002-04-03;--:--;      3.114
2002-04-04;--:--;      2.936
2002-04-05;--:--;      2.749
2002-04-06;--:--;      2.713
2002-04-07;--:--;      2.545
2002-04-08;--:--;      2.537
2002-04-09;--:--;      2.459
2002-04-10;--:--;      2.366
2002-04-11;--:--;      2.348
2002-04-12;--:--;      2.348
2002-04-13;--:--;      2.348
2002-04-14;--:--;      2.239
2002-04-15;--:--;      2.166
2002-04-16;--:--;      2.383
2002-04-17;--:--;      2.350
2002-04-18;--:--;      2.172
2002-04-19;--:--;      2.217
2002-04-20;--:--;      2.567
2002-04-21;--:--;      2.194
2002-04-22;--:--;      2.166
2002-04-23;--:--;      2.166
2002-04-24;--:--;      2.166
2002-04-25;--:--;      2.166
2002-04-26;--:--;      2.166
2002-04-27;--:--;      2.166
2002-04-28;--:--;      2.191
2002-04-29;--:--;      2.606
2002-04-30;--:--;      3.132
2002-05-01;--:--;      2.382
2002-05-02;--:--;      2.348
2002-05-03;--:--;      2.192
2002-05-04;--:--;      2.204
2002-05-05;--:--;      4.839
2002-05-06;--:--;      4.713
2002-05-07;--:--;      3.559
2002-05-08;--:--;      3.144
2002-05-09;--:--;      2.901
2002-05-10;--:--;      2.640
2002-05-11;--:--;      2.493
2002-05-12;--:--;      2.333
2002-05-13;--:--;      2.176
2002-05-14;--:--;      2.257
2002-05-15;--:--;      3.113
2002-05-16;--:--;      2.210
2002-05-17;--:--;      1.996
2002-05-18;--:--;      1.902
2002-05-19;--:--;      1.920
2002-05-20;--:--;      1.820
2002-05-21;--:--;      1.744
2002-05-22;--:--;      1.712
2002-05-23;--:--;      1.684
2002-05-24;--:--;      1.588
2002-05-25;--:--;      1.636
2002-05-26;--:--;      1.529
2002-05-27;--:--;      1.548
2002-05-28;--:--;      1.505
2002-05-29;--:--;      1.439
2002-05-30;--:--;      1.438
2002-05-31;--:--;      1.368
2002-06-01;--:--;      1.368
2002-06-02;--:--;      1.303
2002-06-03;--:--;      1.298
2002-06-04;--:--;      1.305
2002-06-05;--:--;      1.711
2002-06-06;--:--;      1.497
2002-06-07;--:--;      1.461
2002-06-08;--:--;      1.433
2002-06-09;--:--;      1.298
2002-06-10;--:--;      1.298
2002-06-11;--:--;      1.298
2002-06-12;--:--;      1.415
2002-06-13;--:--;      1.336
2002-06-14;--:--;      1.278
2002-06-15;--:--;      1.230
2002-06-16;--:--;      1.230
2002-06-17;--:--;      1.230
2002-06-18;--:--;      1.230
2002-06-19;--:--;      1.230
2002-06-20;--:--;      1.230
2002-06-21;--:--;      1.191
2002-06-22;--:--;      1.164
2002-06-23;--:--;      1.164
2002-06-24;--:--;      1.164
2002-06-25;--:--;      1.111
2002-06-26;--:--;      1.074
2002-06-27;--:--;      1.037
2002-06-28;--:--;      1.047
2002-06-29;--:--;      1.018
2002-06-30;--:--;      0.976
2002-07-01;--:--;      0.976
2002-07-02;--:--;      1.052
2002-07-03;--:--;      1.421
2002-07-04;--:--;      1.523
2002-07-05;--:--;      1.100
2002-07-06;--:--;      1.068
2002-07-07;--:--;      1.021
2002-07-08;--:--;      0.976
2002-07-09;--:--;      0.976
2002-07-10;--:--;      1.776
2002-07-11;--:--;      1.375
2002-07-12;--:--;      1.100
2002-07-13;--:--;      1.475
2002-07-14;--:--;      1.436
2002-07-15;--:--;      1.100
2002-07-16;--:--;      1.100
2002-07-17;--:--;      1.100
2002-07-18;--:--;      1.158
2002-07-19;--:--;      1.035
2002-07-20;--:--;      1.037
2002-07-21;--:--;      1.037
2002-07-22;--:--;      1.037
2002-07-23;--:--;      1.037
2002-07-24;--:--;      1.037
2002-07-25;--:--;      1.037
2002-07-26;--:--;      1.037
2002-07-27;--:--;      1.037
2002-07-28;--:--;      0.990
2002-07-29;--:--;      0.979
2002-07-30;--:--;      0.982
2002-07-31;--:--;      1.064
2002-08-01;--:--;      1.037
2002-08-02;--:--;      0.994
2002-08-03;--:--;      1.466
2002-08-04;--:--;      1.118
2002-08-05;--:--;      1.037
2002-08-06;--:--;      1.002
2002-08-07;--:--;      1.027
2002-08-08;--:--;      1.015
2002-08-09;--:--;      1.037
