# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6935065
# River:                 SUZE
# Station:               SONCEBOZ
# Country:               CH
# Latitude (DD):       47.1968
# Longitude (DD):      7.1722
# Catchment area (km²):      150.0
# Altitude (m ASL):        691.208
# Next downstream station:      6935060
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961-01 - 2020-12
# No. of years:          60
# Last update:           2024-01-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 21915
# DATA
YYYY-MM-DD;hh:mm; Value
1961-01-01;--:--;      1.450
1961-01-02;--:--;      1.540
1961-01-03;--:--;      8.160
1961-01-04;--:--;      5.480
1961-01-05;--:--;      3.520
1961-01-06;--:--;      2.870
1961-01-07;--:--;      2.470
1961-01-08;--:--;      2.270
1961-01-09;--:--;      2.370
1961-01-10;--:--;      2.270
1961-01-11;--:--;      2.180
1961-01-12;--:--;      2.080
1961-01-13;--:--;      1.990
1961-01-14;--:--;      1.900
1961-01-15;--:--;      1.900
1961-01-16;--:--;      1.810
1961-01-17;--:--;      1.720
1961-01-18;--:--;      1.630
1961-01-19;--:--;      1.540
1961-01-20;--:--;      1.540
1961-01-21;--:--;      1.450
1961-01-22;--:--;      1.450
1961-01-23;--:--;      1.450
1961-01-24;--:--;      1.450
1961-01-25;--:--;      1.450
1961-01-26;--:--;      1.360
1961-01-27;--:--;      1.360
1961-01-28;--:--;      1.360
1961-01-29;--:--;      1.810
1961-01-30;--:--;      2.270
1961-01-31;--:--;     14.300
1961-02-01;--:--;     13.400
1961-02-02;--:--;     10.500
1961-02-03;--:--;      9.200
1961-02-04;--:--;      7.380
1961-02-05;--:--;      7.100
1961-02-06;--:--;      7.960
1961-02-07;--:--;      8.880
1961-02-08;--:--;      6.960
1961-02-09;--:--;      7.660
1961-02-10;--:--;      8.880
1961-02-11;--:--;      7.380
1961-02-12;--:--;     11.400
1961-02-13;--:--;     10.900
1961-02-14;--:--;      9.200
1961-02-15;--:--;      8.410
1961-02-16;--:--;      7.960
1961-02-17;--:--;      7.660
1961-02-18;--:--;      7.100
1961-02-19;--:--;      6.680
1961-02-20;--:--;      6.270
1961-02-21;--:--;      5.740
