# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6935103
# River:                 GROSSBACH
# Station:               EINSIEDELN, GROSS
# Country:               CH
# Latitude (DD):       47.106462069
# Longitude (DD):      8.765481276
# Catchment area (km²):      8.95
# Altitude (m ASL):        942.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2012-01 - 2020-12
# No. of years:          9
# Last update:           2024-01-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3288
# DATA
YYYY-MM-DD;hh:mm; Value
2012-01-01;--:--;      2.335
2012-01-02;--:--;      1.202
2012-01-03;--:--;      0.673
2012-01-04;--:--;      1.016
2012-01-05;--:--;      0.818
2012-01-06;--:--;      0.488
2012-01-07;--:--;      0.330
2012-01-08;--:--;      0.316
2012-01-09;--:--;      0.251
2012-01-10;--:--;      0.215
2012-01-11;--:--;      0.193
2012-01-12;--:--;      0.179
2012-01-13;--:--;      0.174
2012-01-14;--:--;      0.160
2012-01-15;--:--;      0.153
2012-01-16;--:--;      0.147
2012-01-17;--:--;      0.142
2012-01-18;--:--;      0.136
2012-01-19;--:--;      0.148
2012-01-20;--:--;      0.640
2012-01-21;--:--;      0.429
2012-01-22;--:--;      1.504
2012-01-23;--:--;      0.601
2012-01-24;--:--;      0.331
2012-01-25;--:--;      0.261
2012-01-26;--:--;      0.221
2012-01-27;--:--;      0.212
2012-01-28;--:--;      0.200
2012-01-29;--:--;      0.183
2012-01-30;--:--;      0.169
2012-01-31;--:--;      0.154
2012-02-01;--:--;      0.142
2012-02-02;--:--;      0.136
2012-02-03;--:--;      0.131
2012-02-04;--:--;      0.126
2012-02-05;--:--;      0.121
2012-02-06;--:--;      0.117
2012-02-07;--:--;      0.112
2012-02-08;--:--;      0.108
2012-02-09;--:--;      0.103
2012-02-10;--:--;      0.099
2012-02-11;--:--;      0.095
2012-02-12;--:--;      0.091
2012-02-13;--:--;      0.087
2012-02-14;--:--;      0.083
2012-02-15;--:--;      0.079
2012-02-16;--:--;      0.075
2012-02-17;--:--;      0.072
2012-02-18;--:--;      0.069
2012-02-19;--:--;      0.069
2012-02-20;--:--;      0.069
2012-02-21;--:--;      0.070
2012-02-22;--:--;      0.071
2012-02-23;--:--;      0.074
2012-02-24;--:--;      0.100
2012-02-25;--:--;      0.206
