# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6935150
# River:                 FERRERABACH
# Station:               TRUN
# Country:               CH
# Latitude (DD):       46.7567
# Longitude (DD):      8.9805
# Catchment area (km²):      13.0
# Altitude (m ASL):        1268.616
# Next downstream station:      6935145
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963-01 - 1989-12
# No. of years:          27
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 9862
# DATA
YYYY-MM-DD;hh:mm; Value
1963-01-01;--:--;      0.120
1963-01-02;--:--;      0.110
1963-01-03;--:--;      0.110
1963-01-04;--:--;      0.110
1963-01-05;--:--;      0.110
1963-01-06;--:--;      0.110
1963-01-07;--:--;      0.110
1963-01-08;--:--;      0.110
1963-01-09;--:--;      0.110
1963-01-10;--:--;      0.110
1963-01-11;--:--;      0.110
1963-01-12;--:--;      0.110
1963-01-13;--:--;      0.110
1963-01-14;--:--;      0.110
1963-01-15;--:--;      0.110
1963-01-16;--:--;      0.110
1963-01-17;--:--;      0.110
1963-01-18;--:--;      0.110
1963-01-19;--:--;      0.110
1963-01-20;--:--;      0.110
1963-01-21;--:--;      0.110
1963-01-22;--:--;      0.110
1963-01-23;--:--;      0.110
1963-01-24;--:--;      0.110
1963-01-25;--:--;      0.110
1963-01-26;--:--;      0.110
1963-01-27;--:--;      0.110
1963-01-28;--:--;      0.110
1963-01-29;--:--;      0.110
1963-01-30;--:--;      0.120
1963-01-31;--:--;      0.110
1963-02-01;--:--;      0.120
1963-02-02;--:--;      0.120
1963-02-03;--:--;      0.120
1963-02-04;--:--;      0.110
1963-02-05;--:--;      0.110
1963-02-06;--:--;      0.100
