# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6935380
# River:                 GORNERNBACH
# Station:               KIENTAL
# Country:               CH
# Latitude (DD):       46.547
# Longitude (DD):      7.7574
# Catchment area (km²):      26.0
# Altitude (m ASL):        1330.356
# Next downstream station:      6935020
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-01 - 1982-12
# No. of years:          33
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 12053
# DATA
YYYY-MM-DD;hh:mm; Value
1950-01-01;--:--;      0.190
1950-01-02;--:--;      0.200
1950-01-03;--:--;      0.170
1950-01-04;--:--;      0.190
1950-01-05;--:--;      0.170
1950-01-06;--:--;      0.150
1950-01-07;--:--;      0.150
1950-01-08;--:--;      0.140
1950-01-09;--:--;      0.140
1950-01-10;--:--;      0.140
1950-01-11;--:--;      0.150
1950-01-12;--:--;      0.150
1950-01-13;--:--;      0.140
1950-01-14;--:--;      0.140
1950-01-15;--:--;      0.150
1950-01-16;--:--;      0.150
1950-01-17;--:--;      0.150
1950-01-18;--:--;      0.180
1950-01-19;--:--;      0.280
1950-01-20;--:--;      0.170
1950-01-21;--:--;      0.250
1950-01-22;--:--;      0.240
1950-01-23;--:--;      0.210
1950-01-24;--:--;      0.190
1950-01-25;--:--;      0.160
1950-01-26;--:--;      0.180
1950-01-27;--:--;      0.180
1950-01-28;--:--;      0.140
1950-01-29;--:--;      0.120
1950-01-30;--:--;      0.120
1950-01-31;--:--;      0.120
1950-02-01;--:--;      0.120
1950-02-02;--:--;      0.120
1950-02-03;--:--;      0.120
1950-02-04;--:--;      0.120
1950-02-05;--:--;      0.110
1950-02-06;--:--;      0.110
1950-02-07;--:--;      0.110
1950-02-08;--:--;      0.110
1950-02-09;--:--;      0.110
1950-02-10;--:--;      0.140
1950-02-11;--:--;      0.160
1950-02-12;--:--;      0.130
1950-02-13;--:--;      0.110
1950-02-14;--:--;      0.110
1950-02-15;--:--;      0.160
1950-02-16;--:--;      0.120
1950-02-17;--:--;      0.150
1950-02-18;--:--;      0.220
1950-02-19;--:--;      0.260
1950-02-20;--:--;      0.240
1950-02-21;--:--;      0.210
1950-02-22;--:--;      0.180
1950-02-23;--:--;      0.170
1950-02-24;--:--;      0.160
1950-02-25;--:--;      0.150
1950-02-26;--:--;      0.140
1950-02-27;--:--;      0.160
1950-02-28;--:--;      0.160
1950-03-01;--:--;      0.170
1950-03-02;--:--;      0.140
1950-03-03;--:--;      0.140
1950-03-04;--:--;      0.240
1950-03-05;--:--;      0.300
1950-03-06;--:--;      0.230
1950-03-07;--:--;      0.290
1950-03-08;--:--;      0.360
1950-03-09;--:--;      0.400
1950-03-10;--:--;      0.340
1950-03-11;--:--;      0.300
1950-03-12;--:--;      0.290
1950-03-13;--:--;      0.270
1950-03-14;--:--;      0.270
1950-03-15;--:--;      0.320
1950-03-16;--:--;      0.360
1950-03-17;--:--;      0.380
1950-03-18;--:--;      0.420
1950-03-19;--:--;      0.400
1950-03-20;--:--;      0.340
1950-03-21;--:--;      0.340
1950-03-22;--:--;      0.300
1950-03-23;--:--;      0.290
1950-03-24;--:--;      0.300
1950-03-25;--:--;      0.340
1950-03-26;--:--;      0.370
1950-03-27;--:--;      0.400
1950-03-28;--:--;      0.460
1950-03-29;--:--;      0.460
1950-03-30;--:--;      0.400
1950-03-31;--:--;      0.360
1950-04-01;--:--;      0.360
1950-04-02;--:--;      0.340
1950-04-03;--:--;      0.300
1950-04-04;--:--;      0.270
1950-04-05;--:--;      0.250
1950-04-06;--:--;      0.270
1950-04-07;--:--;      0.360
1950-04-08;--:--;      0.500
1950-04-09;--:--;      0.680
1950-04-10;--:--;      0.660
1950-04-11;--:--;      0.570
1950-04-12;--:--;      0.530
1950-04-13;--:--;      0.580
1950-04-14;--:--;      0.440
1950-04-15;--:--;      0.380
1950-04-16;--:--;      0.320
1950-04-17;--:--;      0.360
1950-04-18;--:--;      0.370
1950-04-19;--:--;      0.340
1950-04-20;--:--;      0.340
1950-04-21;--:--;      0.400
1950-04-22;--:--;      0.440
1950-04-23;--:--;      0.460
1950-04-24;--:--;      0.420
1950-04-25;--:--;      0.370
1950-04-26;--:--;      0.310
1950-04-27;--:--;      0.290
1950-04-28;--:--;      0.290
1950-04-29;--:--;      0.400
1950-04-30;--:--;      0.580
1950-05-01;--:--;      0.940
1950-05-02;--:--;      1.420
1950-05-03;--:--;      1.360
1950-05-04;--:--;      0.940
1950-05-05;--:--;      0.820
1950-05-06;--:--;      0.840
1950-05-07;--:--;      1.200
1950-05-08;--:--;      1.050
1950-05-09;--:--;      1.460
1950-05-10;--:--;      1.840
1950-05-11;--:--;      2.010
1950-05-12;--:--;      2.180
1950-05-13;--:--;      2.650
1950-05-14;--:--;      2.650
1950-05-15;--:--;      2.320
1950-05-16;--:--;      2.320
1950-05-17;--:--;      2.370
1950-05-18;--:--;      2.970
1950-05-19;--:--;      3.350
1950-05-20;--:--;      3.290
1950-05-21;--:--;      6.520
1950-05-22;--:--;      8.480
1950-05-23;--:--;      5.370
1950-05-24;--:--;      4.590
1950-05-25;--:--;      4.390
1950-05-26;--:--;      4.010
1950-05-27;--:--;      2.270
1950-05-28;--:--;      1.390
1950-05-29;--:--;      1.330
1950-05-30;--:--;      1.720
1950-05-31;--:--;      2.460
1950-06-01;--:--;      3.530
1950-06-02;--:--;      3.290
1950-06-03;--:--;      4.080
1950-06-04;--:--;      4.010
1950-06-05;--:--;      3.760
1950-06-06;--:--;      4.010
1950-06-07;--:--;      4.260
1950-06-08;--:--;      4.140
1950-06-09;--:--;      4.390
1950-06-10;--:--;      4.320
1950-06-11;--:--;      4.010
1950-06-12;--:--;      4.320
1950-06-13;--:--;      4.010
1950-06-14;--:--;      4.010
1950-06-15;--:--;      3.530
1950-06-16;--:--;      3.880
1950-06-17;--:--;      5.080
1950-06-18;--:--;      3.880
1950-06-19;--:--;      3.290
1950-06-20;--:--;      3.530
1950-06-21;--:--;      3.530
1950-06-22;--:--;      3.120
1950-06-23;--:--;      2.420
1950-06-24;--:--;      2.060
1950-06-25;--:--;      2.100
1950-06-26;--:--;      3.880
1950-06-27;--:--;      2.800
1950-06-28;--:--;      3.070
1950-06-29;--:--;      3.470
1950-06-30;--:--;      3.700
1950-07-01;--:--;      4.800
1950-07-02;--:--;      5.440
1950-07-03;--:--;      4.260
1950-07-04;--:--;      4.260
1950-07-05;--:--;      4.140
1950-07-06;--:--;      4.390
1950-07-07;--:--;      2.970
1950-07-08;--:--;      2.650
1950-07-09;--:--;      2.860
1950-07-10;--:--;      3.640
1950-07-11;--:--;      4.370
1950-07-12;--:--;      3.020
1950-07-13;--:--;      3.070
1950-07-14;--:--;      5.220
1950-07-15;--:--;      4.140
1950-07-16;--:--;      2.800
1950-07-17;--:--;      2.510
1950-07-18;--:--;      2.650
1950-07-19;--:--;      2.700
1950-07-20;--:--;      3.020
1950-07-21;--:--;      2.750
1950-07-22;--:--;      2.970
1950-07-23;--:--;      3.240
1950-07-24;--:--;      2.970
1950-07-25;--:--;      2.750
1950-07-26;--:--;      2.800
1950-07-27;--:--;      3.640
1950-07-28;--:--;      2.970
1950-07-29;--:--;      2.860
