# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6935385
# River:                 KANDER
# Station:               GASTERNAL (STALDI)
# Country:               CH
# Latitude (DD):       46.4493
# Longitude (DD):      7.713
# Catchment area (km²):      41.0
# Altitude (m ASL):        1520.637
# Next downstream station:      6935302
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-01 - 1982-12
# No. of years:          33
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 12053
# DATA
YYYY-MM-DD;hh:mm; Value
1950-01-01;--:--;      0.200
1950-01-02;--:--;      0.200
1950-01-03;--:--;      0.200
1950-01-04;--:--;      0.190
1950-01-05;--:--;      0.190
1950-01-06;--:--;      0.190
1950-01-07;--:--;      0.190
1950-01-08;--:--;      0.190
1950-01-09;--:--;      0.180
1950-01-10;--:--;      0.180
1950-01-11;--:--;      0.160
1950-01-12;--:--;      0.160
1950-01-13;--:--;      0.160
1950-01-14;--:--;      0.160
1950-01-15;--:--;      0.160
1950-01-16;--:--;      0.160
1950-01-17;--:--;      0.160
1950-01-18;--:--;      0.160
1950-01-19;--:--;      0.140
1950-01-20;--:--;      0.130
1950-01-21;--:--;      0.130
1950-01-22;--:--;      0.130
1950-01-23;--:--;      0.130
1950-01-24;--:--;      0.130
1950-01-25;--:--;      0.130
1950-01-26;--:--;      0.130
1950-01-27;--:--;      0.130
1950-01-28;--:--;      0.140
1950-01-29;--:--;      0.140
1950-01-30;--:--;      0.140
1950-01-31;--:--;      0.140
1950-02-01;--:--;      0.140
1950-02-02;--:--;      0.130
1950-02-03;--:--;      0.130
1950-02-04;--:--;      0.130
1950-02-05;--:--;      0.140
1950-02-06;--:--;      0.140
1950-02-07;--:--;      0.140
1950-02-08;--:--;      0.140
1950-02-09;--:--;      0.140
1950-02-10;--:--;      0.130
1950-02-11;--:--;      0.130
1950-02-12;--:--;      0.130
1950-02-13;--:--;      0.130
1950-02-14;--:--;      0.130
1950-02-15;--:--;      0.130
1950-02-16;--:--;      0.130
1950-02-17;--:--;      0.130
1950-02-18;--:--;      0.130
1950-02-19;--:--;      0.130
1950-02-20;--:--;      0.130
1950-02-21;--:--;      0.140
1950-02-22;--:--;      0.130
1950-02-23;--:--;      0.130
1950-02-24;--:--;      0.130
1950-02-25;--:--;      0.140
1950-02-26;--:--;      0.140
1950-02-27;--:--;      0.140
1950-02-28;--:--;      0.140
1950-03-01;--:--;      0.140
1950-03-02;--:--;      0.140
1950-03-03;--:--;      0.140
1950-03-04;--:--;      0.130
1950-03-05;--:--;      0.130
1950-03-06;--:--;      0.130
1950-03-07;--:--;      0.140
1950-03-08;--:--;      0.140
1950-03-09;--:--;      0.130
1950-03-10;--:--;      0.130
1950-03-11;--:--;      0.130
1950-03-12;--:--;      0.130
1950-03-13;--:--;      0.140
1950-03-14;--:--;      0.140
1950-03-15;--:--;      0.140
1950-03-16;--:--;      0.160
1950-03-17;--:--;      0.190
1950-03-18;--:--;      0.190
1950-03-19;--:--;      0.200
1950-03-20;--:--;      0.220
1950-03-21;--:--;      0.230
1950-03-22;--:--;      0.240
1950-03-23;--:--;      0.250
1950-03-24;--:--;      0.250
1950-03-25;--:--;      0.250
1950-03-26;--:--;      0.260
1950-03-27;--:--;      0.280
1950-03-28;--:--;      0.280
1950-03-29;--:--;      0.280
1950-03-30;--:--;      0.280
1950-03-31;--:--;      0.280
1950-04-01;--:--;      0.300
1950-04-02;--:--;      0.300
1950-04-03;--:--;      0.310
1950-04-04;--:--;      0.300
1950-04-05;--:--;      0.300
1950-04-06;--:--;      0.300
1950-04-07;--:--;      0.280
1950-04-08;--:--;      0.300
1950-04-09;--:--;      0.400
