# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6935570
# River:                 ENGELBERGER AA
# Station:               ENGELBERG
# Country:               CH
# Latitude (DD):       46.8166
# Longitude (DD):      8.3959
# Catchment area (km²):      85.0
# Altitude (m ASL):        1044.074
# Next downstream station:      6935310
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1974-01 - 1990-12
# No. of years:          17
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6209
# DATA
YYYY-MM-DD;hh:mm; Value
1974-01-01;--:--;      0.000
1974-01-02;--:--;   -999.000
1974-01-03;--:--;   -999.000
1974-01-04;--:--;   -999.000
1974-01-05;--:--;   -999.000
1974-01-06;--:--;   -999.000
1974-01-07;--:--;   -999.000
1974-01-08;--:--;   -999.000
1974-01-09;--:--;   -999.000
1974-01-10;--:--;   -999.000
1974-01-11;--:--;   -999.000
1974-01-12;--:--;   -999.000
1974-01-13;--:--;   -999.000
1974-01-14;--:--;   -999.000
1974-01-15;--:--;   -999.000
1974-01-16;--:--;   -999.000
1974-01-17;--:--;   -999.000
1974-01-18;--:--;   -999.000
1974-01-19;--:--;   -999.000
1974-01-20;--:--;   -999.000
1974-01-21;--:--;   -999.000
1974-01-22;--:--;   -999.000
1974-01-23;--:--;   -999.000
1974-01-24;--:--;   -999.000
1974-01-25;--:--;   -999.000
1974-01-26;--:--;   -999.000
1974-01-27;--:--;   -999.000
1974-01-28;--:--;   -999.000
1974-01-29;--:--;   -999.000
1974-01-30;--:--;   -999.000
1974-01-31;--:--;   -999.000
1974-02-01;--:--;   -999.000
1974-02-02;--:--;   -999.000
1974-02-03;--:--;   -999.000
1974-02-04;--:--;   -999.000
1974-02-05;--:--;   -999.000
1974-02-06;--:--;   -999.000
1974-02-07;--:--;   -999.000
1974-02-08;--:--;   -999.000
1974-02-09;--:--;   -999.000
1974-02-10;--:--;   -999.000
1974-02-11;--:--;   -999.000
1974-02-12;--:--;   -999.000
1974-02-13;--:--;   -999.000
1974-02-14;--:--;   -999.000
1974-02-15;--:--;   -999.000
1974-02-16;--:--;   -999.000
1974-02-17;--:--;   -999.000
1974-02-18;--:--;   -999.000
1974-02-19;--:--;   -999.000
1974-02-20;--:--;   -999.000
1974-02-21;--:--;   -999.000
1974-02-22;--:--;   -999.000
1974-02-23;--:--;   -999.000
1974-02-24;--:--;   -999.000
1974-02-25;--:--;   -999.000
1974-02-26;--:--;   -999.000
1974-02-27;--:--;   -999.000
1974-02-28;--:--;   -999.000
1974-03-01;--:--;      0.000
1974-03-02;--:--;      0.000
1974-03-03;--:--;      0.000
1974-03-04;--:--;      0.000
1974-03-05;--:--;      0.000
1974-03-06;--:--;      0.000
1974-03-07;--:--;      0.000
1974-03-08;--:--;      0.000
1974-03-09;--:--;      0.000
1974-03-10;--:--;      0.000
1974-03-11;--:--;      0.000
1974-03-12;--:--;      0.000
1974-03-13;--:--;      0.000
1974-03-14;--:--;      0.000
1974-03-15;--:--;      0.000
1974-03-16;--:--;      0.010
1974-03-17;--:--;      0.010
1974-03-18;--:--;      0.010
1974-03-19;--:--;      0.010
1974-03-20;--:--;      0.120
1974-03-21;--:--;      0.780
1974-03-22;--:--;      0.860
1974-03-23;--:--;      0.670
1974-03-24;--:--;      0.350
1974-03-25;--:--;      0.360
1974-03-26;--:--;      0.460
1974-03-27;--:--;      0.510
1974-03-28;--:--;      0.660
1974-03-29;--:--;      0.710
1974-03-30;--:--;      0.720
1974-03-31;--:--;      0.810
1974-04-01;--:--;      1.070
1974-04-02;--:--;      1.060
1974-04-03;--:--;      1.140
1974-04-04;--:--;      1.290
1974-04-05;--:--;      1.440
1974-04-06;--:--;      1.110
1974-04-07;--:--;      0.940
1974-04-08;--:--;      1.010
1974-04-09;--:--;      1.220
1974-04-10;--:--;      1.400
1974-04-11;--:--;      1.340
1974-04-12;--:--;      1.280
1974-04-13;--:--;      1.310
1974-04-14;--:--;      1.490
1974-04-15;--:--;      1.240
1974-04-16;--:--;      1.070
1974-04-17;--:--;      0.860
1974-04-18;--:--;      0.710
1974-04-19;--:--;      0.620
1974-04-20;--:--;      0.620
1974-04-21;--:--;      0.670
1974-04-22;--:--;      0.710
1974-04-23;--:--;      0.670
1974-04-24;--:--;      0.750
1974-04-25;--:--;      0.660
1974-04-26;--:--;      0.590
1974-04-27;--:--;      0.560
1974-04-28;--:--;      0.520
1974-04-29;--:--;      0.610
1974-04-30;--:--;      0.930
1974-05-01;--:--;      0.880
1974-05-02;--:--;      0.780
1974-05-03;--:--;      0.750
1974-05-04;--:--;      0.810
1974-05-05;--:--;      0.730
1974-05-06;--:--;      0.790
1974-05-07;--:--;      0.720
1974-05-08;--:--;      0.660
1974-05-09;--:--;      0.750
1974-05-10;--:--;      1.020
1974-05-11;--:--;      1.470
1974-05-12;--:--;      1.580
1974-05-13;--:--;      1.890
1974-05-14;--:--;      3.690
1974-05-15;--:--;      4.090
1974-05-16;--:--;      4.660
1974-05-17;--:--;      5.720
1974-05-18;--:--;      6.310
1974-05-19;--:--;      7.000
1974-05-20;--:--;      7.370
1974-05-21;--:--;      8.630
1974-05-22;--:--;     10.200
1974-05-23;--:--;      8.450
1974-05-24;--:--;      5.710
1974-05-25;--:--;      4.170
1974-05-26;--:--;      3.510
1974-05-27;--:--;      4.180
1974-05-28;--:--;      6.630
1974-05-29;--:--;      5.680
1974-05-30;--:--;      6.680
1974-05-31;--:--;      9.510
1974-06-01;--:--;     10.600
1974-06-02;--:--;      8.400
1974-06-03;--:--;      9.270
1974-06-04;--:--;     12.000
1974-06-05;--:--;     13.700
1974-06-06;--:--;     15.600
1974-06-07;--:--;     10.900
1974-06-08;--:--;      7.300
1974-06-09;--:--;      6.070
1974-06-10;--:--;      4.950
1974-06-11;--:--;      3.860
1974-06-12;--:--;      3.540
1974-06-13;--:--;      3.020
1974-06-14;--:--;      3.160
1974-06-15;--:--;      4.340
1974-06-16;--:--;      5.220
1974-06-17;--:--;      6.220
1974-06-18;--:--;      8.720
1974-06-19;--:--;      7.510
1974-06-20;--:--;      7.240
1974-06-21;--:--;      7.700
1974-06-22;--:--;      9.130
1974-06-23;--:--;     10.900
1974-06-24;--:--;     12.500
1974-06-25;--:--;      9.400
1974-06-26;--:--;      9.060
1974-06-27;--:--;      9.840
1974-06-28;--:--;     11.900
1974-06-29;--:--;     17.800
1974-06-30;--:--;     17.600
1974-07-01;--:--;     14.500
1974-07-02;--:--;     16.400
1974-07-03;--:--;     14.700
1974-07-04;--:--;     12.200
1974-07-05;--:--;     11.400
1974-07-06;--:--;     11.800
1974-07-07;--:--;     14.000
1974-07-08;--:--;     11.200
1974-07-09;--:--;     11.000
1974-07-10;--:--;     13.600
1974-07-11;--:--;     14.500
1974-07-12;--:--;     15.600
1974-07-13;--:--;     15.300
1974-07-14;--:--;     17.400
1974-07-15;--:--;     15.700
1974-07-16;--:--;     13.100
1974-07-17;--:--;     16.500
1974-07-18;--:--;     15.900
1974-07-19;--:--;     12.400
1974-07-20;--:--;      8.970
1974-07-21;--:--;     11.800
1974-07-22;--:--;     10.700
1974-07-23;--:--;      9.020
1974-07-24;--:--;      9.080
1974-07-25;--:--;     17.000
1974-07-26;--:--;     10.900
1974-07-27;--:--;      9.160
1974-07-28;--:--;      8.960
1974-07-29;--:--;      9.200
1974-07-30;--:--;      9.950
1974-07-31;--:--;     11.300
1974-08-01;--:--;     11.800
