# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6939110
# River:                 VENOGE
# Station:               LUSSERY
# Country:               CH
# Latitude (DD):       46.6259
# Longitude (DD):      6.5258
# Catchment area (km²):      165.0
# Altitude (m ASL):        485.178
# Next downstream station:      6939050
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1948-01 - 1978-12
# No. of years:          31
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 11323
# DATA
YYYY-MM-DD;hh:mm; Value
1948-01-01;--:--;      5.940
1948-01-02;--:--;      6.240
1948-01-03;--:--;     12.800
1948-01-04;--:--;     11.700
1948-01-05;--:--;      9.370
1948-01-06;--:--;      9.000
1948-01-07;--:--;     16.600
1948-01-08;--:--;     19.400
1948-01-09;--:--;     12.800
1948-01-10;--:--;     10.200
1948-01-11;--:--;      8.190
1948-01-12;--:--;      6.900
1948-01-13;--:--;      8.100
1948-01-14;--:--;      9.740
1948-01-15;--:--;     14.700
1948-01-16;--:--;     12.300
1948-01-17;--:--;      8.640
1948-01-18;--:--;      6.480
1948-01-19;--:--;      5.720
1948-01-20;--:--;      5.060
1948-01-21;--:--;      4.420
1948-01-22;--:--;      4.020
1948-01-23;--:--;      3.700
1948-01-24;--:--;      3.700
1948-01-25;--:--;      3.450
1948-01-26;--:--;      3.450
1948-01-27;--:--;      4.150
1948-01-28;--:--;      4.910
1948-01-29;--:--;      6.470
1948-01-30;--:--;     10.900
1948-01-31;--:--;     17.800
1948-02-01;--:--;     22.100
1948-02-02;--:--;     14.800
1948-02-03;--:--;     11.200
1948-02-04;--:--;     18.900
1948-02-05;--:--;     16.800
1948-02-06;--:--;     11.300
1948-02-07;--:--;      8.550
1948-02-08;--:--;      7.300
1948-02-09;--:--;      8.010
1948-02-10;--:--;      7.830
1948-02-11;--:--;      6.950
1948-02-12;--:--;      6.460
1948-02-13;--:--;      5.680
1948-02-14;--:--;      5.150
1948-02-15;--:--;      4.860
1948-02-16;--:--;      4.710
1948-02-17;--:--;      4.430
1948-02-18;--:--;      3.950
1948-02-19;--:--;      3.640
1948-02-20;--:--;      3.320
1948-02-21;--:--;      3.090
1948-02-22;--:--;      2.910
1948-02-23;--:--;      2.690
1948-02-24;--:--;      2.470
1948-02-25;--:--;      2.310
1948-02-26;--:--;      2.250
1948-02-27;--:--;      2.150
1948-02-28;--:--;      2.100
1948-02-29;--:--;      2.060
1948-03-01;--:--;      2.010
1948-03-02;--:--;      1.960
1948-03-03;--:--;      1.910
1948-03-04;--:--;      1.910
1948-03-05;--:--;      1.910
1948-03-06;--:--;      1.910
1948-03-07;--:--;      1.960
1948-03-08;--:--;      2.010
1948-03-09;--:--;      2.100
1948-03-10;--:--;      3.380
1948-03-11;--:--;      5.220
1948-03-12;--:--;      4.090
1948-03-13;--:--;      3.320
1948-03-14;--:--;      2.860
1948-03-15;--:--;      2.690
1948-03-16;--:--;      2.580
1948-03-17;--:--;      4.570
1948-03-18;--:--;      5.990
1948-03-19;--:--;      4.790
1948-03-20;--:--;      3.150
1948-03-21;--:--;      2.740
1948-03-22;--:--;      2.860
1948-03-23;--:--;      2.860
1948-03-24;--:--;      2.200
1948-03-25;--:--;      1.910
1948-03-26;--:--;      1.680
1948-03-27;--:--;      1.630
1948-03-28;--:--;      1.630
1948-03-29;--:--;      1.540
1948-03-30;--:--;      1.460
1948-03-31;--:--;      1.720
1948-04-01;--:--;      2.420
1948-04-02;--:--;      2.470
1948-04-03;--:--;      2.630
1948-04-04;--:--;      2.860
1948-04-05;--:--;      2.910
1948-04-06;--:--;      4.860
1948-04-07;--:--;      3.640
1948-04-08;--:--;      3.030
1948-04-09;--:--;      3.320
1948-04-10;--:--;      3.150
1948-04-11;--:--;      2.910
1948-04-12;--:--;      2.860
1948-04-13;--:--;      3.090
1948-04-14;--:--;      3.200
1948-04-15;--:--;      2.910
1948-04-16;--:--;      2.740
1948-04-17;--:--;      2.420
1948-04-18;--:--;      2.360
1948-04-19;--:--;      2.420
1948-04-20;--:--;      3.450
1948-04-21;--:--;      3.090
1948-04-22;--:--;      2.690
1948-04-23;--:--;      2.420
1948-04-24;--:--;      3.890
1948-04-25;--:--;      3.320
1948-04-26;--:--;      2.630
1948-04-27;--:--;      2.150
1948-04-28;--:--;      1.860
1948-04-29;--:--;      1.630
1948-04-30;--:--;      1.960
1948-05-01;--:--;      3.090
1948-05-02;--:--;      2.970
1948-05-03;--:--;      4.160
1948-05-04;--:--;      4.360
1948-05-05;--:--;      2.970
1948-05-06;--:--;      2.360
1948-05-07;--:--;      1.960
1948-05-08;--:--;      1.720
1948-05-09;--:--;      1.630
1948-05-10;--:--;      1.770
1948-05-11;--:--;      4.480
1948-05-12;--:--;      3.200
1948-05-13;--:--;      2.360
1948-05-14;--:--;      1.860
1948-05-15;--:--;      1.500
1948-05-16;--:--;      1.320
1948-05-17;--:--;      1.460
1948-05-18;--:--;      1.500
1948-05-19;--:--;      1.240
1948-05-20;--:--;      1.100
1948-05-21;--:--;      0.960
1948-05-22;--:--;      0.870
1948-05-23;--:--;      0.870
1948-05-24;--:--;      0.840
1948-05-25;--:--;      0.810
1948-05-26;--:--;      0.810
1948-05-27;--:--;      0.840
1948-05-28;--:--;      0.900
1948-05-29;--:--;      0.870
1948-05-30;--:--;      1.040
1948-05-31;--:--;      1.180
1948-06-01;--:--;      1.140
1948-06-02;--:--;      1.070
1948-06-03;--:--;      1.040
1948-06-04;--:--;      1.280
1948-06-05;--:--;      3.150
1948-06-06;--:--;      1.860
1948-06-07;--:--;      1.320
1948-06-08;--:--;      1.040
1948-06-09;--:--;      0.840
1948-06-10;--:--;      0.730
1948-06-11;--:--;      0.640
1948-06-12;--:--;      0.590
1948-06-13;--:--;      0.570
1948-06-14;--:--;      0.570
1948-06-15;--:--;      0.640
1948-06-16;--:--;      1.100
1948-06-17;--:--;      1.070
1948-06-18;--:--;      1.100
1948-06-19;--:--;      1.240
1948-06-20;--:--;      2.360
1948-06-21;--:--;      5.080
1948-06-22;--:--;      2.690
1948-06-23;--:--;      1.910
1948-06-24;--:--;      2.470
1948-06-25;--:--;      2.010
1948-06-26;--:--;      1.500
1948-06-27;--:--;      1.210
1948-06-28;--:--;      1.070
1948-06-29;--:--;      0.900
1948-06-30;--:--;      1.420
1948-07-01;--:--;      3.950
1948-07-02;--:--;      5.080
1948-07-03;--:--;      3.260
1948-07-04;--:--;      2.100
1948-07-05;--:--;      1.630
1948-07-06;--:--;      2.740
1948-07-07;--:--;      5.520
1948-07-08;--:--;      3.090
1948-07-09;--:--;      2.310
1948-07-10;--:--;      2.010
1948-07-11;--:--;      1.500
1948-07-12;--:--;      1.280
1948-07-13;--:--;      1.210
1948-07-14;--:--;      1.460
1948-07-15;--:--;      9.010
1948-07-16;--:--;      7.430
1948-07-17;--:--;      4.880
1948-07-18;--:--;      3.160
1948-07-19;--:--;      3.960
1948-07-20;--:--;      3.150
1948-07-21;--:--;      3.260
1948-07-22;--:--;      2.330
1948-07-23;--:--;      1.850
1948-07-24;--:--;      1.670
1948-07-25;--:--;      1.760
1948-07-26;--:--;      1.540
1948-07-27;--:--;      1.310
1948-07-28;--:--;      2.180
1948-07-29;--:--;      4.810
1948-07-30;--:--;      2.800
1948-07-31;--:--;      2.050
1948-08-01;--:--;      1.630
1948-08-02;--:--;      2.000
1948-08-03;--:--;      1.920
1948-08-04;--:--;      2.140
1948-08-05;--:--;      2.710
1948-08-06;--:--;      2.160
1948-08-07;--:--;      1.870
1948-08-08;--:--;      2.070
1948-08-09;--:--;      4.000
1948-08-10;--:--;      2.960
1948-08-11;--:--;      2.570
1948-08-12;--:--;      2.660
1948-08-13;--:--;      9.430
1948-08-14;--:--;     13.600
1948-08-15;--:--;     10.900
1948-08-16;--:--;      6.480
1948-08-17;--:--;      4.400
1948-08-18;--:--;      3.520
1948-08-19;--:--;      4.660
1948-08-20;--:--;      8.200
1948-08-21;--:--;      4.400
1948-08-22;--:--;      3.350
1948-08-23;--:--;      2.740
1948-08-24;--:--;      2.420
1948-08-25;--:--;      2.190
1948-08-26;--:--;      1.980
1948-08-27;--:--;      1.780
1948-08-28;--:--;      1.660
1948-08-29;--:--;      1.590
1948-08-30;--:--;      1.550
1948-08-31;--:--;      1.520
1948-09-01;--:--;      1.400
1948-09-02;--:--;      1.330
1948-09-03;--:--;      1.400
1948-09-04;--:--;      2.060
1948-09-05;--:--;      4.780
1948-09-06;--:--;      3.140
1948-09-07;--:--;      2.460
1948-09-08;--:--;      1.940
1948-09-09;--:--;      1.660
1948-09-10;--:--;      1.480
1948-09-11;--:--;      1.400
1948-09-12;--:--;      5.500
1948-09-13;--:--;      5.600
1948-09-14;--:--;      4.090
1948-09-15;--:--;      3.300
1948-09-16;--:--;      2.650
1948-09-17;--:--;      2.240
1948-09-18;--:--;      1.940
1948-09-19;--:--;      1.780
1948-09-20;--:--;      1.700
1948-09-21;--:--;      1.590
1948-09-22;--:--;      1.440
1948-09-23;--:--;      1.370
1948-09-24;--:--;      1.300
1948-09-25;--:--;      1.230
1948-09-26;--:--;      1.230
1948-09-27;--:--;      1.160
1948-09-28;--:--;      1.130
1948-09-29;--:--;      1.070
1948-09-30;--:--;      1.000
1948-10-01;--:--;      0.910
1948-10-02;--:--;      0.880
1948-10-03;--:--;      0.880
1948-10-04;--:--;      0.880
1948-10-05;--:--;      0.850
1948-10-06;--:--;      0.850
1948-10-07;--:--;      0.820
