# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6939650
# River:                 BIED DU LOCLE
# Station:               LA RANCONNIERE
# Country:               CH
# Latitude (DD):       47.06
# Longitude (DD):      6.71
# Catchment area (km²):      37.9
# Altitude (m ASL):        818.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-01 - 1984-12
# No. of years:          21
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7671
# DATA
YYYY-MM-DD;hh:mm; Value
1964-01-01;--:--;      0.100
1964-01-02;--:--;      0.100
1964-01-03;--:--;      0.109
1964-01-04;--:--;      0.100
1964-01-05;--:--;      0.060
1964-01-06;--:--;      0.120
1964-01-07;--:--;      0.120
1964-01-08;--:--;      0.139
1964-01-09;--:--;      0.100
1964-01-10;--:--;      0.089
1964-01-11;--:--;      0.030
1964-01-12;--:--;      0.089
1964-01-13;--:--;      0.060
1964-01-14;--:--;      0.109
1964-01-15;--:--;      0.100
1964-01-16;--:--;      0.089
1964-01-17;--:--;      0.109
1964-01-18;--:--;      0.089
1964-01-19;--:--;      0.060
1964-01-20;--:--;      0.060
1964-01-21;--:--;      0.080
1964-01-22;--:--;      0.050
1964-01-23;--:--;      0.080
1964-01-24;--:--;      0.089
1964-01-25;--:--;      0.069
1964-01-26;--:--;      0.020
1964-01-27;--:--;      0.089
1964-01-28;--:--;      0.069
1964-01-29;--:--;      0.050
1964-01-30;--:--;      0.100
1964-01-31;--:--;      0.109
1964-02-01;--:--;      0.129
1964-02-02;--:--;      0.530
1964-02-03;--:--;      0.289
1964-02-04;--:--;      0.190
1964-02-05;--:--;      0.109
1964-02-06;--:--;      0.089
1964-02-07;--:--;      0.089
1964-02-08;--:--;      0.100
1964-02-09;--:--;      0.050
1964-02-10;--:--;      0.089
1964-02-11;--:--;      0.089
1964-02-12;--:--;      0.089
1964-02-13;--:--;      0.069
1964-02-14;--:--;      0.120
1964-02-15;--:--;      0.040
1964-02-16;--:--;      0.100
1964-02-17;--:--;      0.600
1964-02-18;--:--;      0.240
1964-02-19;--:--;      0.259
1964-02-20;--:--;      0.129
1964-02-21;--:--;      0.150
1964-02-22;--:--;      0.139
1964-02-23;--:--;      0.470
1964-02-24;--:--;      0.519
1964-02-25;--:--;      0.209
1964-02-26;--:--;      0.240
1964-02-27;--:--;      0.429
1964-02-28;--:--;      0.279
1964-02-29;--:--;      0.000
1964-03-01;--:--;      0.000
1964-03-02;--:--;      0.160
1964-03-03;--:--;      0.169
1964-03-04;--:--;      0.150
1964-03-05;--:--;      0.120
1964-03-06;--:--;      0.120
1964-03-07;--:--;      0.100
1964-03-08;--:--;      0.080
1964-03-09;--:--;      0.129
1964-03-10;--:--;      0.089
1964-03-11;--:--;      0.120
1964-03-12;--:--;      0.109
1964-03-13;--:--;      0.510
1964-03-14;--:--;      0.209
1964-03-15;--:--;      0.429
1964-03-16;--:--;      0.559
1964-03-17;--:--;      0.279
1964-03-18;--:--;      0.279
1964-03-19;--:--;      0.609
1964-03-20;--:--;      0.789
1964-03-21;--:--;      0.629
1964-03-22;--:--;      0.439
1964-03-23;--:--;      0.359
1964-03-24;--:--;      0.369
1964-03-25;--:--;      0.510
1964-03-26;--:--;      0.949
1964-03-27;--:--;      0.719
1964-03-28;--:--;      0.470
1964-03-29;--:--;      0.349
1964-03-30;--:--;      0.289
1964-03-31;--:--;      0.329
1964-04-01;--:--;      0.289
1964-04-02;--:--;      0.279
1964-04-03;--:--;      0.369
1964-04-04;--:--;      0.329
1964-04-05;--:--;      0.219
1964-04-06;--:--;      0.230
1964-04-07;--:--;      0.169
1964-04-08;--:--;      0.230
1964-04-09;--:--;      0.179
1964-04-10;--:--;      0.190
1964-04-11;--:--;      0.150
1964-04-12;--:--;      0.169
1964-04-13;--:--;      0.150
1964-04-14;--:--;      0.190
1964-04-15;--:--;      0.150
1964-04-16;--:--;      0.150
1964-04-17;--:--;      0.150
1964-04-18;--:--;      0.100
1964-04-19;--:--;      0.200
1964-04-20;--:--;      0.329
1964-04-21;--:--;      0.230
1964-04-22;--:--;      0.129
1964-04-23;--:--;      0.169
1964-04-24;--:--;      0.870
1964-04-25;--:--;      0.480
1964-04-26;--:--;      0.339
1964-04-27;--:--;      0.249
1964-04-28;--:--;      0.219
1964-04-29;--:--;      0.200
1964-04-30;--:--;      0.219
1964-05-01;--:--;      0.190
1964-05-02;--:--;      0.160
1964-05-03;--:--;      0.139
1964-05-04;--:--;      0.349
1964-05-05;--:--;      1.420
1964-05-06;--:--;      0.550
1964-05-07;--:--;      0.380
1964-05-08;--:--;      0.400
1964-05-09;--:--;      0.439
1964-05-10;--:--;      0.329
1964-05-11;--:--;      0.240
1964-05-12;--:--;      0.249
1964-05-13;--:--;      0.230
1964-05-14;--:--;      0.219
1964-05-15;--:--;      0.219
1964-05-16;--:--;      0.169
1964-05-17;--:--;      0.160
1964-05-18;--:--;      0.109
1964-05-19;--:--;      0.190
1964-05-20;--:--;      0.409
1964-05-21;--:--;      0.200
1964-05-22;--:--;      0.169
1964-05-23;--:--;      0.160
1964-05-24;--:--;      0.129
1964-05-25;--:--;      0.169
1964-05-26;--:--;      0.150
1964-05-27;--:--;      0.089
1964-05-28;--:--;      0.129
1964-05-29;--:--;      0.160
1964-05-30;--:--;      0.120
1964-05-31;--:--;      0.089
1964-06-01;--:--;      0.139
1964-06-02;--:--;      0.179
1964-06-03;--:--;      0.109
1964-06-04;--:--;      0.109
1964-06-05;--:--;      0.169
1964-06-06;--:--;      0.139
1964-06-07;--:--;      0.129
1964-06-08;--:--;      0.100
1964-06-09;--:--;      0.139
1964-06-10;--:--;      0.109
1964-06-11;--:--;      0.069
1964-06-12;--:--;      0.109
1964-06-13;--:--;      0.190
1964-06-14;--:--;      0.249
1964-06-15;--:--;      0.109
1964-06-16;--:--;      0.100
1964-06-17;--:--;      0.109
1964-06-18;--:--;      0.169
1964-06-19;--:--;      0.179
1964-06-20;--:--;      0.100
1964-06-21;--:--;      0.080
1964-06-22;--:--;      0.120
1964-06-23;--:--;      0.080
1964-06-24;--:--;      0.100
1964-06-25;--:--;      0.100
1964-06-26;--:--;      0.100
1964-06-27;--:--;      0.139
1964-06-28;--:--;      0.060
1964-06-29;--:--;      0.069
1964-06-30;--:--;      0.129
1964-07-01;--:--;      0.089
1964-07-02;--:--;      0.080
1964-07-03;--:--;      0.129
1964-07-04;--:--;      0.089
1964-07-05;--:--;      0.050
1964-07-06;--:--;      0.060
1964-07-07;--:--;      0.060
1964-07-08;--:--;      0.069
1964-07-09;--:--;      0.080
1964-07-10;--:--;      0.089
1964-07-11;--:--;      0.100
1964-07-12;--:--;   -999.000
1964-07-13;--:--;      0.109
1964-07-14;--:--;      0.040
1964-07-15;--:--;      0.040
1964-07-16;--:--;      0.080
1964-07-17;--:--;      0.030
1964-07-18;--:--;      0.080
1964-07-19;--:--;      0.040
1964-07-20;--:--;      0.060
1964-07-21;--:--;      0.050
1964-07-22;--:--;      0.069
1964-07-23;--:--;      0.060
1964-07-24;--:--;      0.050
1964-07-25;--:--;      0.050
1964-07-26;--:--;      0.060
1964-07-27;--:--;      0.069
1964-07-28;--:--;      0.069
1964-07-29;--:--;      0.060
1964-07-30;--:--;      0.050
1964-07-31;--:--;      0.040
1964-08-01;--:--;      0.060
1964-08-02;--:--;      0.069
1964-08-03;--:--;      0.050
1964-08-04;--:--;      0.060
1964-08-05;--:--;      0.060
1964-08-06;--:--;      0.050
1964-08-07;--:--;      0.069
1964-08-08;--:--;      0.089
1964-08-09;--:--;      0.050
1964-08-10;--:--;      0.129
1964-08-11;--:--;      0.120
1964-08-12;--:--;      0.030
1964-08-13;--:--;      0.089
1964-08-14;--:--;      0.089
1964-08-15;--:--;      0.060
1964-08-16;--:--;   -999.000
1964-08-17;--:--;      0.080
1964-08-18;--:--;      0.109
1964-08-19;--:--;      0.080
1964-08-20;--:--;      0.060
1964-08-21;--:--;      0.109
1964-08-22;--:--;      0.179
1964-08-23;--:--;      0.020
1964-08-24;--:--;      0.100
1964-08-25;--:--;      0.010
1964-08-26;--:--;      0.069
1964-08-27;--:--;      0.050
1964-08-28;--:--;      0.060
1964-08-29;--:--;      0.109
1964-08-30;--:--;      0.050
1964-08-31;--:--;      0.060
1964-09-01;--:--;      0.040
1964-09-02;--:--;      0.050
1964-09-03;--:--;      0.069
1964-09-04;--:--;      0.089
1964-09-05;--:--;      0.030
1964-09-06;--:--;      0.179
1964-09-07;--:--;      0.139
1964-09-08;--:--;      0.060
1964-09-09;--:--;      0.060
1964-09-10;--:--;      0.080
1964-09-11;--:--;      0.060
1964-09-12;--:--;      0.040
1964-09-13;--:--;      0.020
1964-09-14;--:--;      0.069
1964-09-15;--:--;      0.060
1964-09-16;--:--;      0.150
1964-09-17;--:--;      0.150
1964-09-18;--:--;      0.050
1964-09-19;--:--;      0.060
1964-09-20;--:--;      0.060
1964-09-21;--:--;      0.120
1964-09-22;--:--;      0.060
1964-09-23;--:--;      0.080
1964-09-24;--:--;      0.060
1964-09-25;--:--;      0.080
1964-09-26;--:--;      0.030
1964-09-27;--:--;      0.069
1964-09-28;--:--;      0.080
1964-09-29;--:--;      0.060
1964-09-30;--:--;      0.040
1964-10-01;--:--;      0.080
1964-10-02;--:--;      0.069
1964-10-03;--:--;      0.089
1964-10-04;--:--;      0.010
1964-10-05;--:--;      0.089
1964-10-06;--:--;      0.040
1964-10-07;--:--;      0.060
1964-10-08;--:--;      0.569
1964-10-09;--:--;      0.390
1964-10-10;--:--;      0.400
1964-10-11;--:--;      0.470
1964-10-12;--:--;      0.160
1964-10-13;--:--;      0.160
1964-10-14;--:--;      0.109
1964-10-15;--:--;      0.169
1964-10-16;--:--;      0.329
1964-10-17;--:--;      0.300
1964-10-18;--:--;      0.449
1964-10-19;--:--;      0.190
1964-10-20;--:--;      0.169
1964-10-21;--:--;      0.109
1964-10-22;--:--;      0.139
1964-10-23;--:--;      0.160
1964-10-24;--:--;      0.160
1964-10-25;--:--;      0.100
1964-10-26;--:--;      0.139
1964-10-27;--:--;      0.139
1964-10-28;--:--;      0.109
1964-10-29;--:--;      0.100
1964-10-30;--:--;      0.069
1964-10-31;--:--;      0.100
1964-11-01;--:--;      0.069
1964-11-02;--:--;      0.089
1964-11-03;--:--;      0.100
1964-11-04;--:--;      0.100
1964-11-05;--:--;      0.050
1964-11-06;--:--;      0.100
1964-11-07;--:--;      0.060
1964-11-08;--:--;      0.089
1964-11-09;--:--;      0.069
1964-11-10;--:--;      0.050
1964-11-11;--:--;      0.080
1964-11-12;--:--;      0.100
1964-11-13;--:--;      0.150
1964-11-14;--:--;      0.279
1964-11-15;--:--;      0.109
1964-11-16;--:--;      0.190
1964-11-17;--:--;      0.530
1964-11-18;--:--;      0.569
1964-11-19;--:--;      0.400
1964-11-20;--:--;      0.219
1964-11-21;--:--;      0.240
