# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6943180
# River:                 CLEMIGIA
# Station:               SCARLTAL
# Country:               CH
# Latitude (DD):       46.7301
# Longitude (DD):      10.3052
# Catchment area (km²):      89.0
# Altitude (m ASL):        1702.127
# Next downstream station:      6943100
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972-01 - 1981-12
# No. of years:          10
# Last update:           2018-05-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3653
# DATA
YYYY-MM-DD;hh:mm; Value
1972-01-01;--:--;      0.670
1972-01-02;--:--;      0.670
1972-01-03;--:--;      0.670
1972-01-04;--:--;      0.670
1972-01-05;--:--;      0.670
1972-01-06;--:--;      0.710
1972-01-07;--:--;      0.750
1972-01-08;--:--;      0.750
1972-01-09;--:--;      0.750
1972-01-10;--:--;      0.750
1972-01-11;--:--;      0.750
1972-01-12;--:--;      0.750
1972-01-13;--:--;      0.710
1972-01-14;--:--;      0.710
1972-01-15;--:--;      0.710
1972-01-16;--:--;      0.710
1972-01-17;--:--;      0.710
1972-01-18;--:--;      0.710
1972-01-19;--:--;      0.670
1972-01-20;--:--;      0.600
1972-01-21;--:--;      0.600
1972-01-22;--:--;      0.600
1972-01-23;--:--;      0.600
1972-01-24;--:--;      0.520
1972-01-25;--:--;      0.520
1972-01-26;--:--;      0.560
1972-01-27;--:--;      0.520
1972-01-28;--:--;      0.520
1972-01-29;--:--;      0.520
1972-01-30;--:--;      0.560
1972-01-31;--:--;      0.520
1972-02-01;--:--;      0.520
1972-02-02;--:--;      0.520
1972-02-03;--:--;      0.520
1972-02-04;--:--;      0.520
1972-02-05;--:--;      0.520
1972-02-06;--:--;      0.520
1972-02-07;--:--;      0.520
1972-02-08;--:--;      0.520
1972-02-09;--:--;      0.520
1972-02-10;--:--;      0.520
1972-02-11;--:--;      0.520
1972-02-12;--:--;      0.520
1972-02-13;--:--;      0.520
1972-02-14;--:--;      0.520
1972-02-15;--:--;      0.490
1972-02-16;--:--;      0.520
1972-02-17;--:--;      0.520
1972-02-18;--:--;      0.520
1972-02-19;--:--;      0.520
1972-02-20;--:--;      0.520
1972-02-21;--:--;      0.520
1972-02-22;--:--;      0.520
1972-02-23;--:--;      0.490
1972-02-24;--:--;      0.520
1972-02-25;--:--;      0.520
1972-02-26;--:--;      0.520
1972-02-27;--:--;      0.520
1972-02-28;--:--;      0.520
1972-02-29;--:--;      0.520
1972-03-01;--:--;      0.520
1972-03-02;--:--;      0.520
1972-03-03;--:--;      0.490
1972-03-04;--:--;      0.490
1972-03-05;--:--;      0.490
1972-03-06;--:--;      0.490
1972-03-07;--:--;      0.490
1972-03-08;--:--;      0.490
1972-03-09;--:--;      0.490
1972-03-10;--:--;      0.450
1972-03-11;--:--;      0.560
1972-03-12;--:--;      0.520
1972-03-13;--:--;      0.520
1972-03-14;--:--;      0.520
1972-03-15;--:--;      0.520
1972-03-16;--:--;      0.520
1972-03-17;--:--;      0.560
1972-03-18;--:--;      0.520
1972-03-19;--:--;      0.520
1972-03-20;--:--;      0.600
1972-03-21;--:--;      0.600
1972-03-22;--:--;      0.640
1972-03-23;--:--;      0.670
1972-03-24;--:--;      0.750
1972-03-25;--:--;      0.750
1972-03-26;--:--;      0.750
1972-03-27;--:--;      0.750
1972-03-28;--:--;      0.670
1972-03-29;--:--;      0.640
1972-03-30;--:--;      0.670
1972-03-31;--:--;      0.670
1972-04-01;--:--;      0.710
1972-04-02;--:--;      0.820
1972-04-03;--:--;      0.930
1972-04-04;--:--;      1.030
1972-04-05;--:--;      1.030
1972-04-06;--:--;      0.820
1972-04-07;--:--;      0.870
1972-04-08;--:--;      0.870
1972-04-09;--:--;      0.870
1972-04-10;--:--;      0.820
1972-04-11;--:--;      0.820
1972-04-12;--:--;      0.820
1972-04-13;--:--;      0.780
1972-04-14;--:--;      0.780
