# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6335031
# River:                 RUHR
# Station:               VILLIGST
# Country:               DE
# Latitude (DD):       51.435987
# Longitude (DD):      7.581097
# Catchment area (km²):      1988.0
# Altitude (m ASL):        105.83
# Next downstream station:      6335030
# Remarks:               
# Owner of original data: Germany - Federal Institute of Hydrology (BfG), please note that values not always have yearbook quality
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-10 - 2021-10
# No. of years:          72
# Last update:           2023-08-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 25935
# DATA
YYYY-MM-DD;hh:mm; Value
1950-10-30;--:--;     38.534
1950-10-31;--:--;     36.149
1950-11-01;--:--;     11.200
1950-11-02;--:--;     12.340
1950-11-03;--:--;     20.650
1950-11-04;--:--;     29.790
1950-11-05;--:--;     24.310
1950-11-06;--:--;     24.300
1950-11-07;--:--;     22.440
1950-11-08;--:--;     21.770
1950-11-09;--:--;     21.440
1950-11-10;--:--;     20.640
1950-11-11;--:--;     21.820
1950-11-12;--:--;     25.920
1950-11-13;--:--;     32.390
1950-11-14;--:--;     48.270
1950-11-15;--:--;     62.610
1950-11-16;--:--;     62.620
1950-11-17;--:--;     67.310
1950-11-18;--:--;     58.500
1950-11-19;--:--;     53.080
1950-11-20;--:--;     50.570
1950-11-21;--:--;     44.500
1950-11-22;--:--;     40.530
1950-11-23;--:--;     37.730
1950-11-24;--:--;     39.280
1950-11-25;--:--;     39.030
1950-11-26;--:--;     37.490
1950-11-27;--:--;     34.950
1950-11-28;--:--;     34.080
1950-11-29;--:--;     38.490
1950-11-30;--:--;     51.330
1950-12-01;--:--;     55.420
1950-12-02;--:--;     67.080
1950-12-03;--:--;     70.530
1950-12-04;--:--;     72.040
1950-12-05;--:--;     61.210
1950-12-06;--:--;     51.060
1950-12-07;--:--;     44.610
1950-12-08;--:--;     37.350
