# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6335620
# River:                 ELZ
# Station:               MOSBACH
# Country:               DE
# Latitude (DD):       49.345874
# Longitude (DD):      9.128615
# Catchment area (km²):      156.0
# Altitude (m ASL):        140.67
# Next downstream station:      6335621
# Remarks:               
# Owner of original data: Germany - Federal Institute of Hydrology (BfG), please note that values not always have yearbook quality
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1980-11 - 2021-12
# No. of years:          42
# Last update:           2023-08-04
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 15036
# DATA
YYYY-MM-DD;hh:mm; Value
1980-11-01;--:--;      0.637
1980-11-02;--:--;      0.571
1980-11-03;--:--;      0.466
1980-11-04;--:--;      0.385
1980-11-05;--:--;      0.402
1980-11-06;--:--;      0.393
1980-11-07;--:--;      0.457
1980-11-08;--:--;      0.547
1980-11-09;--:--;      0.562
1980-11-10;--:--;      0.542
1980-11-11;--:--;      0.542
1980-11-12;--:--;      0.511
1980-11-13;--:--;      0.500
1980-11-14;--:--;      0.490
1980-11-15;--:--;      0.986
1980-11-16;--:--;      4.160
1980-11-17;--:--;      3.190
1980-11-18;--:--;      3.100
1980-11-19;--:--;      2.740
1980-11-20;--:--;      2.180
1980-11-21;--:--;      1.890
1980-11-22;--:--;      1.620
1980-11-23;--:--;      1.430
1980-11-24;--:--;      1.190
1980-11-25;--:--;      1.140
1980-11-26;--:--;      1.230
1980-11-27;--:--;      1.070
1980-11-28;--:--;      1.040
1980-11-29;--:--;      1.000
1980-11-30;--:--;      0.897
1980-12-01;--:--;      0.819
1980-12-02;--:--;      0.817
1980-12-03;--:--;      0.908
1980-12-04;--:--;      0.884
1980-12-05;--:--;      0.883
1980-12-06;--:--;      2.130
1980-12-07;--:--;      1.770
1980-12-08;--:--;      1.250
1980-12-09;--:--;      1.110
1980-12-10;--:--;      1.020
1980-12-11;--:--;      1.000
1980-12-12;--:--;      1.030
1980-12-13;--:--;      1.240
1980-12-14;--:--;     10.300
1980-12-15;--:--;     19.400
1980-12-16;--:--;      8.560
1980-12-17;--:--;      5.400
1980-12-18;--:--;      4.370
1980-12-19;--:--;      3.690
1980-12-20;--:--;      3.270
1980-12-21;--:--;      3.580
1980-12-22;--:--;      3.560
1980-12-23;--:--;      3.750
1980-12-24;--:--;      4.250
1980-12-25;--:--;      3.880
1980-12-26;--:--;      3.980
1980-12-27;--:--;      3.510
1980-12-28;--:--;      2.960
1980-12-29;--:--;      2.540
1980-12-30;--:--;      2.310
1980-12-31;--:--;      2.190
1981-01-01;--:--;      2.310
1981-01-02;--:--;      2.880
1981-01-03;--:--;     31.200
1981-01-04;--:--;     21.300
1981-01-05;--:--;      9.490
1981-01-06;--:--;      6.960
1981-01-07;--:--;      5.160
1981-01-08;--:--;      4.100
1981-01-09;--:--;      3.580
1981-01-10;--:--;      3.370
1981-01-11;--:--;      3.010
1981-01-12;--:--;      2.700
1981-01-13;--:--;      2.590
1981-01-14;--:--;      2.330
1981-01-15;--:--;      3.040
1981-01-16;--:--;      2.620
1981-01-17;--:--;      3.730
1981-01-18;--:--;      6.440
1981-01-19;--:--;      5.680
1981-01-20;--:--;      5.710
1981-01-21;--:--;      4.370
1981-01-22;--:--;      3.720
1981-01-23;--:--;      3.250
1981-01-24;--:--;      2.960
1981-01-25;--:--;      2.720
1981-01-26;--:--;      2.490
1981-01-27;--:--;      2.210
1981-01-28;--:--;      2.050
1981-01-29;--:--;      1.930
1981-01-30;--:--;      1.700
1981-01-31;--:--;      1.600
1981-02-01;--:--;      1.520
1981-02-02;--:--;      1.450
1981-02-03;--:--;      2.330
1981-02-04;--:--;     12.000
1981-02-05;--:--;      7.820
1981-02-06;--:--;      5.720
1981-02-07;--:--;     16.300
1981-02-08;--:--;     23.500
1981-02-09;--:--;     14.500
1981-02-10;--:--;     10.700
1981-02-11;--:--;      7.800
1981-02-12;--:--;      6.100
1981-02-13;--:--;      4.680
1981-02-14;--:--;      3.940
1981-02-15;--:--;      3.440
1981-02-16;--:--;      2.940
1981-02-17;--:--;      2.660
1981-02-18;--:--;      2.510
1981-02-19;--:--;      2.320
