# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-05-02
#
# GRDC-No.:              6935600
# River:                 PLESSUR
# Station:               CHUR
# Country:               CH
# Latitude (DD):       46.8598
# Longitude (DD):      9.5105
# Catchment area (km²):      263.0
# Altitude (m ASL):        620.766
# Next downstream station:      6235535
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1974-01 - 2020-12
# No. of years:          47
# Last update:           2024-01-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 17167
# DATA
YYYY-MM-DD;hh:mm; Value
1974-01-01;--:--;      0.530
1974-01-02;--:--;      0.679
1974-01-03;--:--;      0.700
1974-01-04;--:--;      0.771
1974-01-05;--:--;      0.664
1974-01-06;--:--;      0.488
1974-01-07;--:--;      0.600
1974-01-08;--:--;      0.443
1974-01-09;--:--;      0.513
1974-01-10;--:--;      0.707
1974-01-11;--:--;      0.636
1974-01-12;--:--;      0.503
1974-01-13;--:--;      0.444
1974-01-14;--:--;      0.710
1974-01-15;--:--;      0.841
1974-01-16;--:--;      0.903
1974-01-17;--:--;      1.032
1974-01-18;--:--;      1.041
1974-01-19;--:--;      0.776
1974-01-20;--:--;      0.742
1974-01-21;--:--;      0.845
1974-01-22;--:--;      0.768
1974-01-23;--:--;      0.874
1974-01-24;--:--;      1.334
1974-01-25;--:--;      2.001
1974-01-26;--:--;      2.012
1974-01-27;--:--;      1.727
1974-01-28;--:--;      1.176
1974-01-29;--:--;      0.694
1974-01-30;--:--;      0.590
1974-01-31;--:--;      0.538
1974-02-01;--:--;      0.695
1974-02-02;--:--;      0.709
1974-02-03;--:--;      0.720
1974-02-04;--:--;      0.849
1974-02-05;--:--;      0.777
1974-02-06;--:--;      0.809
1974-02-07;--:--;      0.748
1974-02-08;--:--;      0.743
1974-02-09;--:--;      0.559
1974-02-10;--:--;      0.578
1974-02-11;--:--;      0.891
1974-02-12;--:--;      0.938
1974-02-13;--:--;      0.909
1974-02-14;--:--;      1.048
1974-02-15;--:--;      0.892
1974-02-16;--:--;      0.844
